"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.502653894E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.382789179E1,1.241035058E0
1.512653682E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.351622596E1,1.280927147E0
1.522653455E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.351560159E1,1.278989724E0
1.532653241E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.358354875E1,1.277010941E0
1.542653027E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.358927617E1,1.275260375E0
1.552652802E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.358062692E1,1.253521587E0
1.562652586E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.365987019E1,1.281937480E0
1.572652370E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.368155992E1,1.303216808E0
1.582652147E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.375042522E1,1.301800264E0
1.592651930E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.377386904E1,1.300524062E0
1.602651721E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.377017287E1,1.298755787E0
1.612651498E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.377088499E1,1.252915614E0
1.622651280E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.379144124E1,1.294777146E0
1.632651056E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.380602271E1,1.292792904E0
1.642650840E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.381925681E1,1.187297792E0
1.652650621E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.384452661E1,1.125792275E0
1.662650403E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.387318897E1,1.082422217E0
1.672650186E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.389054027E1,1.049754282E0
1.682649958E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.389657587E1,1.025237809E0
1.692649738E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.392589682E1,1.006602531E0
1.702649518E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.395035003E1,9.926117401E-1
1.712649301E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.397307103E1,1.017029785E0
1.722649082E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.399649091E1,1.008721575E0
1.732648853E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.404597859E1,1.015993122E0
1.742648638E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.403115452E1,9.969035026E-1
1.752648419E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.413976434E1,1.015972813E0
1.762648196E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.413326144E1,9.987063808E-1
1.772647974E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.414931529E1,9.948981883E-1
1.782647756E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.415566252E1,9.928320628E-1
1.792647535E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.418535534E1,9.900652945E-1
1.802647313E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.421233440E1,9.876398057E-1
1.812647091E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.424247122E1,9.851229953E-1
1.822646878E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.426388453E1,9.828622040E-1
1.832646652E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.271851554E1,9.808048261E-1
1.842646427E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.256169888E1,9.789434466E-1
1.852646207E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.258348299E1,9.772321908E-1
1.862645992E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.261274840E1,9.754803408E-1
1.872645769E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.265128689E1,9.736781551E-1
1.882645545E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.266514543E1,9.718155529E-1
1.892645323E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.270886707E1,9.702097863E-1
1.902645105E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.274590842E1,9.684874202E-1
1.912644880E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.284524224E1,9.736044106E-1
1.922644659E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.288734807E1,9.716221592E-1
1.932644441E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.292463044E1,9.698896441E-1
1.942644219E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.297153841E1,9.676606537E-1
1.952643998E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.300932660E1,9.661731513E-1
1.962643770E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.303816198E1,1.003599238E0
1.972643549E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.275536420E1,1.001211791E0
1.982643330E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.031285979E1,9.977806625E-1
1.992643106E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.040101498E1,9.954413572E-1
2.002642887E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.046769823E1,9.933496257E-1
2.012642671E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.052883102E1,9.909150480E-1
2.022642455E2,5.193584004E1,4.476218892E0,2.239888867E0,4.492513323E-2,NaN,1.058132392E1,9.889084050E-1
2.032642233E2,5.193584076E1,4.476221811E0,2.379595540E0,0.000000000E0,NaN,1.063039887E1,9.865338574E-1
2.042642004E2,5.193584012E1,4.476219402E0,2.472160626E0,0.000000000E0,NaN,1.069147426E1,9.844143285E-1
2.052641783E2,5.193584050E1,4.476220711E0,2.405014388E0,1.733569565E-2,NaN,1.087207027E1,9.907429671E-1
2.062641555E2,5.193584108E1,4.476223457E0,2.571804089E0,1.054537594E-1,NaN,1.152333970E1,1.009824019E0
2.072641337E2,5.193584208E1,4.476226173E0,2.379812168E0,1.969784746E-1,NaN,1.245943721E1,1.000793856E0
2.082641115E2,5.193584083E1,4.476221712E0,2.347426765E0,1.190345897E-1,NaN,1.403908910E1,1.003877267E0
2.092640891E2,5.193584693E1,4.476221159E0,2.461078048E0,1.757319441E-1,NaN,1.572149425E1,1.006398472E0
2.102640676E2,5.193584956E1,4.476220527E0,2.489043172E0,2.032991717E-1,NaN,1.815691045E1,1.007580326E0
2.112640457E2,5.193584956E1,4.476220527E0,2.489043172E0,0.000000000E0,NaN,1.396834828E1,9.994506717E-1
2.122640229E2,5.193584956E1,4.476220527E0,2.489043172E0,0.000000000E0,NaN,1.369444736E1,9.922223867E-1
2.132640007E2,5.193584956E1,4.476220527E0,2.489043172E0,0.000000000E0,NaN,1.355284723E1,9.981057371E-1
2.142639786E2,5.193584956E1,4.476220527E0,2.489043172E0,0.000000000E0,NaN,1.351418126E1,9.811232280E-1
2.152639565E2,5.193584956E1,4.476220527E0,2.489043172E0,0.000000000E0,NaN,1.344274551E1,9.768637472E-1
2.162639350E2,5.193584956E1,4.476220527E0,2.489043172E0,0.000000000E0,NaN,1.340219257E1,9.729957391E-1
2.172639121E2,5.193584956E1,4.476220527E0,2.489043172E0,0.000000000E0,NaN,1.337273603E1,9.701954892E-1
2.182638904E2,5.193584956E1,4.476220527E0,2.489043172E0,0.000000000E0,NaN,1.335864776E1,9.792528126E-1
2.192638679E2,5.193584956E1,4.476220527E0,2.489043172E0,0.000000000E0,NaN,1.333716725E1,9.766663639E-1
2.202638464E2,5.193585050E1,4.476221995E0,2.263183568E0,2.539163902E-2,NaN,1.330556782E1,9.627143006E-1
2.212638240E2,5.193584844E1,4.476216219E0,2.337986374E0,4.934431376E-2,NaN,1.354612353E1,9.795731386E-1
2.222638016E2,5.193584842E1,4.476216162E0,2.340077458E0,0.000000000E0,NaN,1.345579122E1,1.004566094E0
2.232637793E2,5.193584842E1,4.476216162E0,2.340077458E0,0.000000000E0,NaN,1.346644777E1,1.000876883E0
2.242637581E2,5.193584842E1,4.476216162E0,2.340077458E0,0.000000000E0,NaN,1.337365515E1,9.971503552E-1
2.252637347E2,5.193584842E1,4.476216162E0,2.340077458E0,0.000000000E0,NaN,1.334570522E1,9.937825870E-1
2.262637131E2,5.193584169E1,4.476225289E0,2.421081785E0,0.000000000E0,NaN,1.347403802E1,1.000657983E0
