Time (s),X (rad/s),Y (rad/s),Z (rad/s),Datetime
29.74765387,-0.2413639128,-3.162125349,-0.5886327624,2024-06-04 15:29:49.747654
29.78738887,-0.448091656,-7.275211811,-1.570501566,2024-06-04 15:29:49.787389
29.82712388,-0.1911946237,-3.37863183,-1.754490376,2024-06-04 15:29:49.827124
29.86685888,0.3096743524,-1.752120018,0.4043138921,2024-06-04 15:29:49.866859
29.90659387,0.6443881989,-1.713927865,1.661040783,2024-06-04 15:29:49.906594
29.94632887,-0.1940087229,-0.08476304263,1.53643775,2024-06-04 15:29:49.946329
29.98606387,-1.223725677,2.932792902,0.9751042128,2024-06-04 15:29:49.986064
30.02579888,1.195837379,1.623738766,-0.9003469348,2024-06-04 15:29:50.025799
30.06553388,2.522120953,-2.021029949,-1.658529401,2024-06-04 15:29:50.065534
30.10526887,0.3931600153,-3.888810635,-2.192326784,2024-06-04 15:29:50.105269
30.14500487,-0.1859589219,-1.014609098,0.9616963863,2024-06-04 15:29:50.145005
30.18473987,-0.0860941112,-0.6196686029,1.161192417,2024-06-04 15:29:50.184740
30.22447488,-0.9766138792,-3.077283859,0.4483935237,2024-06-04 15:29:50.224475
30.26420996,-0.4849187434,-0.6490174532,-0.06541200727,2024-06-04 15:29:50.264210
30.30394496,0.7627847791,-0.4332529902,0.4723670185,2024-06-04 15:29:50.303945
30.34367996,2.828629971,1.446921229,0.5507318377,2024-06-04 15:29:50.343680
30.38341496,2.369910717,2.246577263,0.7542455792,2024-06-04 15:29:50.383415
30.42314996,1.111934066,0.871720016,-0.2320209295,2024-06-04 15:29:50.423150
30.46288496,0.1622826755,-0.9356412888,-1.679565668,2024-06-04 15:29:50.462885
30.50261996,-0.1677463949,-0.1892716438,-1.559128046,2024-06-04 15:29:50.502620
30.54235496,-0.147145927,1.134148836,-0.1787621379,2024-06-04 15:29:50.542355
30.58208996,3.800984621,3.155771017,0.4487957656,2024-06-04 15:29:50.582090
30.62182496,3.67049861,-1.474409103,0.7982950211,2024-06-04 15:29:50.621825
30.66155996,0.2551166415,-2.314531803,0.1627751142,2024-06-04 15:29:50.661560
30.70129496,-0.7025678754,-0.212740615,-0.2926947474,2024-06-04 15:29:50.701295
30.74102996,-1.01485765,1.485083461,0.2626247704,2024-06-04 15:29:50.741030
30.78076496,-0.5681470633,0.7739426494,0.6081476808,2024-06-04 15:29:50.780765
30.82049996,-0.7333731651,-0.1598677635,1.032006502,2024-06-04 15:29:50.820500
30.86023496,1.099426866,-1.590546489,0.3402324319,2024-06-04 15:29:50.860235
30.89996996,1.520886064,-2.121758938,0.4028274417,2024-06-04 15:29:50.899970
30.93970496,0.2997845411,-0.9995605946,0.2665823698,2024-06-04 15:29:50.939705
30.97943996,-0.609564364,-0.4224087596,-0.319213897,2024-06-04 15:29:50.979440
31.01917496,-0.6320768595,-0.1471055597,-0.5941986442,2024-06-04 15:29:51.019175
31.05890996,-2.144948483,4.060193896e-05,0.331355989,2024-06-04 15:29:51.058910
31.09864496,-1.18746388,2.787938833,0.6483671665,2024-06-04 15:29:51.098645
