"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.420230842E0,-1.143207550E-1,-1.370780468E0,7.156515121E-2
5.460700373E0,1.319590569E0,-1.564931870E-2,-1.150714159E0
5.501212353E0,7.920455933E-2,-5.049343109E-1,-5.938339233E-1
5.541699175E0,3.399386406E-1,6.376647949E-1,-1.208506465E0
5.582194123E0,3.101563454E-1,4.038643837E-1,-4.379990101E-1
5.622713134E0,4.226870537E-1,5.592522621E-1,-9.513139725E-2
5.663187978E0,9.613513947E-3,3.577742577E-1,-1.550824642E-1
5.703668446E0,-6.186523438E-1,-1.894688606E-1,-3.086640835E-1
5.744156675E0,5.039377213E-1,4.624466896E-1,1.111955643E-1
5.784655217E0,2.392749786E-1,-2.379894257E-2,1.344583035E-1
5.825098134E0,8.903121948E-2,-5.944681168E-2,-1.832723618E-2
5.865606363E0,1.054058075E-1,1.438193321E-1,-2.530758381E-1
5.906115894E0,1.205163002E-1,-1.410861015E-1,1.139557362E-1
5.946601988E0,3.859472275E-2,-3.283615112E-1,-2.744417191E-1
5.987079384E0,-9.643030167E-2,-2.092127800E-1,1.825191975E-1
6.027549644E0,4.573664665E-1,7.936811447E-2,-3.808355331E-1
6.068035738E0,-8.132262230E-1,-6.950812340E-1,-9.089660645E-2
6.108521832E0,3.629841805E-1,2.500381470E-1,1.084804535E-1
6.149007978E0,4.719734192E-3,-1.022053719E0,9.570479393E-2
6.189544488E0,1.109632492E0,1.764755249E-1,2.302260399E-1
6.229986832E0,1.019379616E0,5.229139328E-2,2.901091576E-1
6.270471728E0,1.388815880E0,6.294507980E-1,2.095386982E-1
6.310938863E0,7.339611053E-1,1.655459404E-1,1.792070866E-1
6.351464228E0,-4.703454971E-1,-3.161106110E-1,-1.919398308E-1
6.391923394E0,-9.613890648E-1,4.998254776E-2,-3.004674911E-1
6.432405634E0,-4.759888649E-1,-1.251792908E-1,-8.136796951E-2
6.472911884E0,1.349024773E-1,2.456102371E-1,-1.424994469E-1
6.513417040E0,-1.094193459E-1,-5.390357971E-2,-1.014182568E-1
