Time (s),X (rad/s),Y (rad/s),Z (rad/s),Datetime
6.057620208,-1.117018104,-0.09257019311,-0.8651211262,2024-06-04 16:48:49.057620
6.097363208,-1.283827305,0.6500572562,-0.9020678401,2024-06-04 16:48:49.097363
6.137105208,-0.8284156322,-0.01612298936,-0.8775353432,2024-06-04 16:48:49.137105
6.176848125,-0.4148091674,-0.8731476665,-0.8662299514,2024-06-04 16:48:49.176848
6.216591125,-1.055505037,0.5186786056,-0.6445910335,2024-06-04 16:48:49.216591
6.256333125,-1.609894156,0.3196821213,-0.07626411319,2024-06-04 16:48:49.256333
6.296076125,-0.6253243089,0.5243481994,-0.6381453276,2024-06-04 16:48:49.296076
6.335818125,-0.2550000548,1.404996872,-0.5062736273,2024-06-04 16:48:49.335818
6.375561125,-0.7074511647,0.6331362128,-0.4111717343,2024-06-04 16:48:49.375561
6.415303125,0.2000252306,1.19902432,-0.4463093877,2024-06-04 16:48:49.415303
6.455046125,-0.1214478612,1.0252918,-0.1211277768,2024-06-04 16:48:49.455046
6.494788125,-0.1793434024,0.6703549623,-0.08642106503,2024-06-04 16:48:49.494788
6.534531125,0.617800653,1.414333463,-0.108676523,2024-06-04 16:48:49.534531
6.574273125,1.313661933,0.6473277807,-0.3960272074,2024-06-04 16:48:49.574273
6.614016125,1.158542633,0.7366608977,-0.1869169772,2024-06-04 16:48:49.614016
6.653758125,1.234114885,0.6201663613,-0.2624853253,2024-06-04 16:48:49.653758
6.693501125,1.357232094,0.2441478223,-0.4207665622,2024-06-04 16:48:49.693501
6.733243125,0.5652852058,0.510629952,-0.3433844745,2024-06-04 16:48:49.733243
6.772986125,0.3648772538,0.8606498837,-0.2079220116,2024-06-04 16:48:49.772986
6.812728125,0.2579809427,0.2640261054,0.2085746974,2024-06-04 16:48:49.812728
6.852471125,0.08105514199,0.1328696609,0.4609012008,2024-06-04 16:48:49.852471
6.892213125,-0.2157277763,0.3435643017,0.4508399963,2024-06-04 16:48:49.892213
6.931956125,-0.06125326455,0.3848098516,0.5312334895,2024-06-04 16:48:49.931956
6.971698125,0.2016382664,0.6120453477,0.3597204685,2024-06-04 16:48:49.971698
7.011441125,0.7725675106,0.3762962818,0.2944664061,2024-06-04 16:48:50.011441
7.051183125,0.9759307504,0.4605146348,0.5283662081,2024-06-04 16:48:50.051183
7.090926125,0.7393994927,0.3167499602,0.3567706347,2024-06-04 16:48:50.090926
7.130668125,1.240207434,0.456199795,0.008092137054,2024-06-04 16:48:50.130668
7.170411333,1.04698813,0.4229889214,0.361590445,2024-06-04 16:48:50.170411
7.210153333,1.171728015,0.04294089973,0.3652316332,2024-06-04 16:48:50.210153
7.249896333,1.705966592,-0.2074513733,0.07182662189,2024-06-04 16:48:50.249896
7.289638333,1.65784514,-0.1096349657,-0.2564629912,2024-06-04 16:48:50.289638
7.329381333,0.7663575411,0.2824470103,-0.3738259971,2024-06-04 16:48:50.329381
7.369123333,1.156779528,0.7016513944,-0.08467012644,2024-06-04 16:48:50.369123
7.408866333,0.9588146806,0.4734528363,0.1496340185,2024-06-04 16:48:50.408866
7.448608333,0.4880073965,0.4474290609,0.2455550879,2024-06-04 16:48:50.448608
7.488351333,-0.4583106339,0.5977837443,0.2431961,2024-06-04 16:48:50.488351
7.528093333,-1.129979491,0.627630651,0.3942577243,2024-06-04 16:48:50.528093
7.567835333,-1.231570125,0.3607316911,0.1773214489,2024-06-04 16:48:50.567835
7.607578333,-1.371673703,0.1087500751,0.04306102544,2024-06-04 16:48:50.607578
7.647320333,-1.446048617,-0.1666799337,-0.4262951612,2024-06-04 16:48:50.647320
7.687063333,-1.521630406,-0.9352295995,-0.9827914834,2024-06-04 16:48:50.687063
7.726805333,-1.168234825,-1.11612165,-1.49108386,2024-06-04 16:48:50.726805
7.766548333,-1.328006387,-0.5217757225,-1.184965611,2024-06-04 16:48:50.766548
7.806290333,-1.294534802,-0.4084076583,-0.9207879901,2024-06-04 16:48:50.806290
7.846032333,-1.203648686,-0.4492809474,-0.3104916513,2024-06-04 16:48:50.846032
7.885775333,-1.357277274,-0.745626986,0.2795074284,2024-06-04 16:48:50.885775
7.925517333,-0.9351523519,-0.7208635211,0.1270387769,2024-06-04 16:48:50.925517
7.965260333,-0.8512867093,-2.392763376,-0.1473604143,2024-06-04 16:48:50.965260
8.005002333,-1.188676476,-1.783255339,-0.03013400733,2024-06-04 16:48:51.005002
8.044744333,-0.9217766523,-0.6246177554,0.2801677883,2024-06-04 16:48:51.044744
8.084487333,-1.006278396,-0.1269334704,0.2051253021,2024-06-04 16:48:51.084487
8.124229333,-0.4432691932,0.04921188951,-0.1080445349,2024-06-04 16:48:51.124229
8.163972458,0.3209427595,0.05326453224,-0.02626105584,2024-06-04 16:48:51.163972
8.203714458,1.62338078,0.4491147399,-0.2741112113,2024-06-04 16:48:51.203714
8.243456458,1.596176624,1.259135127,-0.3449894488,2024-06-04 16:48:51.243456
