"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.910195167E2,1.624938965E0,4.330479813E1,2.337177277E1
2.910592547E2,3.645332336E0,4.428163528E1,1.856729889E1
2.910989927E2,5.516181946E0,4.465384293E1,1.164526367E1
2.911387307E2,7.610794067E0,4.349885941E1,6.640769958E0
2.911784687E2,1.228711700E1,4.366183090E1,4.787872314E0
2.912182067E2,2.141555023E1,4.624684143E1,4.074356079E0
2.912579447E2,2.678599548E1,5.099929810E1,-6.736145020E-1
2.912976827E2,2.546158600E1,5.386903000E1,-6.136283875E0
2.913374207E2,2.043193817E1,5.228042984E1,-4.577156067E0
2.913771587E2,1.678901672E1,5.260166168E1,-3.641647339E0
2.914168967E2,1.518080902E1,6.835871887E1,-1.457564545E1
2.914566347E2,9.444458008E0,7.959204865E1,-2.000290680E1
2.914963727E2,1.064543915E1,7.634507751E1,-1.798355865E1
2.915361107E2,8.952011108E0,6.876893616E1,-2.015564728E1
2.915758480E2,9.485824585E0,5.593914413E1,-5.513862610E0
2.916155860E2,7.190422058E0,4.829256821E1,5.564941406E0
2.916553240E2,4.427558899E0,4.407367706E1,1.283290100E1
2.916950620E2,3.914413452E0,4.095415497E1,1.864015961E1
2.917348000E2,2.738670349E0,3.808686829E1,2.425113678E1
2.917745380E2,1.207511902E0,3.564689255E1,2.796652985E1
2.918142760E2,-5.574035645E-1,3.317709351E1,3.079914856E1
2.918540140E2,-2.136165619E0,3.204572678E1,3.280186844E1
2.918937520E2,-2.973140717E0,3.279090500E1,3.372542953E1
2.919334900E2,-3.401229858E0,3.441283417E1,3.369411469E1
2.919732280E2,-3.261623383E0,3.809326935E1,3.134752274E1
2.920129660E2,-7.714195251E-1,4.115169525E1,2.715284729E1
2.920527040E2,7.368087769E-1,4.335446167E1,2.123193359E1
2.920924420E2,3.723396301E0,4.478853607E1,1.479142761E1
2.921321800E2,8.471153259E0,4.612992096E1,1.066217804E1
2.921719180E2,1.732688904E1,4.882930756E1,8.219909668E0
2.922116560E2,2.637096405E1,5.659835434E1,-1.154556274E-1
2.922513940E2,2.483277130E1,6.173244095E1,-8.383460999E0
2.922911320E2,1.850030518E1,6.011611938E1,-6.826324463E0
2.923308700E2,1.493717194E1,5.900852585E1,-4.169387817E0
2.923706080E2,1.118988800E1,6.903186798E1,-1.247776031E1
2.924103460E2,5.578010559E0,7.801293945E1,-1.589698029E1
2.924500830E2,8.804069519E0,7.264882660E1,-7.485137939E0
2.924898210E2,8.465942383E0,7.156446075E1,-1.031572723E1
2.925295590E2,1.130527496E1,6.255966568E1,-3.887664795E0
2.925692970E2,1.018099213E1,5.291866684E1,9.586212158E0
2.926090353E2,7.107666016E0,5.003169250E1,1.424214935E1
2.926487733E2,5.739784241E0,4.723881912E1,1.953105927E1
2.926885113E2,4.464294434E0,4.455720139E1,2.501692963E1
2.927282493E2,2.626014709E0,4.172163773E1,2.954872131E1
2.927679873E2,1.015892029E0,3.962046051E1,3.328514099E1
2.928077253E2,-1.162216187E0,3.784908676E1,3.581114197E1
2.928474633E2,-2.433273315E0,3.803934860E1,3.671723938E1
2.928872013E2,-2.500053406E0,3.964521790E1,3.580836105E1
2.929269393E2,-1.589385986E0,4.346375656E1,3.234241104E1
2.929666773E2,1.336967468E0,4.667930222E1,2.676506042E1
2.930064153E2,2.804603577E0,4.853688049E1,1.961801147E1
2.930461533E2,6.090484619E0,4.911680984E1,1.194879150E1
2.930858913E2,1.219167328E1,5.014421844E1,7.003067017E0
2.931256293E2,2.352288055E1,5.393070602E1,3.678024292E0
2.931653673E2,3.154660034E1,6.335784149E1,-6.757202148E0
2.932051043E2,2.744968414E1,6.841801453E1,-1.420338440E1
2.932448423E2,2.052211761E1,6.520533752E1,-1.164865875E1
2.932845803E2,1.623699188E1,6.340049362E1,-5.488403320E0
2.933243183E2,1.383249664E1,6.936520386E1,-8.740379333E0
2.933640563E2,9.030494690E0,8.441250610E1,-1.711319733E1
2.934037943E2,8.665122986E0,8.414366913E1,-1.520437622E1
2.934435323E2,7.339790344E0,7.901831818E1,-1.993869781E1
2.934832703E2,1.079608154E1,6.432115936E1,-6.043678284E0
2.935230083E2,9.328392029E0,5.492085266E1,6.248191833E0
2.935627463E2,6.673812866E0,5.024363708E1,1.423973846E1
2.936024845E2,5.870918274E0,4.727775574E1,2.075053406E1
2.936422225E2,4.063110352E0,4.392007446E1,2.615797424E1
2.936819605E2,1.849479675E0,4.166596222E1,3.014099121E1
2.937216985E2,-2.170295715E-1,3.934669495E1,3.337285233E1
2.937614365E2,-2.156673431E0,3.884438324E1,3.505825043E1
2.938011745E2,-2.669437408E0,3.999691391E1,3.521652603E1
2.938409125E2,-2.203895569E0,4.317020416E1,3.287947845E1
2.938806505E2,-3.551597595E-1,4.696203232E1,2.720140839E1
2.939203885E2,1.201217651E0,4.949637604E1,2.123174286E1
2.939601265E2,4.394943237E0,5.080062485E1,1.361388397E1
2.939998635E2,8.197898865E0,5.015748978E1,8.384773254E0
2.940396015E2,1.422766876E1,5.083027649E1,4.892936707E0
2.940793395E2,2.341563416E1,5.474701309E1,3.397445679E-1
2.941190775E2,2.850106812E1,6.108935547E1,-8.690200806E0
2.941588155E2,2.448460388E1,6.222293091E1,-1.038570404E1
