"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.888600688E0,-6.873981476E0,-1.657627940E0,1.270887971E0
7.928600688E0,-6.873981476E0,-1.657627940E0,1.270887971E0
7.968600688E0,-9.458528519E0,-5.925227165E0,9.726824164E-1
8.008600688E0,-8.704191208E0,-6.152844429E0,4.600201547E-1
8.048600688E0,-8.293224335E0,-7.247560501E0,4.905286431E-2
8.088600688E0,-8.660821915E0,-8.252546310E0,2.874378264E-1
8.128600688E0,-9.088538170E0,-7.984251022E0,1.511665702E0
8.168600688E0,-8.496912956E0,-7.562515736E0,1.285244823E0
8.208600688E0,-8.146963120E0,-7.563712597E0,1.317547917E0
8.248600688E0,-8.146963120E0,-7.563712597E0,1.317547917E0
8.288600688E0,-8.146963120E0,-7.563712597E0,1.317547917E0
8.328600688E0,-8.146963120E0,-7.563712597E0,1.317547917E0
8.368600688E0,-8.282456398E0,-5.767300606E0,1.312762380E0
8.408600688E0,-8.282456398E0,-5.767300606E0,1.312762380E0
8.448600688E0,-8.282456398E0,-5.767300606E0,1.312762380E0
8.488600688E0,-8.282456398E0,-5.767300606E0,1.312762380E0
8.528600688E0,-8.282456398E0,-5.767300606E0,1.312762380E0
8.568600688E0,-8.282456398E0,-5.767300606E0,1.312762380E0
8.608600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
8.648600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
8.688600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
8.728600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
8.768600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
8.808600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
8.848600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
8.888600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
8.928600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
8.968600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
9.008600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
9.048600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
9.088600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
9.128600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
9.168600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
9.208600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
9.248600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
9.288600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
9.328600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
9.368600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
9.408600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
9.448600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
9.488600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
9.528600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
9.568600688E0,-8.514859200E0,-6.867999077E0,8.012964725E-1
9.608600688E0,-9.125627518E0,-7.220043182E0,2.445763826E0
9.648600688E0,-8.982057571E0,-7.023532867E0,9.245268703E-1
9.688600688E0,-9.192625999E0,-6.588936329E0,1.983350873E0
9.728600688E0,-1.172004509E1,-6.591329098E0,-1.674975827E-2
9.768600688E0,-9.477671623E0,-5.182554722E0,5.641079545E-1
9.808600688E0,-8.695517540E0,-4.366901398E0,1.292423368E0
9.848600688E0,-9.602396965E0,-5.617450237E0,2.930908680E0
9.888600688E0,-9.001200676E0,-6.464210510E0,-7.917252183E-1
9.928600688E0,-9.001200676E0,-6.464210510E0,-7.917252183E-1
9.968600688E0,-9.001200676E0,-6.464210510E0,-7.917252183E-1
1.000860069E1,-9.001200676E0,-6.464210510E0,-7.917252183E-1
1.004860069E1,-9.001200676E0,-6.464210510E0,-7.917252183E-1
1.008860069E1,-9.001200676E0,-6.464210510E0,-7.917252183E-1
1.012860069E1,-9.001200676E0,-6.464210510E0,-7.917252183E-1
1.016860069E1,-9.001200676E0,-6.464210510E0,-7.917252183E-1
1.020860069E1,-9.001200676E0,-6.464210510E0,-7.917252183E-1
1.024860069E1,-9.001200676E0,-6.464210510E0,-7.917252183E-1
1.028860069E1,-9.001200676E0,-6.464210510E0,-7.917252183E-1
1.032860069E1,-9.001200676E0,-6.464210510E0,-7.917252183E-1
1.036860069E1,-9.001200676E0,-6.464210510E0,-7.917252183E-1
1.040860069E1,-9.001200676E0,-6.464210510E0,-7.917252183E-1
1.044860069E1,-9.001200676E0,-6.464210510E0,-7.917252183E-1
1.048860069E1,-9.001200676E0,-6.464210510E0,-7.917252183E-1
1.052860069E1,-9.001200676E0,-6.464210510E0,-7.917252183E-1
1.056860069E1,-9.001200676E0,-6.464210510E0,-7.917252183E-1
1.060860069E1,-6.948158741E0,-9.325727463E0,1.394118309E0
1.064860069E1,-6.948158741E0,-9.325727463E0,1.394118309E0
1.068860069E1,-6.948158741E0,-9.325727463E0,1.394118309E0
1.072860069E1,-6.948158741E0,-9.325727463E0,1.394118309E0
1.076860069E1,-6.948158741E0,-9.325727463E0,1.394118309E0
1.080860069E1,-6.948158741E0,-9.325727463E0,1.394118309E0
1.084860069E1,-6.948158741E0,-9.325727463E0,1.394118309E0
1.088860069E1,-6.948158741E0,-9.325727463E0,1.394118309E0
1.092860069E1,-6.948158741E0,-9.325727463E0,1.394118309E0
1.096860069E1,-6.948158741E0,-9.325727463E0,1.394118309E0
1.100860069E1,-6.948158741E0,-9.325727463E0,1.394118309E0
1.104860069E1,-6.948158741E0,-9.325727463E0,1.394118309E0
1.108860069E1,-6.948158741E0,-9.325727463E0,1.394118309E0
1.112860069E1,-6.948158741E0,-9.325727463E0,1.394118309E0
1.116860069E1,-6.948158741E0,-9.325727463E0,1.394118309E0
1.120860069E1,-6.948158741E0,-9.325727463E0,1.394118309E0
1.124860069E1,-6.948158741E0,-9.325727463E0,1.394118309E0
1.128860069E1,-6.979265213E0,-1.850549221E0,8.563314080E-1
1.132860069E1,-5.618646622E0,-1.027717352E0,1.395314693E0
1.136860069E1,-5.562415123E0,-1.159322619E0,1.855334878E0
1.140860069E1,-4.977968216E0,-3.018246651E0,1.579861164E0
1.144860069E1,-8.280063629E0,-5.082056046E0,1.880459547E0
1.148860069E1,-1.045513916E1,-6.169594288E0,1.933101535E0
1.152860069E1,-9.318549156E0,-6.152844429E0,9.427721500E-1
1.156860069E1,-7.759026527E0,-5.480760098E0,9.089735150E-1
1.160860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.164860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.168860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.172860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.176860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.180860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.184860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.188860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.192860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.196860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.200860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.204860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.208860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.212860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.216860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.220860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.224860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.228860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.232860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.236860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.240860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.244860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.248860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.252860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.256860069E1,-1.015813065E1,-5.744269848E0,2.886342406E-1
1.260860069E1,-7.552944660E0,-6.207879066E0,7.701897621E-1
1.264860069E1,-7.552944660E0,-6.207879066E0,7.701897621E-1
1.268860069E1,-7.552944660E0,-6.207879066E0,7.701897621E-1
1.272860069E1,-7.552944660E0,-6.207879066E0,7.701897621E-1
1.276860069E1,-7.552944660E0,-6.207879066E0,7.701897621E-1
1.280860069E1,-7.552944660E0,-6.207879066E0,7.701897621E-1
1.284860069E1,-7.552944660E0,-6.207879066E0,7.701897621E-1
1.288860069E1,-7.552944660E0,-6.207879066E0,7.701897621E-1
1.292860069E1,-7.552944660E0,-6.207879066E0,7.701897621E-1
1.296860069E1,-7.392625332E0,-8.522037506E0,8.048857450E-1
1.300860069E1,-7.114758968E0,-8.315956116E0,7.522436380E-1
1.304860069E1,-7.482356548E0,-8.950652122E0,1.256531000E0
1.308860069E1,-7.864310741E0,-5.450850010E0,4.336991012E-1
1.312860069E1,-6.138487339E0,-5.466403484E0,1.057627559E0
1.316860069E1,-7.561319351E0,-7.563712597E0,3.879363835E-1
1.320860069E1,-9.364012718E0,-6.851249218E0,-2.515454888E-1
1.324860069E1,-1.261466217E1,-7.544569969E0,5.760720372E-1
1.328860069E1,-1.261466217E1,-7.544569969E0,5.760720372E-1
1.332860069E1,-1.261466217E1,-7.544569969E0,5.760720372E-1
1.336860069E1,-8.492127419E0,-5.953940868E0,-9.173483849E-1
1.340860069E1,-8.492127419E0,-5.953940868E0,-9.173483849E-1
1.344860069E1,-8.492127419E0,-5.953940868E0,-9.173483849E-1
1.348860069E1,-8.492127419E0,-5.953940868E0,-9.173483849E-1
1.352860069E1,-8.492127419E0,-5.953940868E0,-9.173483849E-1
1.356860069E1,-8.492127419E0,-5.953940868E0,-9.173483849E-1
1.360860069E1,-4.781457901E0,-1.897209287E0,1.527219057E0
1.364860069E1,-4.781457901E0,-1.897209287E0,1.527219057E0
1.368860069E1,-4.781457901E0,-1.897209287E0,1.527219057E0
1.372860069E1,-4.781457901E0,-1.897209287E0,1.527219057E0
1.376860069E1,-4.781457901E0,-1.897209287E0,1.527219057E0
1.380860069E1,-4.781457901E0,-1.897209287E0,1.527219057E0
1.384860069E1,-9.294620514E0,-8.367402077E0,-2.871387079E-2
1.388860069E1,-9.294620514E0,-8.367402077E0,-2.871387079E-2
1.392860069E1,-9.294620514E0,-8.367402077E0,-2.871387079E-2
1.396860069E1,-9.294620514E0,-8.367402077E0,-2.871387079E-2
1.400860069E1,-9.294620514E0,-8.367402077E0,-2.871387079E-2
1.404860069E1,-9.294620514E0,-8.367402077E0,-2.871387079E-2
1.408860069E1,-9.294620514E0,-8.367402077E0,-2.871387079E-2
1.412860069E1,-9.294620514E0,-8.367402077E0,-2.871387079E-2
1.416860069E1,-9.294620514E0,-8.367402077E0,-2.871387079E-2
1.420860069E1,-9.294620514E0,-8.367402077E0,-2.871387079E-2
1.424860069E1,-9.294620514E0,-8.367402077E0,-2.871387079E-2
1.428860069E1,-9.294620514E0,-8.367402077E0,-2.871387079E-2
1.432860069E1,-9.294620514E0,-8.367402077E0,-2.871387079E-2
1.436860069E1,-9.294620514E0,-8.367402077E0,-2.871387079E-2
1.440860069E1,-9.294620514E0,-8.367402077E0,-2.871387079E-2
1.444860069E1,-9.294620514E0,-8.367402077E0,-2.871387079E-2
1.448860069E1,-9.294620514E0,-8.367402077E0,-2.871387079E-2
1.452860069E1,-9.294620514E0,-8.367402077E0,-2.871387079E-2
1.456860069E1,-9.294620514E0,-8.367402077E0,-2.871387079E-2
1.460860069E1,-5.373083115E0,-8.012964725E-1,1.493719578E0
1.464860069E1,3.093919754E0,-3.503391504E0,3.005983531E-1
1.468860069E1,-1.050538826E1,-2.024926096E-1,2.721237659E0
1.472860069E1,-5.423332691E0,-2.914158821E0,2.396710873E0
1.476860069E1,-4.471288204E0,-3.445963621E0,-3.532404304E-1
1.480860069E1,-6.099005699E0,2.922234535E-1,1.290030479E0
1.484860069E1,4.181457460E-1,-2.347658157E0,3.436691463E-1
1.488860069E1,-1.025384331E1,-5.147858620E0,-8.096713424E-1
1.492860069E1,-1.606541061E1,-1.163001537E1,-2.770290375E0
1.496860069E1,-1.606541061E1,-1.163001537E1,-2.770290375E0
1.500860069E1,-1.606541061E1,-1.163001537E1,-2.770290375E0
1.504860069E1,-1.606541061E1,-1.163001537E1,-2.770290375E0
1.508860069E1,-1.606541061E1,-1.163001537E1,-2.770290375E0
1.512860069E1,-1.606541061E1,-1.163001537E1,-2.770290375E0
1.516860069E1,-1.606541061E1,-1.163001537E1,-2.770290375E0
1.520860069E1,-1.606541061E1,-1.163001537E1,-2.770290375E0
1.524860069E1,-1.606541061E1,-1.163001537E1,-2.770290375E0
1.528860069E1,-1.606541061E1,-1.163001537E1,-2.770290375E0
1.532860069E1,-1.606541061E1,-1.163001537E1,-2.770290375E0
1.536860069E1,-7.194918633E0,-7.884649754E0,-5.306084156E-1
1.540860069E1,-7.194918633E0,-7.884649754E0,-5.306084156E-1
1.544860069E1,-7.194918633E0,-7.884649754E0,-5.306084156E-1
1.548860069E1,-7.194918633E0,-7.884649754E0,-5.306084156E-1
1.552860069E1,-7.194918633E0,-7.884649754E0,-5.306084156E-1
1.556860069E1,-7.194918633E0,-7.884649754E0,-5.306084156E-1
1.560860069E1,-9.800104141E0,-3.769293785E0,3.149552941E-1
1.564860069E1,-9.800104141E0,-3.769293785E0,3.149552941E-1
1.568860069E1,-9.800104141E0,-3.769293785E0,3.149552941E-1
1.572860069E1,-9.800104141E0,-3.769293785E0,3.149552941E-1
1.576860069E1,-9.800104141E0,-3.769293785E0,3.149552941E-1
1.580860069E1,-9.800104141E0,-3.769293785E0,3.149552941E-1
1.584860069E1,-9.800104141E0,-3.769293785E0,3.149552941E-1
1.588860069E1,-9.800104141E0,-3.769293785E0,3.149552941E-1
1.592860069E1,-9.800104141E0,-3.769293785E0,3.149552941E-1
1.596860069E1,-9.800104141E0,-3.769293785E0,3.149552941E-1
