"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.643578601E1,5.235592150E1,4.957123710E0,1.566301813E2,0.000000000E0,NaN,1.845555496E1,2.320162010E1
8.743671481E1,5.235592158E1,4.957124050E0,1.566178525E2,0.000000000E0,NaN,1.829961014E1,2.254733086E1
8.843670215E1,5.235592161E1,4.957124150E0,1.566764464E2,0.000000000E0,NaN,1.900105095E1,2.244005203E1
8.943768262E1,5.235592096E1,4.957126430E0,1.540045718E2,0.000000000E0,NaN,1.989087105E1,2.302615738E1
9.043676497E1,5.235592099E1,4.957126550E0,1.540589542E2,0.000000000E0,NaN,2.042032623E1,2.374530029E1
9.143721653E1,5.235592096E1,4.957126520E0,1.540361880E2,0.000000000E0,NaN,2.306919098E1,2.546183968E1
9.243717694E1,5.235592098E1,4.957126680E0,1.540510807E2,0.000000000E0,NaN,2.519088173E1,2.664919662E1
9.343763392E1,5.235592100E1,4.957126730E0,1.539066716E2,0.000000000E0,NaN,2.646788979E1,2.848334503E1
9.443729533E1,5.235592086E1,4.957126830E0,1.536033878E2,0.000000000E0,NaN,2.850013924E1,2.993397141E1
9.543832423E1,5.235592088E1,4.957127400E0,1.534005683E2,0.000000000E0,NaN,3.021136093E1,3.057821465E1
9.643852543E1,5.235592093E1,4.957128000E0,1.532589061E2,0.000000000E0,NaN,3.077368546E1,3.022424698E1
9.743692048E1,5.235592097E1,4.957127850E0,1.535087230E2,0.000000000E0,NaN,3.479915237E1,3.168294716E1
9.843665033E1,5.235592075E1,4.957128920E0,1.510746413E2,0.000000000E0,NaN,3.115824699E1,3.143070412E1
9.943831725E1,5.235592024E1,4.957130480E0,1.472216751E2,0.000000000E0,NaN,3.337557220E1,3.345170975E1
1.004379889E2,5.235592028E1,4.957130770E0,1.471779742E2,0.000000000E0,NaN,3.532292175E1,3.402244186E1
1.014361771E2,5.235591999E1,4.957133040E0,1.488755459E2,0.000000000E0,NaN,3.664174271E1,3.415988541E1
1.024376990E2,5.235591463E1,4.957118850E0,1.493672293E2,0.000000000E0,NaN,3.264159012E1,3.404898834E1
1.034370843E2,5.235591470E1,4.957118640E0,1.498390310E2,0.000000000E0,NaN,3.450534821E1,3.664289474E1
1.044369135E2,5.235591463E1,4.957118530E0,1.498846851E2,0.000000000E0,NaN,3.556509781E1,3.861703491E1
