"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.618550960E1,2.654238462E0,-1.160608673E1,6.738487720E0
4.622550960E1,2.654238462E0,-1.160608673E1,6.738487720E0
4.626550960E1,2.654238462E0,-1.160608673E1,6.738487720E0
4.630550960E1,2.654238462E0,-1.160608673E1,6.738487720E0
4.634550960E1,2.654238462E0,-1.160608673E1,6.738487720E0
4.638550960E1,2.654238462E0,-1.160608673E1,6.738487720E0
4.642550960E1,2.654238462E0,-1.160608673E1,6.738487720E0
4.646550960E1,2.654238462E0,-1.160608673E1,6.738487720E0
4.650550960E1,2.654238462E0,-1.160608673E1,6.738487720E0
4.654550960E1,2.654238462E0,-1.160608673E1,6.738487720E0
4.658550960E1,2.654238462E0,-1.160608673E1,6.738487720E0
4.662550960E1,2.654238462E0,-1.160608673E1,6.738487720E0
4.666550960E1,2.654238462E0,-1.160608673E1,6.738487720E0
4.670550960E1,2.654238462E0,-1.160608673E1,6.738487720E0
4.674550960E1,2.654238462E0,-1.160608673E1,6.738487720E0
4.678550960E1,2.654238462E0,-1.160608673E1,6.738487720E0
4.682550960E1,2.654238462E0,-1.160608673E1,6.738487720E0
4.686550960E1,2.654238462E0,-1.160608673E1,6.738487720E0
4.690550960E1,2.503191471E0,-6.827321053E0,-2.802593410E-1
4.694550960E1,3.634099483E0,-7.652545929E0,1.052841991E-1
4.698550960E1,4.537090778E0,-1.027059269E1,2.112862349E0
4.702550960E1,2.020738840E0,-9.993923187E0,9.092725813E-2
4.706550960E1,2.358425856E0,-9.952048302E0,-7.833502889E-1
4.710550960E1,4.964807987E0,-1.171406364E1,6.972087026E-1
4.714550960E1,7.717152119E0,-1.292483139E1,6.139683723E0
4.718550960E1,1.009771109E0,-1.027178955E1,2.879462957E0
4.722550960E1,2.351247311E0,-9.643074989E0,-8.443672657E-1
4.726550960E1,2.496013165E0,-8.820243835E0,-2.000100613E0
4.730550960E1,-1.821536273E-1,-1.042642593E1,-2.445763826E0
4.734550960E1,-8.635098934E-1,-9.707681656E0,3.977768660E0
4.738550960E1,9.595218897E-1,-1.004207802E1,1.304088384E-1
4.742550960E1,4.229314029E-1,-1.013061333E1,6.574280262E-1
4.746550960E1,4.121637046E-1,-9.203393936E0,-1.955833435E0
4.750550960E1,1.085145116E0,-9.411869049E0,1.737787426E-1
4.754550960E1,1.677966833E0,-9.757930756E0,5.353940725E-1
4.758550960E1,7.283154130E-1,-9.474081993E0,7.187440991E-1
4.762550960E1,5.389832854E-1,-9.078967094E0,-9.451649338E-2
4.766550960E1,1.043270707E0,-9.282656670E0,1.439581871E0
4.770550960E1,1.150947690E0,-8.802297592E0,-1.435693540E-2
4.774550960E1,-1.196411327E-1,-9.086145401E0,1.130608678E0
4.778550960E1,-9.475577474E-1,-9.271888733E0,-9.858429432E-1
4.782550960E1,-9.475577474E-1,-9.271888733E0,-9.858429432E-1
4.786550960E1,-9.475577474E-1,-9.271888733E0,-9.858429432E-1
4.790550960E1,3.126222849E0,-9.944869995E0,9.810572863E-2
4.794550960E1,3.126222849E0,-9.944869995E0,9.810572863E-2
4.798550960E1,3.126222849E0,-9.944869995E0,9.810572863E-2
4.802550960E1,3.126222849E0,-9.944869995E0,9.810572863E-2
4.806550960E1,3.126222849E0,-9.944869995E0,9.810572863E-2
4.810550960E1,3.126222849E0,-9.944869995E0,9.810572863E-2
4.814550960E1,3.126222849E0,-9.944869995E0,9.810572863E-2
4.818550960E1,3.126222849E0,-9.944869995E0,9.810572863E-2
4.822550960E1,3.126222849E0,-9.944869995E0,9.810572863E-2
4.826550960E1,3.126222849E0,-9.944869995E0,9.810572863E-2
4.830550960E1,3.126222849E0,-9.944869995E0,9.810572863E-2
4.834550960E1,3.126222849E0,-9.944869995E0,9.810572863E-2
4.838550960E1,3.126222849E0,-9.944869995E0,9.810572863E-2
4.842550960E1,3.126222849E0,-9.944869995E0,9.810572863E-2
4.846550960E1,3.126222849E0,-9.944869995E0,9.810572863E-2
4.850550960E1,3.126222849E0,-9.944869995E0,9.810572863E-2
4.854550960E1,3.126222849E0,-9.944869995E0,9.810572863E-2
4.858550960E1,2.141576290E0,-2.431915474E1,-4.317848682E0
4.862550960E1,2.200200319E0,-3.963411570E0,-2.376372099E0
4.866550960E1,4.707878530E-1,-1.185643578E1,1.307976723E0
4.870550960E1,-2.096112728E0,-1.315005589E1,1.648056626E0
4.874550960E1,-6.864410043E-1,-1.012941647E1,8.168498278E-1
4.878550960E1,1.438385487E0,-9.686145782E0,-3.017947674E-1
4.882550960E1,2.490031004E0,-9.160323143E0,1.911566138E0
4.886550960E1,1.571486235E0,-8.789136887E0,5.509474277E-1
4.890550960E1,1.628913999E0,-7.737491131E0,9.281160831E-1
4.894550960E1,6.311069727E-1,-9.451350212E0,6.334998012E-1
4.898550960E1,-5.330012441E-1,-9.821640015E0,1.152144074E0
4.902550960E1,-1.899602056E0,-9.153144836E0,3.078366280E0
4.906550960E1,-8.192426562E-1,-9.003593445E0,-1.713859290E-1
4.910550960E1,3.714258909E0,-1.179781246E1,3.775275946E0
4.914550960E1,7.501499176E0,-1.201466179E1,5.944369793E0
4.918550960E1,8.512466431E0,-1.410718536E1,3.024228811E0
4.922550960E1,3.447160006E0,-9.761520386E0,-2.306980133E0
4.926550960E1,2.300997972E0,-4.571786880E0,1.272084355E0
4.930550960E1,1.437189102E0,-5.919245243E0,2.279462576E0
4.934550960E1,-8.467600942E-1,-8.872885704E0,1.079162955E0
4.938550960E1,6.954140663E0,-6.023632050E0,1.374975681E0
4.942550960E1,6.954140663E0,-6.023632050E0,1.374975681E0
4.946550960E1,6.954140663E0,-6.023632050E0,1.374975681E0
4.950550960E1,6.954140663E0,-6.023632050E0,1.374975681E0
4.954550960E1,6.954140663E0,-6.023632050E0,1.374975681E0
4.958550960E1,6.954140663E0,-6.023632050E0,1.374975681E0
4.962550960E1,6.954140663E0,-6.023632050E0,1.374975681E0
4.966550960E1,6.954140663E0,-6.023632050E0,1.374975681E0
4.970550960E1,6.954140663E0,-6.023632050E0,1.374975681E0
4.974550960E1,6.954140663E0,-6.023632050E0,1.374975681E0
4.978550960E1,6.954140663E0,-6.023632050E0,1.374975681E0
4.982550960E1,6.954140663E0,-6.023632050E0,1.374975681E0
4.986550960E1,6.954140663E0,-6.023632050E0,1.374975681E0
4.990550960E1,6.954140663E0,-6.023632050E0,1.374975681E0
4.994550960E1,6.954140663E0,-6.023632050E0,1.374975681E0
4.998550960E1,6.954140663E0,-6.023632050E0,1.374975681E0
5.002550960E1,6.954140663E0,-6.023632050E0,1.374975681E0
5.006550960E1,6.954140663E0,-6.023632050E0,1.374975681E0
5.010550960E1,6.954140663E0,-6.023632050E0,1.374975681E0
5.014550960E1,6.954140663E0,-6.023632050E0,1.374975681E0
5.018550960E1,6.954140663E0,-6.023632050E0,1.374975681E0
5.022550960E1,6.954140663E0,-6.023632050E0,1.374975681E0
5.026550960E1,8.144569993E-1,-9.699306488E0,-1.178465128E0
5.030550960E1,1.771586061E0,-1.041565800E1,6.756733060E-1
5.034550960E1,3.006282568E0,-7.640581608E0,-3.400799036E-1
5.038550960E1,4.650749683E0,-8.565108299E0,-1.615753531E0
5.042550960E1,2.112862349E0,-9.949655533E0,-5.198407173E-1
5.046550960E1,2.582453728E0,-8.967700958E0,2.682952404E0
5.050550960E1,3.521337509E0,-1.036181927E1,3.789632797E0
5.054550960E1,4.308277130E0,-1.108385372E1,4.715655327E0
5.058550960E1,1.160519004E0,-1.075334454E1,6.109773636E0
5.062550960E1,-5.928218365E-1,-1.043240738E1,5.363512039E0
5.066550960E1,-2.369193554E0,-9.525827408E0,3.582354546E0
5.070550960E1,-2.378764868E0,-7.780561924E0,2.910569668E0
5.074550960E1,2.158325911E0,-5.793622017E0,1.857727647E0
5.078550960E1,3.982554197E0,-4.786243439E0,1.943869352E0
5.082550960E1,6.334998131E0,-5.793622017E0,2.491227388E0
5.086550960E1,4.974379063E0,-1.399801254E1,4.843671322E0
5.090550960E1,-1.762014747E0,-1.160369396E1,-6.804589629E-1
5.094550960E1,1.639681697E0,-1.013061333E1,8.360222816E0
5.098550960E1,3.426821232E0,-6.213861465E0,4.420739710E-1
5.102550960E1,5.319244862E0,-7.568498135E0,2.674577475E0
5.106550960E1,2.565704107E0,-1.216062355E1,5.198407173E-1
5.110550960E1,1.077966571E0,-8.805886269E0,5.933601856E0
5.114550960E1,1.077966571E0,-8.805886269E0,5.933601856E0
5.118550960E1,1.077966571E0,-8.805886269E0,5.933601856E0
5.122550960E1,1.077966571E0,-8.805886269E0,5.933601856E0
5.126550960E1,1.077966571E0,-8.805886269E0,5.933601856E0
5.130550960E1,1.077966571E0,-8.805886269E0,5.933601856E0
5.134550960E1,1.077966571E0,-8.805886269E0,5.933601856E0
5.138550960E1,1.077966571E0,-8.805886269E0,5.933601856E0
5.142550960E1,1.077966571E0,-8.805886269E0,5.933601856E0
5.146550960E1,1.077966571E0,-8.805886269E0,5.933601856E0
5.150550960E1,1.077966571E0,-8.805886269E0,5.933601856E0
5.154550960E1,1.077966571E0,-8.805886269E0,5.933601856E0
5.158550960E1,1.077966571E0,-8.805886269E0,5.933601856E0
5.162550960E1,1.077966571E0,-8.805886269E0,5.933601856E0
5.166550960E1,1.077966571E0,-8.805886269E0,5.933601856E0
5.170550960E1,1.077966571E0,-8.805886269E0,5.933601856E0
5.174550960E1,1.077966571E0,-8.805886269E0,5.933601856E0
5.178550960E1,1.077966571E0,-8.805886269E0,5.933601856E0
5.182550960E1,1.077966571E0,-8.805886269E0,5.933601856E0
5.186550960E1,1.077966571E0,-8.805886269E0,5.933601856E0
5.190550960E1,1.077966571E0,-8.805886269E0,5.933601856E0
5.194550960E1,1.801496387E0,-1.019880867E1,5.425725579E-1
5.198550960E1,1.546361595E-1,-9.754341125E0,-8.371888399E-1
5.202550960E1,1.801496387E0,-9.282656670E0,-2.120639086E-1
5.206550960E1,-3.879363835E-1,-1.110060310E1,6.828517914E-1
5.210550960E1,1.378564954E0,-9.096913338E0,-3.699901998E-1
5.214550960E1,1.006181955E0,-9.567701340E0,5.246263742E-1
5.218550960E1,1.353440285E0,-1.028136063E1,7.417750359E-2
5.222550960E1,1.628913999E0,-8.642875671E0,3.687937856E-1
5.226550960E1,-2.898306549E-1,-9.373583794E0,3.101696372E-1
5.230550960E1,2.036890239E-1,-1.037976551E1,5.294120312E-1
5.234550960E1,2.185843468E0,-9.190233231E0,-6.131607890E-1
5.238550960E1,3.147758245E0,-9.050253868E0,1.481755376E0
5.242550960E1,1.961815476E0,-9.220144272E0,2.596810818E0
5.246550960E1,9.966106415E-1,-8.210671425E0,-1.076770201E-2
5.250550960E1,7.618148923E-1,-9.533005714E0,-9.559326172E-1
5.254550960E1,2.363211393E0,-1.059541893E1,1.785643846E-1
5.258550960E1,3.380161047E0,-8.860920906E0,2.264208496E-1
5.262550960E1,1.524826288E0,-9.722038269E0,3.317050338E-1
5.266550960E1,1.258923769E0,-9.651450157E0,1.100698411E-1
5.270550960E1,-2.288136631E-1,-9.499206543E0,-3.915255964E-1
5.274550960E1,-1.143769264E0,-1.100608730E1,-1.266102314E0
5.278550960E1,-3.934697628E0,-1.308903885E1,-3.439981699E0
5.282550960E1,-3.934697628E0,-1.308903885E1,-3.439981699E0
5.286550960E1,-3.934697628E0,-1.308903885E1,-3.439981699E0
5.290550960E1,-3.934697628E0,-1.308903885E1,-3.439981699E0
5.294550960E1,-3.934697628E0,-1.308903885E1,-3.439981699E0
5.298550960E1,-3.934697628E0,-1.308903885E1,-3.439981699E0
5.302550960E1,-3.934697628E0,-1.308903885E1,-3.439981699E0
5.306550960E1,-3.934697628E0,-1.308903885E1,-3.439981699E0
5.310550960E1,-3.934697628E0,-1.308903885E1,-3.439981699E0
5.314550960E1,-3.934697628E0,-1.308903885E1,-3.439981699E0
5.318550960E1,-3.934697628E0,-1.308903885E1,-3.439981699E0
5.322550960E1,-3.934697628E0,-1.308903885E1,-3.439981699E0
5.326550960E1,-3.934697628E0,-1.308903885E1,-3.439981699E0
5.330550960E1,-3.934697628E0,-1.308903885E1,-3.439981699E0
5.334550960E1,-3.934697628E0,-1.308903885E1,-3.439981699E0
5.338550960E1,-3.934697628E0,-1.308903885E1,-3.439981699E0
5.342550960E1,-3.934697628E0,-1.308903885E1,-3.439981699E0
5.346550960E1,-3.934697628E0,-1.308903885E1,-3.439981699E0
5.350550960E1,-3.934697628E0,-1.308903885E1,-3.439981699E0
5.354550960E1,-3.934697628E0,-1.308903885E1,-3.439981699E0
5.358550960E1,-3.934697628E0,-1.308903885E1,-3.439981699E0
5.362550960E1,7.040282249E0,-1.541516209E1,-3.684348583E0
5.366550960E1,1.292423368E0,-1.052333450E1,-3.689134359E0
5.370550960E1,-3.760919094E0,-9.035896301E0,1.082752228E1
5.374550960E1,2.696112871E0,-1.022034359E1,2.519941330E0
