"Time (s)","X (hPa)"
9.198397183E1,1.014802322E3
9.305911283E1,1.014802780E3
9.413421183E1,1.014803238E3
9.520932383E1,1.014806366E3
9.628440283E1,1.014811554E3
9.735950783E1,1.014814987E3
9.843459583E1,1.014819183E3
9.950974283E1,1.014825439E3
1.005849088E2,1.014830933E3
1.016600938E2,1.014840698E3
1.027352638E2,1.014844437E3
1.038104378E2,1.014846344E3
1.048856978E2,1.014846344E3
1.059609378E2,1.014843369E3
1.070361448E2,1.014834747E3
1.081113438E2,1.014831238E3
1.091865328E2,1.014821243E3
1.102617398E2,1.014812088E3
1.113369548E2,1.014806595E3
1.124121678E2,1.014797897E3
1.134873818E2,1.014788666E3
1.145625978E2,1.014787140E3
1.156378178E2,1.014787140E3
1.167130078E2,1.014790802E3
1.177881478E2,1.014798126E3
1.188632778E2,1.014803848E3
1.199384778E2,1.014807587E3
1.210136688E2,1.014814606E3
1.220889258E2,1.014816818E3
1.231641528E2,1.014822998E3
1.242393388E2,1.014823990E3
1.253145678E2,1.014829025E3
1.263897828E2,1.014831161E3
1.274649618E2,1.014833679E3
1.285401588E2,1.014834747E3
1.296153058E2,1.014835434E3
1.306904928E2,1.014835434E3
1.317656518E2,1.014835434E3
1.328408788E2,1.014838562E3
1.339160818E2,1.014844589E3
1.349913428E2,1.014845123E3
1.360665778E2,1.014856262E3
1.371417948E2,1.014856415E3
1.382169778E2,1.014856262E3
1.392921488E2,1.014851990E3
1.403673588E2,1.014844818E3
1.414425268E2,1.014840469E3
1.425176808E2,1.014838333E3
1.435928878E2,1.014834366E3
1.446681128E2,1.014832687E3
1.457433458E2,1.014832687E3
1.468185388E2,1.014833450E3
1.478937008E2,1.014834976E3
1.489689108E2,1.014835205E3
1.500441878E2,1.014837494E3
1.511194358E2,1.014837494E3
1.521946448E2,1.014835129E3
1.532698858E2,1.014834366E3
1.543451348E2,1.014826965E3
1.554203478E2,1.014824905E3
1.564955788E2,1.014821472E3
1.575708238E2,1.014819641E3
1.586460988E2,1.014814911E3
1.597213398E2,1.014814529E3
1.607965468E2,1.014814529E3
1.618717958E2,1.014818726E3
1.629470588E2,1.014824066E3
1.640223118E2,1.014827805E3
1.650975358E2,1.014832077E3
1.661727518E2,1.014832077E3
1.672479778E2,1.014832077E3
1.683232078E2,1.014831619E3
1.693984128E2,1.014830704E3
1.704736078E2,1.014830093E3
1.715488118E2,1.014829941E3
1.726240298E2,1.014830093E3
1.736992158E2,1.014831772E3
1.747744148E2,1.014833755E3
1.758496218E2,1.014835129E3
1.769248328E2,1.014836044E3
1.780000158E2,1.014838715E3
1.790752378E2,1.014840393E3
1.801504948E2,1.014840698E3
1.812256978E2,1.014843826E3
1.823008728E2,1.014844437E3
1.833760478E2,1.014849014E3
1.844512828E2,1.014851379E3
1.855264688E2,1.014851379E3
1.866016588E2,1.014852600E3
1.876768968E2,1.014852219E3
1.887520968E2,1.014852600E3
1.898272498E2,1.014852829E3
1.909024698E2,1.014854813E3
1.919776908E2,1.014857330E3
1.930529378E2,1.014858322E3
1.941280878E2,1.014860458E3
1.952032928E2,1.014860458E3
1.962784868E2,1.014858170E3
1.973536838E2,1.014855652E3
1.984288878E2,1.014853745E3
1.995040688E2,1.014849854E3
2.005792688E2,1.014844208E3
2.016544978E2,1.014838333E3
2.027296538E2,1.014836807E3
2.038048278E2,1.014836273E3
2.048800558E2,1.014836273E3
2.059552398E2,1.014836273E3
2.070303948E2,1.014840240E3
2.081055458E2,1.014846497E3
2.091806988E2,1.014850159E3
2.102558088E2,1.014853516E3
2.113310168E2,1.014857483E3
2.124061978E2,1.014857483E3
2.134814218E2,1.014855957E3
2.145566338E2,1.014850311E3
2.156318788E2,1.014843750E3
2.167071128E2,1.014837494E3
2.177823548E2,1.014829330E3
2.188575578E2,1.014824905E3
2.199327708E2,1.014824219E3
2.210080288E2,1.014822083E3
2.220833248E2,1.014816589E3
2.231585858E2,1.014813461E3
2.242338508E2,1.014810715E3
2.253091418E2,1.014806519E3
2.263844008E2,1.014803848E3
2.274596668E2,1.014803848E3
2.285349428E2,1.014807129E3
2.296102508E2,1.014809341E3
2.306855278E2,1.014810333E3
2.317608128E2,1.014813766E3
2.328361038E2,1.014817352E3
2.339114268E2,1.014819183E3
2.349867188E2,1.014821320E3
2.360620268E2,1.014823380E3
2.371373288E2,1.014824600E3
2.382126148E2,1.014824600E3
2.392878928E2,1.014823456E3
2.403631378E2,1.014822922E3
2.414384158E2,1.014823456E3
2.425136188E2,1.014823837E3
2.435888248E2,1.014826965E3
2.446640318E2,1.014828186E3
2.457392118E2,1.014826965E3
2.468143928E2,1.014828186E3
2.478895668E2,1.014829025E3
2.489647658E2,1.014832916E3
2.500399828E2,1.014840088E3
2.511151848E2,1.014846191E3
2.521903708E2,1.014848022E3
2.532655448E2,1.014853973E3
2.543407508E2,1.014853973E3
2.554159228E2,1.014853973E3
2.564910718E2,1.014854965E3
2.575661818E2,1.014859238E3
2.586412948E2,1.014860001E3
2.597164458E2,1.014860840E3
2.607915708E2,1.014861908E3
2.618667298E2,1.014861908E3
2.629418428E2,1.014861069E3
2.640169718E2,1.014858170E3
2.650921528E2,1.014857559E3
2.661673498E2,1.014854813E3
2.672424988E2,1.014853745E3
2.683176248E2,1.014853745E3
2.693927338E2,1.014856033E3
2.704678518E2,1.014856491E3
2.715429958E2,1.014856491E3
