"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.293218279E2,5.193042257E1,4.458548770E0,2.687200548E0,9.532914630E-2,3.435718224E2,4.746956420E0,3.360199663E0
1.303218116E2,5.193042172E1,4.458545934E0,2.719651940E0,6.980095834E-2,3.435718207E2,4.748238177E0,3.358388192E0
1.313217933E2,5.193042139E1,4.458546090E0,2.708932620E0,0.000000000E0,3.435718209E2,4.748342120E0,3.358241228E0
1.323217767E2,5.193042139E1,4.458546090E0,2.708932620E0,0.000000000E0,3.435718209E2,4.748243207E0,3.358381081E0
1.333238176E2,5.193042139E1,4.458546090E0,2.708932620E0,0.000000000E0,3.435718209E2,4.750202177E0,3.355609678E0
1.343238256E2,5.193042139E1,4.458546090E0,2.708932620E0,0.000000000E0,3.435718209E2,4.748388906E0,3.358175075E0
1.353238033E2,5.193042706E1,4.458543037E0,2.769379462E0,1.712400308E-2,3.435718185E2,4.749405888E0,3.356736621E0
1.363238070E2,5.193042566E1,4.458543962E0,2.777987305E0,0.000000000E0,3.435718192E2,4.748832240E0,3.357548122E0
1.373238120E2,5.193042801E1,4.458541993E0,2.661880814E0,5.186636853E-2,3.435718178E2,4.753869203E0,3.350412606E0
1.383237898E2,5.193042480E1,4.458544127E0,2.617692519E0,1.593567107E-1,3.435718194E2,4.755709039E0,3.347800557E0
1.393237959E2,5.193043518E1,4.458538135E0,2.419077640E0,5.655899714E-1,3.431332015E2,4.759492742E0,3.342419164E0
1.403238010E2,5.193043279E1,4.458538916E0,2.476563608E0,2.555889073E-1,3.453589395E2,4.754390379E0,3.349672993E0
1.413237784E2,5.193043096E1,4.458536576E0,2.500717114E0,1.095269847E-1,3.453589377E2,4.752628506E0,3.352172328E0
1.423237817E2,5.193042894E1,4.458537580E0,2.477951784E0,7.672868182E-2,3.453589385E2,4.758967695E0,3.343166689E0
1.433237898E2,5.193043211E1,4.458538022E0,2.373847971E0,1.092499269E-1,3.453589388E2,4.762665194E0,3.337897135E0
