Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Datetime
23.76336537,-2.65873909,-2.831377029,-1.380226851,2024-06-04 14:52:33.763365
23.80389506,-2.017160416,-0.1741905212,2.476808786,2024-06-04 14:52:33.803895
23.84440032,-2.136703491,-0.6951055527,1.763277531,2024-06-04 14:52:33.844400
23.88489506,0.231338501,-3.428214073,4.894967079,2024-06-04 14:52:33.884895
23.92525287,-1.565724373,-1.496788025,3.215230465,2024-06-04 14:52:33.925253
23.96574032,-0.138092041,0.4150905609,-0.716801703,2024-06-04 14:52:33.965740
24.00629537,-0.2860541344,0.3300619125,-1.685831666,2024-06-04 14:52:34.006295
24.04676453,-0.7773199081,-0.1389656067,-0.7688590288,2024-06-04 14:52:34.046765
24.08725683,-0.8364775181,-0.4754161835,-1.104178786,2024-06-04 14:52:34.087257
24.12777058,1.386951685,-0.3684139252,1.616921544,2024-06-04 14:52:34.127771
24.16825865,1.817670107,0.9642267227,3.49237895,2024-06-04 14:52:34.168259
24.20873641,-0.1767861843,-0.3821315765,-0.5781157613,2024-06-04 14:52:34.208736
24.2492063,-1.00258553,-0.3105516434,-1.260622382,2024-06-04 14:52:34.249206
24.28969526,-1.47893846,-0.1578578949,-1.28111279,2024-06-04 14:52:34.289695
24.33019438,-0.3826949596,-0.122051239,-0.421040982,2024-06-04 14:52:34.330194
24.37070287,-0.05597686768,0.1257190704,0.6788518429,2024-06-04 14:52:34.370703
24.41116276,0.7520136833,-0.02838802338,0.5711835027,2024-06-04 14:52:34.411163
24.45166292,0.4246883392,0.2858438492,0.4430567026,2024-06-04 14:52:34.451663
24.49213828,-0.6759874821,-0.07911586761,-0.495162189,2024-06-04 14:52:34.492138
24.53263516,-0.7005298138,-0.3457975388,-0.2467320561,2024-06-04 14:52:34.532635
24.57315495,-0.4100124836,-0.0105676651,0.9762966633,2024-06-04 14:52:34.573155
24.61364719,-0.8396217823,-0.2639341354,-0.2190338969,2024-06-04 14:52:34.613647
24.65411287,-0.891920805,-0.2241926193,-0.2963656485,2024-06-04 14:52:34.654113
24.69463016,-0.4634876251,0.1422519684,0.1112162471,2024-06-04 14:52:34.694630
24.73503568,-0.4050619602,0.1128988266,0.8244799376,2024-06-04 14:52:34.735036
24.77552396,0.5904483795,-0.145067215,-0.1905530095,2024-06-04 14:52:34.775524
24.81604104,-0.1071171761,0.1918087006,0.1226299703,2024-06-04 14:52:34.816041
24.85656854,0.3200645447,0.2654485703,-0.9108640552,2024-06-04 14:52:34.856569
24.8970336,-0.2486183643,0.0516204834,-0.2500779033,2024-06-04 14:52:34.897034
24.93751042,0.3722624779,-0.4416875839,-0.06182968616,2024-06-04 14:52:34.937510
24.9780111,-0.3982477188,0.2255125046,0.9763073921,2024-06-04 14:52:34.978011
25.01849761,-0.4901381731,-0.3164567947,-0.8713845611,2024-06-04 14:52:35.018498
25.05897464,0.3341639042,0.2073373795,0.185277462,2024-06-04 14:52:35.058975
25.09946584,1.196581125,0.2554388046,0.6957711577,2024-06-04 14:52:35.099466
25.13995813,0.3228640556,0.0922908783,-0.5228213072,2024-06-04 14:52:35.139958
25.18044636,0.2242922783,0.2154417038,0.1320152283,2024-06-04 14:52:35.180446
25.22093573,-0.3635649681,-0.01522922516,0.1044129133,2024-06-04 14:52:35.220936
25.26141433,-0.6024889946,-0.3212547302,0.6953215599,2024-06-04 14:52:35.261414
25.30190245,-1.893814921,-0.6086893082,0.2774965763,2024-06-04 14:52:35.301902
25.34240745,-2.273058414,-0.6212787628,-0.312743783,2024-06-04 14:52:35.342407
25.38288224,-2.051196814,-0.7759494781,0.7609081268,2024-06-04 14:52:35.382882
25.42335573,0.276674509,0.08492279053,-0.2852348089,2024-06-04 14:52:35.423356
25.46385,0.4906861782,-0.1489725113,0.7804388404,2024-06-04 14:52:35.463850
25.50436656,-0.3730540276,-0.5025262833,-1.987653494,2024-06-04 14:52:35.504367
25.54483334,1.027563572,-0.4788646698,-0.6791927814,2024-06-04 14:52:35.544833
25.58532412,-0.2253549099,0.8180046082,-0.7992113829,2024-06-04 14:52:35.585324
25.62582813,0.2523248196,1.727311134,-1.707127213,2024-06-04 14:52:35.625828
25.66633735,1.706553459,1.268549919,-1.26160264,2024-06-04 14:52:35.666337
25.70682563,2.280729055,0.7188386917,0.01572430134,2024-06-04 14:52:35.706826
25.74728459,0.449003458,-0.5558223724,-1.204726338,2024-06-04 14:52:35.747285
25.78775782,1.780421972,-1.632704735,-0.04892921448,2024-06-04 14:52:35.787758
25.82824386,2.455793858,-0.2127494812,2.182443142,2024-06-04 14:52:35.828244
25.86870521,0.8093316555,-0.72813797,2.798720598,2024-06-04 14:52:35.868705
25.90921896,-0.5078687668,0.145658493,1.366925716,2024-06-04 14:52:35.909219
25.94970735,-0.07959294319,0.4415636063,-1.733267069,2024-06-04 14:52:35.949707
25.99018339,0.102314949,-0.8813791275,-0.3413239121,2024-06-04 14:52:35.990183
26.03066948,1.094547987,-1.000792503,0.8547098041,2024-06-04 14:52:36.030669
26.07117776,2.148504734,-0.3847904205,-2.672615767,2024-06-04 14:52:36.071178
26.11166667,0.9056017399,2.789669991,-1.891858339,2024-06-04 14:52:36.111667
26.15214938,-2.062327385,3.707025528,-5.35675621,2024-06-04 14:52:36.152149
26.19258297,-3.65112257,1.096923828,1.773789048,2024-06-04 14:52:36.192583
26.23310052,-0.2861886024,-3.726293564,-6.418353081,2024-06-04 14:52:36.233101
26.27360985,4.413646698,-3.980335236,4.045297146,2024-06-04 14:52:36.273610
26.31416839,-0.9120452404,2.545524597,1.698495388,2024-06-04 14:52:36.314168
26.35459578,-0.7834274769,2.006894112,2.02558732,2024-06-04 14:52:36.354596
26.39500985,-2.104210854,-2.229650497,-0.7942903042,2024-06-04 14:52:36.395010
26.4355275,-2.293891907,-0.9977169037,3.16990757,2024-06-04 14:52:36.435527
26.47601412,0.2916870117,-0.3340730667,-2.313394547,2024-06-04 14:52:36.476014
26.51650084,1.202424526,-0.2742404938,1.171245456,2024-06-04 14:52:36.516501
26.557025,0.5884759426,1.819003105,-0.2329494655,2024-06-04 14:52:36.557025
26.59752271,-0.9362413883,-0.2121372223,1.081406236,2024-06-04 14:52:36.597523
26.63800229,-0.6942142248,0.05443572998,0.5665768385,2024-06-04 14:52:36.638002
26.6784824,-1.76712513,-0.1575784683,0.548412621,2024-06-04 14:52:36.678482
26.71897037,-1.206478953,-0.0363035202,0.483741492,2024-06-04 14:52:36.718970
26.75946219,1.640414715,0.8161888123,-0.2484059334,2024-06-04 14:52:36.759462
26.79995021,1.476537943,-0.4820652008,0.371676743,2024-06-04 14:52:36.799950
26.84042229,0.9442710876,0.1261463165,-1.74414742,2024-06-04 14:52:36.840422
26.88094683,0.03291201591,1.28758049,-0.8712280989,2024-06-04 14:52:36.880947
26.92139703,-1.625973821,-0.6672620773,2.620409489,2024-06-04 14:52:36.921397
26.96188469,-2.344821215,-1.075734138,1.623497009,2024-06-04 14:52:36.961885
27.00238641,-3.545741796,-0.9908437729,0.6425500512,2024-06-04 14:52:37.002386
27.04288698,-2.357254028,-0.6436386108,2.466792583,2024-06-04 14:52:37.042887
27.08334906,-1.560167551,-1.387979507,3.47154212,2024-06-04 14:52:37.083349
27.12383761,-1.356265306,-1.227415085,2.420345783,2024-06-04 14:52:37.123838
27.16439745,-0.06747341156,-1.726006508,0.560626328,2024-06-04 14:52:37.164397
