"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.693245334E1,-5.481956482E0,-2.110080719E1,6.919445038E0
6.693245334E1,4.061517239E0,-2.879462957E0,2.951247692E0
6.701245334E1,2.500798702E0,-1.156929731E0,-1.252014542E1
6.705245334E1,2.500798702E0,-1.156929731E0,-1.252014542E1
6.709245334E1,2.500798702E0,-1.156929731E0,-1.252014542E1
6.713245334E1,2.500798702E0,-1.156929731E0,-1.252014542E1
6.717245334E1,-9.607182741E-1,-8.927920341E0,-2.326122761E0
6.721245334E1,3.318845034E0,-8.832207680E0,1.108146095E1
6.725245334E1,2.703291416E0,-8.189136505E0,-1.164108157E0
6.729245334E1,2.703291416E0,-8.189136505E0,-1.164108157E0
6.733245334E1,2.703291416E0,-8.189136505E0,-1.164108157E0
6.737245334E1,2.703291416E0,-8.189136505E0,-1.164108157E0
6.741245334E1,2.703291416E0,-8.189136505E0,-1.164108157E0
6.745245334E1,-1.484148264E0,-1.435035515E1,2.874378264E-1
6.749245334E1,-7.737790346E-1,-1.464856148E1,4.715655327E0
6.753245334E1,3.288934708E0,-1.319073391E1,2.522334099E0
6.757245334E1,3.288934708E0,-1.319073391E1,2.522334099E0
6.761245334E1,3.288934708E0,-1.319073391E1,2.522334099E0
6.765245334E1,2.104487419E0,-1.159292698E1,-2.385943174E0
6.769245334E1,-1.824228168E0,-8.967700958E0,-6.119644046E-1
6.773245334E1,7.178468257E-2,-7.339684486E0,-5.110770226E0
6.777245334E1,2.363211393E0,-3.831507206E0,-2.199003935E0
6.781245334E1,5.555236816E0,4.827519655E-1,-2.230110645E0
6.785245334E1,3.992125511E0,-8.910273314E-1,5.700899959E-1
6.789245334E1,3.992125511E0,-8.910273314E-1,5.700899959E-1
6.793245334E1,3.992125511E0,-8.910273314E-1,5.700899959E-1
6.797245334E1,4.081856251E0,-1.161715388E0,2.455335140E0
6.801245334E1,7.683652401E0,-1.591675758E1,3.125624657E-1
6.805245334E1,4.396811485E0,-1.303878975E1,-1.328076363E1
6.809245334E1,4.396811485E0,-1.303878975E1,-1.328076363E1
6.813245334E1,4.396811485E0,-1.303878975E1,-1.328076363E1
6.817245334E1,4.396811485E0,-1.303878975E1,-1.328076363E1
6.821245334E1,4.396811485E0,-1.303878975E1,-1.328076363E1
6.825245334E1,3.046960592E0,-6.325426579E0,1.554078484E1
6.829245334E1,3.048156977E0,-7.805686474E0,-3.696312666E0
6.833245334E1,4.181457520E0,-6.473781586E0,-1.830210209E0
6.837245334E1,-9.738788009E-1,-1.158574772E1,6.572186470E0
6.841245334E1,-4.838885784E0,-1.240977669E1,-1.339083314E0
6.845245334E1,-2.531905413E0,-1.175354481E1,-9.305089116E-1
6.849245334E1,1.069591761E0,-1.251177025E1,2.438585281E0
6.853245334E1,1.069591761E0,-1.251177025E1,2.438585281E0
6.857245334E1,6.622136831E-1,-1.319671631E1,-8.970093727E-1
6.861245334E1,7.646564007E0,-1.546421432E1,-2.204387933E-1
6.865245334E1,8.234600067E0,-1.625234985E1,2.111665964E0
6.869245334E1,1.546361685E0,-9.148359299E0,-8.513663292E0
6.873245334E1,-2.978765011E0,-8.366205215E0,-1.425225019E0
6.877245334E1,8.240283132E-1,-5.042574406E0,-1.942672849E0
6.881245334E1,8.240283132E-1,-5.042574406E0,-1.942672849E0
6.885245334E1,8.240283132E-1,-5.042574406E0,-1.942672849E0
6.889245334E1,8.240283132E-1,-5.042574406E0,-1.942672849E0
6.893245334E1,1.223031521E0,-2.643321228E1,2.036411667E1
6.897245334E1,1.223031521E0,-2.643321228E1,2.036411667E1
6.901245334E1,8.771190643E0,-1.707877159E0,2.149951220E0
6.905245334E1,5.454439163E0,-2.503191566E1,1.239661598E1
6.909245334E1,3.347857952E0,-1.408475280E0,-1.034506989E1
6.913245334E1,3.438785315E0,-3.380161047E0,-3.312862873E0
6.917245334E1,7.137490749E0,-1.356700516E1,-3.383750439E0
6.921245334E1,7.137490749E0,-1.356700516E1,-3.383750439E0
6.925245334E1,-2.232503414E0,-1.088524914E1,-2.845963478E0
6.929245334E1,1.918744683E0,-6.755237579E0,1.044437218E1
6.933245334E1,2.773879766E0,-8.010572433E0,-3.872185230E0
6.937245334E1,1.964208245E0,-7.677670479E0,4.863412082E-1
6.941245334E1,1.964208245E0,-7.677670479E0,4.863412082E-1
6.945245334E1,-3.165704250E0,-1.242054367E1,3.664009571E0
6.949245334E1,-4.121337891E0,-1.255244827E1,5.150550604E-1
6.953245334E1,-1.055234790E0,-1.173440266E1,4.528416991E-1
6.957245334E1,8.374879509E-2,-1.420529079E1,8.168498278E-1
6.961245334E1,-4.133601189E-1,-1.402194023E1,4.323830605E0
6.965245334E1,-4.133601189E-1,-1.402194023E1,4.323830605E0
6.969245334E1,8.989236832E0,-1.480887985E1,-2.256431818E0
6.973245334E1,8.989236832E0,-1.480887985E1,-2.256431818E0
6.977245334E1,8.989236832E0,-1.480887985E1,-2.256431818E0
6.981245334E1,-1.789532185E0,-8.632107735E0,-6.201897144E0
6.985245334E1,1.748854280E0,-4.648356915E0,-6.984050870E-1
6.989245334E1,1.748854280E0,-4.648356915E0,-6.984050870E-1
6.993245334E1,3.076870918E0,-1.953141540E-1,-5.982056633E-2
6.993245334E1,3.076870918E0,-1.953141540E-1,-5.982056633E-2
7.001245334E1,-2.874677420E0,-2.826342201E1,1.961306953E1
7.005245334E1,9.125627279E-1,-7.557730198E0,3.138186932E0
7.009245334E1,1.079282665E1,-6.760023117E0,-1.304387450E0
7.013245334E1,6.330212116E0,-2.104337883E1,3.432803154E0
7.017245334E1,6.330212116E0,-2.104337883E1,3.432803154E0
