"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.111708892E2,5.233713764E1,4.873349300E0,3.576416581E1,1.100000024E0,3.521000061E2,1.191430759E1,8.946310997E0
2.121677840E2,5.233715106E1,4.873348720E0,3.436208477E1,1.120000005E0,3.502000122E2,1.183944225E1,8.704235077E0
2.131682436E2,5.233716418E1,4.873349120E0,3.404704000E1,1.120000005E0,6.199999809E0,1.173585892E1,8.466732025E0
2.141669083E2,5.233717679E1,4.873349180E0,3.304650847E1,1.159999967E0,3.503999939E2,1.172700214E1,8.365183830E0
2.151658340E2,5.233719108E1,4.873345730E0,3.268867750E1,1.129999995E0,3.442000122E2,1.181868744E1,8.431974411E0
2.161703671E2,5.233720275E1,4.873342750E0,3.254281820E1,1.100000024E0,3.436000061E2,1.180402470E1,8.306844711E0
2.171724470E2,5.233721376E1,4.873339940E0,3.182145758E1,1.100000024E0,3.465000000E2,1.165650749E1,7.998049259E0
2.181668268E2,5.233722531E1,4.873341070E0,3.150110096E1,1.139999986E0,2.200000048E0,1.170867729E1,8.095232010E0
2.191660356E2,5.233723713E1,4.873341460E0,3.098970425E1,1.129999995E0,3.481000061E2,1.174484062E1,8.364591599E0
2.201690622E2,5.233724983E1,4.873339440E0,3.003659598E1,1.120000005E0,3.372000122E2,1.172000122E1,8.655302048E0
2.211661666E2,5.233726076E1,4.873335980E0,2.894530080E1,1.070000052E0,3.411000061E2,1.163091278E1,8.523380280E0
2.221714711E2,5.233727350E1,4.873335060E0,2.857312583E1,1.139999986E0,3.532000122E2,1.163071060E1,8.443058014E0
2.231704284E2,5.233728682E1,4.873334200E0,2.862496294E1,1.110000014E0,3.497000122E2,1.160486031E1,8.247947693E0
2.241726071E2,5.233729795E1,4.873328940E0,2.894663087E1,1.139999986E0,3.327000122E2,1.166091251E1,8.228847504E0
2.251710157E2,5.233730876E1,4.873321150E0,2.753587503E1,1.009999990E0,3.265000000E2,1.163164234E1,8.050913811E0
2.261680126E2,5.233732001E1,4.873313070E0,2.593920656E1,1.110000014E0,3.157999878E2,1.164970303E1,8.078111649E0
2.271692605E2,5.233733243E1,4.873307850E0,2.474830309E1,1.240000010E0,3.442999878E2,1.164533615E1,8.168885231E0
2.281741885E2,5.233734436E1,4.873305670E0,2.340646073E1,1.100000024E0,3.487000122E2,1.161217976E1,8.076693535E0
2.291682982E2,5.233735530E1,4.873302150E0,2.141013622E1,1.159999967E0,3.327000122E2,1.160212708E1,8.009158134E0
2.301664993E2,5.233736654E1,4.873297740E0,2.124834533E1,1.179999948E0,3.502999878E2,1.161965466E1,8.126332283E0
2.311715595E2,5.233737640E1,4.873287850E0,2.239129788E1,1.309999943E0,3.162999878E2,1.164606953E1,8.199310303E0
2.321660720E2,5.233738556E1,4.873277580E0,2.082032101E1,1.129999995E0,3.276000061E2,1.175569916E1,8.484628677E0
2.331676608E2,5.233739427E1,4.873268500E0,2.156538423E1,1.149999976E0,3.152000122E2,1.164555836E1,8.357617378E0
2.341687722E2,5.233740452E1,4.873261700E0,2.007082689E1,1.210000038E0,3.387999878E2,1.171821976E1,8.544375420E0
2.351663533E2,5.233741551E1,4.873256300E0,1.831223332E1,1.120000005E0,3.351000061E2,1.182955456E1,8.801696777E0
