"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.470448112E2,1.291328788E0,-2.090519853E-2,7.977263927E-1
2.470852840E2,4.912055731E-1,-6.822817326E-1,-1.486000121E-1
2.471257496E2,-2.695039511E-1,-3.087844253E-1,-4.260932095E-3
2.471662709E2,-3.137111366E-1,-7.461957335E-1,3.625786901E-1
2.472067773E2,-1.549914032E-1,-1.246455789E0,2.525933683E-1
2.472472608E2,-4.043890834E-1,-1.281342149E0,4.150414169E-1
2.472877509E2,-6.643059254E-1,-9.970580935E-1,5.420704484E-1
2.473282293E2,-1.441526532E0,2.004369020E0,-4.733629227E-1
2.473687108E2,-1.707435369E0,3.592631578E0,-1.825409889E0
2.474091879E2,-1.022357345E0,7.242252827E-1,-5.977289081E-1
2.474496599E2,-4.645747542E-1,-1.007710457E0,-3.862801194E-1
2.474901398E2,-1.209305763E0,4.737623930E-1,-1.784265228E-2
2.475306172E2,-1.431406856E0,1.802640557E0,7.529866099E-1
2.475711109E2,-1.185071766E-1,2.092517138E0,1.221023321E0
2.476115867E2,1.817154408E0,1.831401825E0,1.234338760E0
2.476520724E2,3.167603493E0,4.149082601E-1,6.398055553E-1
2.476925743E2,2.763347626E0,-1.466026902E-1,2.613815665E-1
2.477330844E2,1.828339338E0,1.171756312E-1,1.061771035E0
2.477735679E2,2.881588459E0,-8.583115339E-1,2.387453556E0
2.478140246E2,8.150364161E-1,-8.431319594E-1,1.114233732E0
2.478544544E2,2.861482203E-1,-1.511965156E0,8.886706233E-1
2.478949523E2,-1.822214246E0,-1.398517847E0,1.379476786E-1
2.479354465E2,5.220973492E-1,-8.412677646E-1,-1.746982187E-1
2.479759442E2,-2.326202631E0,-1.597982645E0,5.979951620E-1
2.480164162E2,4.491288662E-1,1.715025157E-1,1.462032348E-1
2.480569076E2,-1.707435369E0,-1.920881510E0,9.025186896E-1
2.480973330E2,-1.230344176E-1,-4.206338823E-1,-1.062569916E-1
2.481378334E2,-1.131543756E0,-6.596455574E-1,-3.331516385E-1
2.481783522E2,-1.057510138E0,2.817541361E-1,-1.821548492E-1
2.482188245E2,-9.157009125E-1,3.256950080E-1,-1.169093251E-1
2.482592992E2,-6.896052361E-1,-9.720250964E-3,-4.933360517E-1
2.482997985E2,-4.717650712E-1,-8.002562821E-2,-2.543243766E-1
2.483402803E2,-4.262263775E-1,-7.810820937E-1,-3.764267266E-1
2.483807716E2,-1.944050342E-1,-8.266208172E-1,-7.163692266E-2
2.484212526E2,-1.651111245E-2,-6.758903265E-1,-3.248960897E-2
2.484617346E2,-4.500609636E-2,-8.276860714E-1,-1.022623703E-1
2.485022456E2,2.414084375E-1,-9.046491385E-1,-2.236989327E-2
2.485427474E2,5.639077425E-1,-4.898740351E-1,-3.967992961E-2
