"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.213152969E0,2.206496954E0,1.998643428E-1,7.067821026E-1
7.253657865E0,3.134714365E0,1.306907773E0,5.091813803E-1
7.294173438E0,2.509822130E0,1.866288304E0,5.376763940E-1
7.334640990E0,1.684399724E0,1.749378920E0,5.459319353E-1
7.375147500E0,1.465494275E0,9.876041412E-1,5.840139985E-1
7.415641459E0,1.325815678E0,-7.949301600E-2,8.407351375E-1
7.456131927E0,9.551145434E-1,-6.828143597E-1,9.489894509E-1
7.496633854E0,2.290250957E-1,-1.081877232E0,8.186315894E-1
7.537095417E0,-6.596455574E-1,-1.068561912E0,3.226324618E-1
7.577584063E0,-1.202514887E0,-1.539661169E0,-2.573869228E-1
7.618075990E0,-1.063368917E0,-1.064300895E0,-3.826849759E-1
7.658589427E0,9.157009125E-1,1.942718774E-1,7.813484073E-1
7.699087084E0,2.809551954E-1,-7.192986012E-1,1.924077123E-1
7.739580677E0,-6.441996694E-1,-2.664414048E-1,-5.435351729E-1
7.780103073E0,2.529928461E-3,4.223648906E-1,1.894783229E-1
7.820599375E0,-2.326868296E0,4.844147265E-1,-4.995943010E-1
7.861081459E0,-2.485055447E0,2.649367571E0,-1.234471917E0
7.901572396E0,-1.888658166E0,-1.063235760E0,-1.062170506E0
7.942041407E0,-1.398517847E0,3.097164929E-1,3.595161485E-3
7.982535834E0,-1.861494660E0,1.230743647E0,5.834813714E-1
8.023046563E0,-1.776808739E0,1.354310632E0,1.809564531E-1
8.063529688E0,-1.159373045E0,1.442325473E0,-2.225005478E-1
8.104006146E0,-1.495986581E0,8.523195982E-1,-3.395430148E-1
8.144494375E0,-9.544488192E-1,8.007889390E-1,-5.613778234E-1
8.185008750E0,-3.703016341E-1,5.760247707E-1,-6.497921348E-1
8.225520573E0,-2.352833450E-1,5.214315653E-1,1.742987484E-1
8.265996927E0,6.026555896E-1,6.705641747E-1,4.790885448E-1
8.306479740E0,2.182262897E0,9.756202698E-1,8.724258542E-1
8.346970573E0,3.107817411E0,1.282940030E0,9.019860625E-1
8.387467761E0,2.420608997E0,2.656957388E0,5.640408993E-1
8.427946823E0,1.574947000E0,1.516359210E0,5.469971299E-1
8.468462188E0,1.945381761E0,3.925383687E-1,3.077192008E-1
8.508993334E0,1.313032866E0,-4.945344329E-1,6.516563296E-1
