Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Datetime
188.1172473,52.33489344,4.86718033,0.2955609375,1.279999971,109.9000015,3.790092468,3.648764849,2024-06-05 16:43:33.117247
189.1199464,52.33489148,4.86720842,-0.41591256,1.399999976,86.80000305,3.790092468,3.571465969,2024-06-05 16:43:34.119946
190.1176824,52.33489011,4.86723153,0.03691856297,1.320000052,97.09999847,3.790092468,3.61642909,2024-06-05 16:43:35.117682
191.1164377,52.3348903,4.86726012,0.5759366577,1.710000038,93.59999847,3.790092468,3.685115337,2024-06-05 16:43:36.116438
192.120326,52.3348889,4.86729187,0.07625803485,1.789999962,92.30000305,3.790092468,3.819455862,2024-06-05 16:43:37.120326
193.1184983,52.33488477,4.86731886,0.1208843703,1.440000057,97.90000153,3.790092468,3.664898872,2024-06-05 16:43:38.118498
194.1211593,52.33487938,4.86734062,-0.1245941579,1.230000019,95.40000153,3.790092468,3.695969105,2024-06-05 16:43:39.121159
195.1176058,52.33487236,4.86735807,0.8356720655,1.24000001,105.0999985,3.790092468,3.707342625,2024-06-05 16:43:40.117606
196.11969,52.33486845,4.86737844,0.7393647458,1.309999943,90.59999847,3.790092468,3.816989183,2024-06-05 16:43:41.119690
197.1198311,52.33486588,4.86740522,0.3184169839,1.720000029,86.30000305,3.790092468,3.784121275,2024-06-05 16:43:42.119831
198.1162152,52.33486747,4.86743642,1.011308171,2.039999962,85.19999695,3.790092468,3.757004023,2024-06-05 16:43:43.116215
199.1207937,52.33487132,4.86746837,0.8955481816,2.130000114,79.40000153,3.790092468,3.647472382,2024-06-05 16:43:44.120794
200.1162804,52.33487469,4.86749505,1.327575028,1.840000033,77.69999695,3.790092468,3.595568895,2024-06-05 16:43:45.116280
201.1169517,52.33487638,4.86751429,1.427197792,1.440000057,84.90000153,3.790092468,3.513179064,2024-06-05 16:43:46.116952
202.1167735,52.33487521,4.86753325,1.415854458,1.200000048,86.69999695,3.790092468,3.340110302,2024-06-05 16:43:47.116773
203.1182912,52.33487309,4.86755111,1.414885135,1.269999981,100.4000015,3.790092468,3.231139421,2024-06-05 16:43:48.118291
