"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.515621886E0,-1.218329430E0,8.022372723E-1,1.247525215E-1
5.556104230E0,-1.598076820E0,3.572952151E-1,3.684997559E-2
5.596589646E0,-4.819345474E-1,3.185875416E-1,4.901838303E-1
5.637100688E0,3.354644775E-1,2.220233083E-1,-1.466231346E-1
5.677600480E0,7.900543213E-1,-1.866507530E-2,-7.307486534E-1
5.718076938E0,6.090431213E-1,2.049587965E-1,-7.081356049E-1
5.758541313E0,-5.488109589E-2,-7.635318041E-1,-5.150358677E-1
5.799029855E0,-5.784702301E-1,-1.383383870E0,3.531122208E-2
5.839519073E0,-1.027931213E0,-1.102714062E0,4.548730850E-1
5.880027615E0,-5.402898788E-1,-5.704095364E-1,4.054107666E-1
5.920548605E0,4.367647171E-1,-7.633149624E-2,2.855210304E-1
5.961012407E0,9.564456940E-1,1.886264086E-1,-9.588479996E-2
6.001477094E0,5.121631622E-1,5.618083477E-2,-2.234847546E-1
6.041978917E0,-2.330579758E-1,-2.473430634E-1,-2.302901745E-1
6.082465740E0,-4.816303253E-1,-3.239709139E-1,-2.816185951E-1
6.122965636E0,-3.568496704E-1,-2.736459970E-1,-3.708519936E-1
6.163483813E0,-7.143974304E-2,-1.462928057E-1,-5.875644684E-1
6.203967615E0,1.479148865E-3,6.944108009E-2,-6.508138180E-1
6.244468292E0,-1.106691360E-1,2.138173580E-1,-7.088050842E-1
6.284954594E0,-9.671115875E-2,1.886968613E-1,-6.958842278E-1
6.325446834E0,-7.446765900E-2,1.578025818E-1,-5.920772552E-1
6.365933240E0,-2.614603043E-1,-2.589113712E-1,-1.286659241E-1
6.406418553E0,-5.758190155E-2,-4.571496248E-1,-3.422040939E-1
6.446907250E0,3.908538818E-2,-4.750607014E-1,1.309766769E-1
6.487395948E0,4.689502716E-2,-8.028118610E-1,1.800584793E-2
6.527884646E0,-4.583749771E-1,-6.742589474E-1,4.300551414E-1
6.568320844E0,4.601192474E-1,-4.214488268E-1,-1.290335655E-1
6.608834438E0,7.431707382E-1,6.504559517E-2,-2.247264385E-1
6.649323448E0,1.745519638E-1,2.702600956E-1,-3.878407478E-1
6.689833032E0,1.179389954E-1,5.025826693E-1,-3.222093582E-1
6.730267771E0,2.404117584E-1,6.780161262E-1,-5.249347687E-1
6.770828917E0,2.978544235E-1,7.139528990E-1,-7.039182186E-1
6.811314438E0,5.460968018E-1,5.801784992E-1,-2.520425320E-1
6.851804178E0,-7.279968262E-2,2.870845795E-2,1.284925938E-1
6.892292198E0,-4.159030914E-1,-5.569829941E-1,2.910211086E-1
6.932781521E0,-3.520364761E-1,-9.011784792E-1,9.476590157E-2
6.973244021E0,-1.695518494E-1,-7.630461454E-1,-9.746098518E-2
7.013707459E0,-3.424644470E-3,-2.969843149E-1,-1.947748661E-1
7.054191782E0,6.558418274E-2,1.747202873E-2,-2.853777409E-1
7.094681469E0,4.206275940E-2,3.251212835E-1,-2.843203545E-1
7.135209073E0,-2.433490753E-2,2.264528275E-1,-3.771352768E-1
7.175705271E0,2.769756317E-2,-1.305103302E-3,-1.878192425E-1
7.216177563E0,6.770324707E-2,-1.026889086E-1,-1.472313404E-1
7.256670532E0,-8.522033691E-2,-1.454645395E-1,-1.928451061E-1
7.297141261E0,-3.595428467E-1,-8.587443829E-2,-3.338873386E-1
7.337644282E0,-1.769466400E-1,-2.283663750E-1,-5.594315529E-1
7.378129021E0,-3.270721436E-2,-5.932331085E-2,-3.093771935E-1
7.418591417E0,1.478433609E-1,1.384705305E-1,-6.939077377E-2
7.459081000E0,2.870607376E-1,2.711235285E-1,-3.266429901E-2
7.499576834E0,1.907653809E-1,2.357732058E-1,1.615915298E-1
7.540074438E0,2.492532730E-1,-9.927392006E-3,4.468026161E-1
7.580552459E0,-9.018402100E-1,-7.796633244E-1,1.009706259E0
7.621037042E0,-1.354238510E0,-1.080972552E0,5.598568916E-1
7.661491678E0,9.896736145E-1,-3.499732018E-1,-5.334250927E-1
7.702057198E0,1.595411301E0,2.439200282E-1,-8.723773956E-1
7.742566417E0,1.160334587E0,5.128604770E-1,-8.752825260E-1
7.783052146E0,1.044253826E0,9.085366130E-1,-7.678322792E-1
7.823544907E0,3.256072998E-1,8.165543079E-1,-2.443304062E-1
7.864032615E0,-1.941411972E0,-4.483882189E-1,2.040257454E-1
7.904518761E0,-2.513603210E0,-9.601240158E-1,3.523087502E-1
7.944995948E0,-4.131364822E-1,-5.190986395E-1,-2.093601227E-2
7.985440844E0,1.031355858E0,-5.839514732E-2,-3.461089134E-1
8.025935219E0,1.032600403E0,3.247905970E-1,-4.803714752E-1
8.066418917E0,3.400936127E-1,2.714864016E-1,-2.615971565E-1
8.106921000E0,-5.063152313E-1,-5.126130581E-2,8.835434914E-2
8.147455219E0,-7.484493256E-1,-3.545655012E-1,3.307232857E-1
8.187944959E0,-9.136581421E-2,-2.681437731E-1,8.791923523E-2
8.228402303E0,4.303474426E-1,-1.185464859E-2,-1.860079765E-1
8.268910740E0,3.264608383E-1,9.266030788E-2,-2.940633297E-1
8.309401209E0,-3.577709198E-2,6.564700603E-2,-2.354562283E-1
8.349859125E0,-3.572692871E-1,-4.310286045E-2,-1.179685593E-1
8.390393084E0,-2.669601440E-1,-1.217820644E-1,-9.125781059E-2
8.430882823E0,9.005546570E-3,-6.155920029E-2,-1.738758087E-1
8.471335167E0,1.654872894E-1,-1.680171490E-2,-1.920707226E-1
8.511806157E0,3.774833679E-2,-2.216959000E-2,-9.444928169E-2
8.552295844E0,-9.057235718E-2,-5.083906651E-2,-1.098036766E-2
8.592782615E0,-8.199310303E-2,-3.677046299E-2,-2.548241615E-2
8.633270844E0,3.448009491E-2,-2.921581268E-2,-9.478569031E-2
8.673762250E0,7.287216187E-2,-6.280422211E-3,-1.438488960E-1
8.714296782E0,-3.336334229E-2,-2.408885956E-2,-1.265532970E-1
8.754794855E0,-1.000375748E-1,-5.326712132E-2,-1.038429737E-1
8.795270323E0,-5.661201477E-2,-5.437362194E-2,-1.127741337E-1
8.835740896E0,5.836677551E-2,5.808007717E-2,-5.076026917E-2
8.876233813E0,8.199310303E-2,5.565321445E-2,-8.832454681E-3
8.916706417E0,6.965637207E-3,-1.881420612E-2,-2.385091782E-2
8.957225792E0,-7.819271088E-2,-8.652603626E-2,-7.235288620E-2
8.997714282E0,-9.348869324E-2,-7.116758823E-2,-9.565138817E-2
9.038159490E0,-2.744197845E-2,-1.929533482E-2,-9.131193161E-2
9.078632459E0,1.354122162E-2,1.376533508E-2,-7.116866112E-2
9.119169750E0,5.283355713E-4,2.665996552E-3,-2.541184425E-2
9.159664073E0,7.858276367E-4,-6.928443909E-3,-2.956771851E-2
9.200150584E0,2.137851715E-2,-2.169132233E-2,-9.371757507E-3
9.240625948E0,4.153251648E-3,-2.655148506E-3,-3.995656967E-3
