"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.094681469E0,6.085143611E-2,-6.258244067E-2,-1.464695390E-2
7.135209073E0,1.957365684E-2,-4.580501840E-2,-7.456631400E-3
7.175705271E0,-2.516612969E-2,-1.597849536E-3,1.544587873E-2
7.216177563E0,-4.087831825E-2,1.624480449E-2,2.210358530E-2
7.256670532E0,-2.543243766E-2,-2.423405088E-2,4.181039706E-2
7.297141261E0,-1.717688330E-2,-8.308817446E-2,8.388710022E-2
7.337644282E0,-2.649767138E-2,-2.086525112E-1,1.107842326E-1
7.378129021E0,-3.661738336E-2,-1.940055639E-1,7.962616533E-2
7.418591417E0,-5.312849581E-2,-9.081111848E-2,2.210358530E-2
7.459081000E0,-4.087831825E-2,-4.953333735E-2,-3.142437339E-2
7.499576834E0,-2.463351376E-2,4.260931909E-2,-6.364767253E-2
7.540074438E0,-7.057168987E-3,2.079867423E-1,-2.157096937E-2
7.580552459E0,1.447385401E-1,4.391423166E-1,3.043903410E-1
7.621037042E0,2.589847744E-1,4.681699276E-1,4.942681193E-1
7.661491678E0,2.171743810E-1,1.954702586E-1,2.825530469E-1
7.702057198E0,8.135717362E-2,-3.541899845E-2,-2.077204362E-2
7.742566417E0,-6.351451576E-2,-1.615159512E-1,-2.858819067E-1
7.783052146E0,-1.890788674E-1,-2.339518070E-1,-5.511249304E-1
7.823544907E0,-2.138455361E-1,-1.748313755E-1,-5.761579275E-1
7.864032615E0,-8.455286920E-2,-4.420717061E-2,-1.649779677E-1
7.904518761E0,6.085143611E-2,9.294158220E-2,2.338186502E-1
7.944995948E0,5.845466256E-2,9.613727778E-2,2.785584331E-1
7.985440844E0,-4.220985994E-2,1.464695390E-2,1.174419373E-1
8.025935219E0,-1.227681041E-1,-9.693620354E-2,-6.604444981E-2
8.066418917E0,-1.123820841E-1,-1.295589656E-1,-1.386134475E-1
8.106921000E0,-3.288906813E-2,-6.098458916E-2,-5.858781561E-2
8.147455219E0,5.632419512E-2,5.033225939E-2,5.832150951E-2
8.187944959E0,6.644391268E-2,7.696308941E-2,7.376738638E-2
8.228402303E0,2.303566411E-2,3.888100386E-2,1.038602181E-2
8.268910740E0,-1.185071748E-2,-7.989247330E-3,-4.394086078E-2
8.309401209E0,-1.531272475E-2,-2.343512699E-2,-4.740286991E-2
8.349859125E0,-1.331541280E-4,2.663082560E-4,5.326165119E-4
8.390393084E0,7.856093347E-3,1.677742042E-2,3.435376659E-2
8.430882823E0,-5.991935730E-3,-2.663082443E-3,2.370143496E-2
8.471335167E0,-2.250304818E-2,-2.902759984E-2,-2.663082443E-3
8.511806157E0,-2.010627277E-2,-1.837527007E-2,-7.456631400E-3
8.552295844E0,-3.328853287E-3,4.527240526E-3,6.391398143E-3
8.592782615E0,1.291595027E-2,2.396774292E-2,1.091863867E-2
8.633270844E0,9.187635034E-3,2.023942769E-2,2.396774245E-3
8.673762250E0,-1.464695437E-3,2.929390874E-3,-8.788172156E-3
8.714296782E0,-3.062544856E-3,-2.663082443E-3,-6.125089712E-3
8.754794855E0,4.394086078E-3,-1.011971384E-2,3.195699072E-3
8.795270323E0,3.595161485E-3,-2.023942769E-2,9.054481052E-3
8.835740896E0,-8.921326138E-3,7.989247679E-4,-2.396774245E-3
8.876233813E0,-1.318225823E-2,2.609820850E-2,-1.384802908E-2
8.916706417E0,-9.720250964E-3,3.035914153E-2,-1.171756350E-2
8.957225792E0,9.320789250E-4,1.091863867E-2,-3.195699072E-3
8.997714282E0,9.453942999E-3,-1.225017942E-2,3.994623665E-3
9.038159490E0,5.991935730E-3,-2.023942769E-2,1.864157850E-3
9.078632459E0,-1.997311832E-3,-1.198387146E-2,1.065233024E-3
9.119169750E0,-3.595161485E-3,-3.462007269E-3,1.864157850E-3
9.159664073E0,-3.595161485E-3,-3.195699072E-3,2.929390874E-3
9.200150584E0,-1.464695437E-3,2.396774245E-3,2.663082443E-3
9.240625948E0,-1.331541280E-4,1.091863867E-2,-7.989247679E-4
9.281118553E0,1.331541280E-4,9.853405878E-3,-1.065233024E-3
9.321639750E0,5.991935730E-3,7.989247330E-3,-3.728315700E-3
9.362110219E0,5.193010904E-3,5.858781748E-3,-2.396774245E-3
9.402600323E0,3.062544856E-3,-2.663082560E-4,-2.130466048E-3
9.443089698E0,9.320789250E-4,-2.929390874E-3,-1.864157850E-3
9.483579073E0,-1.198387123E-3,-4.527240526E-3,-1.864157850E-3
9.524068448E0,-1.731003635E-3,2.663082560E-4,-3.994623665E-3
9.564557771E0,-1.198387123E-3,5.326164886E-3,-5.592473317E-3
9.605047146E0,1.331541280E-4,2.130466048E-3,-2.929390874E-3
9.645506678E0,1.997311832E-3,-1.331541222E-3,-1.065233024E-3
9.686005167E0,4.926702939E-3,2.663082560E-4,-3.462007269E-3
