"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.000972005E2,-7.000801086E0,-2.231307030E0,6.340980053E0
1.001372005E2,-7.000801086E0,-2.231307030E0,6.340980053E0
1.001772005E2,-7.006783009E0,-2.231307030E0,6.338587284E0
1.002172005E2,-6.962515831E0,-2.184647083E0,6.336194515E0
1.002572005E2,-7.018746853E0,-2.256431818E0,6.340980053E0
1.002972005E2,-6.981658459E0,-2.249253273E0,6.317051888E0
1.003372005E2,-6.958926678E0,-2.236092806E0,6.349354744E0
1.003772005E2,-6.993622303E0,-2.225325108E0,6.338587284E0
1.004172005E2,-7.006783009E0,-2.207378864E0,6.332605362E0
1.004572005E2,-6.996015072E0,-2.193022013E0,6.325426579E0
1.004972005E2,-6.987640381E0,-2.219342947E0,6.344569206E0
1.005372005E2,-6.964908600E0,-2.230110645E0,6.338587284E0
1.005772005E2,-6.996015072E0,-2.204986095E0,6.339783669E0
1.006172005E2,-6.986443996E0,-2.208575249E0,6.329015732E0
1.006572005E2,-6.987640381E0,-2.213361025E0,6.340980053E0
1.006972005E2,-6.985247612E0,-2.209771633E0,6.332605362E0
1.007372005E2,-7.007979393E0,-2.224128723E0,6.314659119E0
1.007772005E2,-7.012764931E0,-2.238485575E0,6.331408501E0
1.008172005E2,-6.950551510E0,-2.202593327E0,6.342176437E0
1.008572005E2,-6.999604225E0,-2.256431818E0,6.370890141E0
1.008972005E2,-6.975676060E0,-2.222932339E0,6.339783669E0
1.009372005E2,-6.991229534E0,-2.240878344E0,6.354140759E0
1.009772005E2,-6.974479675E0,-2.230110645E0,6.334998131E0
1.010172005E2,-6.961319447E0,-2.171486616E0,6.368497372E0
1.010572005E2,-6.946962357E0,-2.196611166E0,6.364908218E0
1.010972005E2,-6.979265213E0,-2.218146563E0,6.358926296E0
1.011372005E2,-6.987640381E0,-2.252842426E0,6.323033810E0
1.011772005E2,-6.986443996E0,-2.254039049E0,6.356533527E0
1.012172005E2,-6.986443996E0,-2.254039049E0,6.356533527E0
1.012572005E2,-6.964908600E0,-2.206182480E0,6.360122681E0
1.012972005E2,-6.985247612E0,-2.208575249E0,6.342176437E0
1.013372005E2,-7.004390240E0,-2.190629244E0,6.318248272E0
1.013772005E2,-7.000801086E0,-2.213361025E0,6.302694798E0
1.014172005E2,-6.999604225E0,-2.262413740E0,6.315855503E0
1.014572005E2,-6.955337048E0,-2.252842426E0,6.343372822E0
