"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.803988960E0,-4.585828185E-1,1.099853069E-1,3.699021637E-1
6.844465730E0,-4.138430357E-1,7.083799690E-2,3.358147144E-1
6.884958178E0,-4.228975177E-1,4.527240247E-2,2.958684862E-1
6.925437658E0,-4.772244096E-1,-6.657706574E-3,2.127802968E-1
6.965928387E0,-4.639089704E-1,-3.062544949E-2,8.228924870E-2
7.006437605E0,-3.275591433E-1,-6.977276504E-2,3.728315700E-3
7.046932762E0,-1.507304758E-1,-1.011971384E-1,-5.778888986E-2
7.087403908E0,-2.516612969E-2,-7.616416365E-2,-1.753639877E-1
7.127882658E0,3.075860441E-2,-5.379426852E-2,-1.948044896E-1
7.168368960E0,6.511236727E-2,-1.358172111E-2,-1.535267085E-1
7.208876355E0,2.463351376E-2,-5.379426852E-2,-1.372819096E-1
7.249360262E0,-5.286218971E-2,-6.364767253E-2,-1.505973190E-1
7.289851251E0,-8.668334037E-2,-7.296846062E-2,-1.247654185E-1
7.330385626E0,-7.549838722E-2,-6.844121963E-2,-1.098521575E-1
7.370816408E0,-4.380770773E-2,-6.844121963E-2,-8.974587917E-2
7.411323387E0,1.198387123E-3,-5.698996782E-2,-5.086487532E-2
7.451858855E0,4.327509180E-2,-5.086487532E-2,-1.837527007E-2
7.492292501E0,5.712312087E-2,-8.868064731E-2,-4.979964346E-2
7.532812605E0,6.963960826E-2,-1.588528752E-1,-1.287600398E-1
7.573259533E0,1.354177445E-1,-1.644453406E-1,-1.681736708E-1
7.613752241E0,1.785596907E-1,-9.959928691E-2,-1.705704331E-1
7.654247033E0,1.620485783E-1,-2.183727734E-2,-1.535267085E-1
7.694792605E0,1.306242049E-1,-1.304910425E-2,-1.388797611E-1
7.735281199E0,1.039933711E-1,-2.476666868E-2,-1.252980381E-1
7.775773178E0,8.188978583E-2,-4.287562892E-2,-8.868064731E-2
7.816239012E0,1.637795754E-2,-2.130465955E-2,-4.820179567E-2
7.856751980E0,-2.063889056E-2,1.544587873E-2,1.438064594E-2
7.897238960E0,-5.552527308E-2,4.420717061E-2,5.406057462E-2
7.937725991E0,-9.587097168E-2,4.793548584E-2,5.459319428E-2
7.978163960E0,-9.081111848E-2,7.509893179E-2,4.527240247E-2
8.018652501E0,-3.528584540E-2,4.553871229E-2,1.118494663E-2
8.059153126E0,1.930734888E-2,-3.355484083E-2,-1.970681176E-2
8.099620366E0,2.330197208E-2,-5.326165259E-2,-3.834838793E-2
8.140107501E0,1.264964230E-2,-1.091863867E-2,-3.941362351E-2
8.180605783E0,-9.986559860E-3,-5.592473317E-3,-3.861469775E-2
8.221105210E0,-1.850842312E-2,1.171756350E-2,-3.728315607E-2
8.261593335E0,-2.170412242E-2,5.539211631E-2,-3.408745676E-2
8.302079533E0,9.320789250E-4,3.621792421E-2,-3.728315607E-2
8.342585366E0,1.398118306E-2,-1.091863867E-2,-2.689713426E-2
8.383048022E0,1.344856713E-2,-2.316881903E-2,-2.450035885E-2
8.423572918E0,-9.986559860E-3,-3.568530455E-2,-1.171756350E-2
8.464058751E0,-4.087831825E-2,6.391398143E-3,-1.065233024E-3
8.504523595E0,-5.232957378E-2,4.047885537E-2,-5.326165119E-4
8.545058439E0,-3.741630912E-2,3.115806542E-2,-9.054481052E-3
8.585492762E0,-1.637795754E-2,1.917419396E-2,-2.476666868E-2
8.626049741E0,7.057168987E-3,1.997311972E-2,-3.621792421E-2
8.666539324E0,1.371487509E-2,2.450035885E-2,-3.781577200E-2
8.706934793E0,2.010627277E-2,8.521864191E-3,-5.512581021E-2
8.747421980E0,2.489982173E-2,-2.023942769E-2,-5.006595328E-2
8.787925210E0,1.398118306E-2,-6.950645149E-2,-4.607132822E-2
8.828432345E0,1.344856713E-2,-5.698996782E-2,-2.663082629E-2
8.868959376E0,-6.657706108E-4,7.722939365E-3,-2.663082560E-4
8.909434168E0,-2.197043039E-2,1.677742042E-2,2.396774245E-3
8.949906303E0,-1.904104091E-2,1.597849466E-2,1.225017942E-2
8.990429480E0,-2.489982173E-2,2.476666868E-2,2.316881903E-2
9.030935783E0,-4.700340703E-2,5.219641700E-2,3.515268862E-2
9.071395262E0,-5.845466256E-2,8.575125784E-2,4.900071770E-2
9.111883230E0,-4.247616604E-2,9.134373069E-2,2.290250920E-2
9.152377814E0,-4.660394508E-3,2.583190054E-2,-5.326165119E-4
9.192875887E0,4.141093418E-2,2.716344222E-2,-3.302222490E-2
9.233347553E0,7.762885839E-2,-2.450035885E-2,-4.420717061E-2
9.273828491E0,6.804175675E-2,-6.151720881E-2,-4.420717061E-2
9.314340678E0,4.567186534E-2,-4.473978654E-2,-3.009283356E-2
9.354808855E0,8.655018173E-3,-4.234301299E-2,-1.118494663E-2
9.395284480E0,-1.078548469E-2,-4.287562892E-2,-4.260932095E-3
9.435797605E0,-1.185071748E-2,-4.633763805E-2,2.396774245E-3
9.476321668E0,-2.676397935E-2,-5.778888986E-2,1.278279629E-2
9.516769272E0,-3.901416063E-2,-1.917419396E-2,2.343512699E-2
9.557220887E0,-4.007939249E-2,5.592473317E-3,2.796236612E-2
9.597720470E0,-4.726971686E-2,7.270215452E-2,9.054481052E-3
9.638231668E0,3.994623839E-4,6.684337556E-2,2.663082560E-4
9.678743283E0,3.395430371E-2,7.989247679E-4,-2.583190054E-2
9.719241720E0,4.620448127E-2,-2.663082443E-3,-3.488638252E-2
9.759733022E0,3.715000302E-2,-1.118494663E-2,-2.796236612E-2
9.800210835E0,1.371487509E-2,-5.059856921E-3,-6.391398143E-3
9.840700991E0,-1.531272475E-2,7.989247330E-3,2.130466048E-3
9.881193283E0,-4.127778113E-3,7.190322969E-3,-3.462007269E-3
9.921667241E0,4.167724028E-2,-3.089175746E-2,-1.118494663E-2
9.962162553E0,6.165036187E-2,-7.190322876E-2,-2.929390781E-2
1.000265557E1,6.564498693E-2,-8.282186836E-2,-3.462007269E-2
1.004312339E1,1.504641678E-2,-9.507204592E-2,-1.944050193E-2
1.008361630E1,-3.075860441E-2,7.190322969E-3,1.571218669E-2
1.012411167E1,-3.501953557E-2,3.994623944E-2,1.890788600E-2
1.016461318E1,6.524552125E-3,-3.009283356E-2,-1.304910425E-2
