"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.876921879E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,4.688116719E1,4.000000000E0
1.886921816E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,4.866932212E1,4.000000000E0
1.896921761E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,5.213149964E1,4.000000000E0
1.906921697E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,6.897409516E1,4.000000000E0
1.916921655E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,8.862429693E1,4.000000001E0
1.926921589E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,1.043453733E2,4.000000001E0
1.936921525E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,1.220232132E2,4.000000001E0
1.946921474E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,1.194266491E2,4.000000001E0
1.956921418E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,9.999663464E1,4.000000001E0
1.966921350E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,8.954368453E1,4.000000001E0
1.976921297E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,7.614795771E1,4.000000000E0
1.986921239E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,6.802330092E1,4.000000000E0
1.996921176E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,6.506674052E1,4.000000000E0
2.006921122E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,7.277931736E1,4.000000000E0
2.016921066E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,9.829919256E1,4.000000001E0
2.026921009E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,1.269557412E2,3.000000002E0
2.036920949E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,1.630168645E2,4.000000005E0
2.046920894E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,1.919208108E2,6.000000003E0
2.056920838E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,2.037944800E2,3.000000005E0
2.066920774E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,1.913922780E2,3.000000004E0
2.076920722E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,1.444047695E2,3.000000002E0
2.086920667E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,1.244094949E2,3.000000002E0
2.096920604E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,1.100427354E2,3.000000001E0
2.106920557E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,9.939247501E1,3.000000001E0
2.116920489E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,9.399380080E1,3.000000001E0
2.126920440E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,1.210740517E2,3.000000002E0
2.136920373E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,1.502228636E2,3.000000003E0
2.146920325E2,5.235776670E1,4.911881127E0,1.772772670E0,1.244038387E-3,NaN,2.000000000E2,8.543951035E0
2.156920266E2,5.235775757E1,4.911868256E0,3.049250603E0,1.543186779E-3,NaN,2.000000000E2,3.785073996E0
2.166920209E2,5.235775176E1,4.911860046E0,2.999608278E0,1.224938596E-3,NaN,2.000000000E2,3.644999266E0
2.176920148E2,5.235774808E1,4.911854843E0,2.845878363E0,8.902900214E-4,NaN,2.000000000E2,3.640843391E0
2.186920092E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,3.301465568E2,4.000000010E0
2.196920036E2,5.235775023E1,4.911857926E0,1.772771001E0,7.864536270E-4,NaN,2.549592867E2,8.944211960E0
2.206919982E2,5.235773058E1,4.911830211E0,3.114223547E0,0.000000000E0,NaN,2.549592867E2,4.000000000E0
2.216919928E2,5.235773053E1,4.911830127E0,3.242336341E0,0.000000000E0,NaN,2.414917018E2,4.000000000E0
2.226919868E2,5.235773053E1,4.911830127E0,3.242335081E0,4.784475040E-12,NaN,2.415748893E2,8.944211006E0
2.236919805E2,5.235773053E1,4.911830127E0,2.925930262E0,4.195368764E-12,NaN,2.416631601E2,3.794730902E0
2.246919756E2,5.235773053E1,4.911830127E0,2.890773841E0,0.000000000E0,NaN,3.227787057E2,4.000000000E0
2.256919698E2,5.235773055E1,4.911830163E0,2.890773058E0,5.821717601E-7,NaN,3.228468972E2,8.944211006E0
2.326919305E2,5.235773063E1,4.911830349E0,3.212866783E0,7.780615644E-11,NaN,3.232989738E2,9.951099396E0
2.336919252E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.573241700E1,7.543996863E0
2.346919197E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.574801158E1,7.511388994E0
2.356919134E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.381111866E1,1.131531598E0
2.366919084E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.386999127E1,1.085971648E0
2.376919023E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.394237110E1,1.053914453E0
2.386918970E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.401422874E1,1.031441692E0
2.396918910E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.408585896E1,1.015308167E0
2.406918862E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.415713406E1,1.003751523E0
2.416918805E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.430807157E1,1.003072311E0
2.426918749E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.437687498E1,9.965669506E-1
2.436918682E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.444555549E1,9.917647743E-1
2.446918629E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.451392476E1,9.878340738E-1
2.456918579E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.458201855E1,9.846173679E-1
2.466918519E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.457713570E1,1.043171241E0
2.476918464E2,5.235778343E1,4.911902454E0,1.673972607E0,1.804077508E-3,NaN,2.000000000E2,8.067674637E0
2.486918401E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.881504695E2,4.000000003E0
2.496918353E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.769697642E2,4.000000003E0
2.506918298E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.620983242E1,6.951978370E0
2.516918237E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.625462317E1,6.918441834E0
2.526918181E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.629991926E1,6.884300725E0
2.536918123E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.634523777E1,6.849889580E0
2.546918069E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.545654236E1,8.094203570E0
2.556918015E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.232157143E1,1.000333161E0
2.566917955E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.239841607E1,9.982951535E-1
2.576917895E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.253510479E1,1.006220778E0
2.586917849E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.261451397E1,1.003657056E0
2.596917783E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.269315309E1,1.001373563E0
2.606917733E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.277163435E1,9.986535077E-1
2.616917675E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.285055101E1,9.965196996E-1
2.626917620E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.292847276E1,9.943947548E-1
2.636924821E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.300583675E1,9.924278128E-1
2.646924838E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.308273904E1,9.903665765E-1
2.656924769E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.315913088E1,9.883569950E-1
2.666924760E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.323505823E1,9.861642150E-1
2.676924702E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.330988098E1,9.835142217E-1
2.686924584E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.338528757E1,9.818064773E-1
2.696924567E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.346031640E1,9.800770147E-1
2.706924546E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.353474589E1,9.780862114E-1
2.716924430E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.360876244E1,9.761926137E-1
2.726924440E2,5.235778375E1,4.911902892E0,1.673970681E0,0.000000000E0,NaN,1.368250050E1,9.742729910E-1
2.736924412E2,5.235778072E1,4.911900890E0,1.722453924E0,8.904354543E-3,NaN,1.385164757E1,9.796161272E-1
