"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.260417713E0,3.825518191E-1,-4.430037737E-1,4.639089704E-1
5.300904328E0,2.813546658E-1,-3.529915810E-1,2.023942769E-1
5.341436255E0,-3.528584540E-2,-3.708342612E-1,-1.282274276E-1
5.381899276E0,-6.018566489E-1,1.648448110E-1,-3.974650800E-1
5.422412765E0,-1.125019193E0,1.201316595E0,-5.231625438E-1
5.462889172E0,-1.302646875E0,1.325149894E0,-7.520545125E-1
5.503351411E0,-1.377878904E0,1.564028382E0,-7.698971629E-1
5.543870942E0,-1.335269570E0,1.641790390E0,-7.512555718E-1
5.584366984E0,-9.662995338E-1,1.136337280E0,-6.376751065E-1
5.624823286E0,-8.014547229E-1,6.456643939E-1,-8.388710022E-1
5.665324640E0,-7.862751484E-1,5.066514611E-1,-8.820129633E-1
5.705831880E0,-8.664339185E-1,3.829512596E-1,-9.089100957E-1
5.746305161E0,-8.243572116E-1,5.274235010E-1,-9.722914696E-1
5.786792192E0,-8.403357267E-1,6.456643939E-1,-9.267527461E-1
5.827292817E0,-4.809527099E-1,1.651111245E-2,-6.986597180E-1
5.867782088E0,-4.838820994E-1,-7.117088437E-1,-6.099790335E-1
5.908272974E0,-4.428706169E-1,-3.583177626E-1,-4.043890834E-1
5.948743911E0,-4.471315742E-1,-2.784252763E-1,-4.363460839E-1
5.989242713E0,-3.818860352E-1,-3.604482114E-1,-3.721657991E-1
6.029709172E0,-3.121132851E-1,-2.523270845E-1,-3.966661394E-1
6.070194380E0,-5.049204826E-1,-3.436708152E-1,-3.897421360E-1
6.110691099E0,-4.998605847E-1,-6.461969614E-1,-2.704360485E-1
6.151219328E0,-3.592498302E-1,1.328878254E-1,-4.651073813E-1
6.191701880E0,-1.944050342E-1,2.719007432E-1,-4.339492917E-1
6.232157765E0,-2.569874749E-2,5.047873259E-1,-1.665758193E-1
6.272679901E0,-2.063889056E-2,1.456706226E-1,-2.344844192E-1
6.313154224E0,-9.427312016E-2,-2.762948275E-1,-7.696308941E-2
6.353660630E0,2.250304818E-2,-4.299546778E-1,-8.495233208E-2
6.394127297E0,1.556571722E-1,-3.236976862E-1,-1.221023351E-1
6.434637245E0,6.087806821E-1,-2.011958808E-1,2.207695395E-1
6.475136255E0,9.579107761E-1,1.065233052E-1,5.077167153E-1
6.515592661E0,6.202319264E-1,-4.873441160E-2,4.157072008E-1
6.556091672E0,1.128081799E0,3.352820873E-1,6.778876781E-1
6.596598182E0,5.323501825E-1,1.765623689E-1,2.394111156E-1
6.637079224E0,9.065132737E-1,-5.178363919E-1,4.303541481E-1
6.677533078E0,1.155378342E0,-1.410102248E-1,6.027887464E-1
6.718049120E0,1.079613686E0,5.002600551E-1,6.797518134E-1
6.758538755E0,1.224618554E0,4.596480429E-1,8.328790665E-1
6.799027401E0,1.487464786E0,5.300865769E-1,1.135272145E0
6.839527609E0,1.616357923E0,-2.248973250E-1,1.243393302E0
6.880008026E0,1.347919226E0,-1.580539495E-1,1.168294311E0
6.920494484E0,1.324750423E0,4.959991276E-1,9.548482299E-1
6.961011672E0,1.057510138E0,-3.442034125E-1,1.299850583E0
7.001491411E0,7.595111728E-1,-2.531526327E0,3.848154247E-1
7.041984692E0,1.167761683E-1,-3.418066502E-1,-4.926702753E-2
7.082472453E0,-6.905373335E-1,1.560832739E0,-7.962616533E-2
7.122957870E0,-1.192395210E0,1.965221763E0,-6.347457170E-1
7.163456567E0,-1.387732267E0,2.377866507E0,-8.423330188E-1
7.203934536E0,-1.117296338E0,1.911427498E0,-7.087793946E-1
7.244434484E0,-7.127740383E-1,7.069152594E-1,-8.836107850E-1
