"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.230557308E1,-2.745219707E0,-1.686380386E0,1.157641888E0
1.234606126E1,-8.536181450E-1,-2.010208607E0,-8.735213280E-1
1.238655006E1,-2.048824310E0,-3.384457588E0,-6.648464203E-1
1.242703219E1,4.782676697E-1,-9.421648979E-1,-1.997175694E0
1.246753891E1,1.394217014E0,2.072496414E-1,-4.564419746E0
1.250802969E1,5.051459312E0,7.637591362E-1,-2.739868641E0
1.254854475E1,2.033488750E0,-1.212685585E0,-2.849304438E0
1.258901891E1,3.528082609E0,1.710359216E0,-2.474982738E0
1.262946943E1,4.515512466E0,4.273754597E0,-3.277424812E0
1.266996907E1,-8.781819344E-1,8.350863457E-1,3.717398643E-1
1.271045865E1,2.486075401E0,1.419832230E0,-2.066925526E0
1.275094990E1,1.712561607E0,1.561810493E0,-8.125205040E-1
1.279143943E1,2.886800528E0,1.741370678E0,-1.313306808E0
1.283192896E1,1.042575836E0,3.553619385E-1,5.091223717E-1
1.287242672E1,2.082376480E-1,7.804670334E-1,2.743508577E0
1.291292318E1,-5.367450237E0,-2.265796661E0,2.001444340E0
1.295340870E1,-2.690535069E0,-3.394501686E0,1.731564283E0
1.299389563E1,-3.521274567E0,-2.949979305E0,8.005993366E-1
1.303436964E1,-3.592671394E0,-2.504647255E0,5.139877796E-1
1.307487870E1,-5.846409798E-1,1.122398376E-1,1.050696135E0
1.311540011E1,-4.053688049E-1,-5.102252960E-1,2.232835293E-1
1.315586292E1,1.408519745E-1,3.719902039E-2,1.772222042E0
1.319637917E1,-8.205175400E-2,8.817625046E-2,1.480213165E0
1.323685547E1,1.013231277E-1,-1.045115948E0,6.548631191E-1
1.327733740E1,-7.844338417E-1,-1.403485775E0,1.432643175E0
1.331787428E1,-4.036092758E-1,-5.358428955E-1,-1.173103094E0
1.335831615E1,-9.956698418E-1,-2.952995300E-1,-8.550906181E-1
1.339878027E1,-2.237790108E0,-1.074573040E0,-2.401151657E-1
1.343929344E1,-3.249750137E-1,-5.053400993E-1,-1.249410152E0
1.347979073E1,-1.558535576E0,-2.250752449E0,-1.303353071E0
1.352027980E1,-1.098318577E0,-2.972398281E0,-2.350106239E-1
1.356070678E1,4.966530800E-1,-1.584256172E0,-3.387093067E0
1.360127464E1,9.294977188E-1,3.232064247E-1,-2.156030655E0
1.364173855E1,3.545724630E0,-1.029040337E0,-1.919459820E0
1.368221558E1,2.748848438E0,1.426689625E-1,-1.443772793E0
1.372270365E1,3.182018280E0,1.355113745E0,-1.809120655E0
1.376317912E1,2.928121567E0,1.753151536E0,-8.828907013E-1
1.380367141E1,3.698470592E0,2.380486488E0,-5.589365959E-1
1.384416839E1,2.975362778E0,1.742702723E0,-2.170500755E-1
1.388465928E1,1.631491184E0,1.082546473E0,2.522063255E-1
1.392514527E1,1.147548199E0,5.424466133E-1,-1.409881115E-1
1.396563745E1,2.602748871E-1,1.949777603E-1,3.910536766E-1
1.400611417E1,1.273570061E-1,-5.159344673E-1,4.683918953E-1
1.404660636E1,-1.339927673E0,-1.184141636E0,1.072081089E0
1.408710803E1,-3.130014420E0,-2.003384590E0,9.459719658E-1
1.412761948E1,-3.140549660E0,-1.539345264E0,9.116909504E-1
1.416812896E1,-2.504731655E0,-1.138844490E0,4.975423813E-1
1.420857198E1,-2.652029991E-1,-2.759790421E-1,5.943467617E-1
1.424908370E1,-1.260793209E0,-5.813579559E-1,6.565415859E-1
1.428956016E1,-1.515134811E0,-2.950944901E-1,1.110724688E0
1.433005105E1,-1.358558178E0,-1.184368134E-2,1.191526771E0
1.437052797E1,-1.578203678E0,1.838426590E-1,2.695896626E-1
1.441103204E1,-2.177410126E-1,-4.803152084E-1,-5.557255745E-1
1.445152047E1,5.226645470E-1,-2.357244492E-1,-1.629541039E0
1.449199959E1,3.127670288E-1,1.620807648E-1,-1.424347401E0
1.453248511E1,1.295132637E0,4.439105988E-1,-1.128336549E0
1.457298094E1,-3.486690521E-1,-9.049415588E-2,-1.322200656E0
1.461347667E1,6.703593731E-1,7.152242661E-1,-1.531709909E0
1.465391870E1,1.148869276E0,-7.090444565E-1,-7.588514090E-1
1.469444266E1,-1.581377983E-1,-2.048497200E0,8.363580704E-2
1.473494037E1,5.478150845E-1,-1.998577118E-1,-5.098485947E-2
1.477543886E1,7.178306580E-3,-1.356776237E0,2.197004557E-1
1.481593318E1,5.525684357E-1,-5.607213974E-1,-6.131224632E-1
1.485640990E1,4.676902294E-1,1.042443275E0,-1.589899302E0
1.489689719E1,1.295038462E0,-8.359413147E-1,-8.600229025E-1
