"Time (s)","X (hPa)"
8.771115450E1,1.012161636E3
8.878661750E1,1.012165756E3
8.986207350E1,1.012170181E3
9.093752850E1,1.012171555E3
9.201300350E1,1.012171555E3
9.308849050E1,1.012163315E3
9.416391850E1,1.012159042E3
9.523936150E1,1.012158661E3
9.631480350E1,1.012151947E3
9.739030350E1,1.012146912E3
9.846576550E1,1.012145233E3
9.954124950E1,1.012137146E3
1.006166955E2,1.012127228E3
1.016921765E2,1.012120514E3
1.027676205E2,1.012108383E3
1.038430605E2,1.012102509E3
1.049184875E2,1.012096786E3
1.059939245E2,1.012095718E3
1.070693935E2,1.012095718E3
1.081448275E2,1.012095947E3
1.092202295E2,1.012095947E3
1.102956205E2,1.012094040E3
1.113710265E2,1.012094040E3
1.124464275E2,1.012094040E3
1.135217965E2,1.012095337E3
1.145971935E2,1.012095871E3
1.156725915E2,1.012102509E3
1.167479935E2,1.012105408E3
1.178233335E2,1.012108536E3
1.188986905E2,1.012111053E3
1.199740275E2,1.012111053E3
1.210494385E2,1.012109985E3
1.221248005E2,1.012106018E3
1.232001545E2,1.012103958E3
1.242755175E2,1.012103958E3
1.253508685E2,1.012107086E3
1.264262465E2,1.012110672E3
1.275016255E2,1.012116776E3
1.285770345E2,1.012119141E3
1.296523995E2,1.012119141E3
1.307277205E2,1.012119293E3
1.318030965E2,1.012120819E3
1.328784375E2,1.012122879E3
1.339537665E2,1.012123871E3
1.350290945E2,1.012125015E3
1.361044555E2,1.012128296E3
1.371797975E2,1.012128525E3
1.382551325E2,1.012129135E3
1.393304335E2,1.012138443E3
1.404057825E2,1.012151031E3
1.414811285E2,1.012158051E3
1.425564735E2,1.012162476E3
1.436318455E2,1.012162476E3
1.447072005E2,1.012158051E3
1.457825405E2,1.012157669E3
1.468579105E2,1.012158051E3
1.479332725E2,1.012158661E3
1.490086375E2,1.012163925E3
1.500839845E2,1.012166519E3
1.511593445E2,1.012171021E3
1.522347135E2,1.012171783E3
1.533100725E2,1.012176743E3
1.543854525E2,1.012176971E3
1.554608605E2,1.012177200E3
1.565362445E2,1.012185440E3
1.576116565E2,1.012186050E3
1.586870425E2,1.012186050E3
1.597624215E2,1.012183685E3
1.608378635E2,1.012181015E3
1.619132635E2,1.012179718E3
1.629886375E2,1.012176361E3
1.640639975E2,1.012172318E3
1.651393635E2,1.012164764E3
1.662147885E2,1.012164078E3
1.672901555E2,1.012164078E3
1.683654995E2,1.012166519E3
1.694408725E2,1.012172089E3
1.705162535E2,1.012172623E3
1.715916805E2,1.012172623E3
1.726670845E2,1.012163162E3
1.737425015E2,1.012158508E3
1.748179455E2,1.012154465E3
1.758933295E2,1.012153549E3
1.769686765E2,1.012153549E3
1.780440475E2,1.012151489E3
1.791194295E2,1.012149887E3
1.801948215E2,1.012142639E3
1.812702525E2,1.012123947E3
1.823456855E2,1.012106094E3
1.834210985E2,1.012094650E3
1.844964945E2,1.012070465E3
1.855718815E2,1.012067032E3
1.866472315E2,1.012067032E3
1.877226335E2,1.012086868E3
1.887980275E2,1.012108307E3
1.898733855E2,1.012141418E3
1.909487265E2,1.012175140E3
1.920241505E2,1.012181168E3
1.930995095E2,1.012183685E3
1.941748315E2,1.012183685E3
1.952501685E2,1.012183075E3
1.963255005E2,1.012183075E3
1.974008005E2,1.012172394E3
1.984761365E2,1.012172394E3
1.995515015E2,1.012176819E3
2.006269205E2,1.012183685E3
2.017023765E2,1.012197037E3
2.027778225E2,1.012206497E3
2.038532425E2,1.012216339E3
2.049287005E2,1.012216339E3
2.060040855E2,1.012208939E3
2.070794985E2,1.012189560E3
2.081549595E2,1.012163467E3
2.092304355E2,1.012152710E3
2.103058805E2,1.012135544E3
2.113813535E2,1.012132339E3
2.124567745E2,1.012132339E3
2.135322515E2,1.012143478E3
2.146077305E2,1.012144775E3
2.156832225E2,1.012159500E3
2.167587005E2,1.012164612E3
2.178340955E2,1.012167511E3
2.189095105E2,1.012167511E3
2.199849175E2,1.012163773E3
2.210602895E2,1.012157440E3
2.221357095E2,1.012153168E3
2.232110505E2,1.012147980E3
2.242864765E2,1.012145157E3
2.253618925E2,1.012140121E3
2.264372685E2,1.012140121E3
2.275126455E2,1.012134476E3
2.285880945E2,1.012128754E3
2.296635685E2,1.012114868E3
2.307390465E2,1.012095718E3
2.318144555E2,1.012079544E3
2.328898695E2,1.012070923E3
2.339652445E2,1.012070923E3
2.350406375E2,1.012087097E3
2.361160335E2,1.012101364E3
2.371914305E2,1.012122192E3
2.382667685E2,1.012134933E3
2.393420575E2,1.012136078E3
2.404173615E2,1.012137833E3
2.414927405E2,1.012136078E3
