"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.747784775E2,-1.953265381E1,5.421447754E-1,-4.669465256E1
1.748389295E2,-1.881411743E1,-1.171974182E0,-4.656602859E1
1.748993815E2,-1.732061768E1,1.381805420E0,-4.604357910E1
1.749598325E2,-1.638552856E1,5.823570251E0,-4.644009399E1
1.750202845E2,-1.680136108E1,1.226466370E1,-4.640259933E1
1.750807365E2,-1.734924316E1,1.903058624E1,-4.433690262E1
1.751411875E2,-2.001818848E1,2.374832153E1,-4.353973770E1
1.752016395E2,-2.086108398E1,2.610075378E1,-4.151303101E1
1.752620912E2,-2.046691895E1,2.372124863E1,-4.143465042E1
1.753225432E2,-1.885095215E1,2.018700027E1,-4.314653015E1
1.753829942E2,-1.835687256E1,1.537290192E1,-4.442614365E1
1.754434462E2,-1.648544312E1,1.072529602E1,-4.581781006E1
1.755038982E2,-1.818444824E1,5.094924927E0,-4.570407867E1
1.755643492E2,-1.886105347E1,1.435577393E0,-4.503316879E1
1.756248012E2,-1.758135986E1,-9.402313232E-1,-4.570525742E1
1.756852532E2,-1.667871094E1,1.316215515E0,-4.646605301E1
1.757457042E2,-1.683505249E1,6.314300537E0,-4.654076385E1
1.758061562E2,-1.816104126E1,1.288395691E1,-4.587543106E1
1.758666082E2,-2.075061035E1,1.955906296E1,-4.457416153E1
1.759270592E2,-2.200543213E1,2.340686798E1,-4.248286057E1
1.759875112E2,-2.234307861E1,2.456805801E1,-4.275223541E1
1.760479632E2,-2.207864380E1,2.275218964E1,-4.402931213E1
1.761084142E2,-2.067041016E1,1.917008972E1,-4.483500290E1
1.761688662E2,-2.096084595E1,1.486779785E1,-4.601969910E1
1.762293182E2,-2.097293091E1,1.076150513E1,-4.545128632E1
1.762897692E2,-2.209368896E1,3.843177795E0,-4.522072983E1
1.763502212E2,-2.280499268E1,-1.127944946E0,-4.521527100E1
1.764106732E2,-2.224499512E1,-1.811897278E0,-4.554452133E1
1.764711242E2,-2.118087769E1,9.828033447E-1,-4.624760437E1
1.765315762E2,-2.078100586E1,8.101982117E0,-4.657703400E1
1.765920282E2,-2.142733765E1,1.563444519E1,-4.432103729E1
1.766524802E2,-2.246136475E1,2.165898895E1,-4.232058334E1
1.767129312E2,-2.418972778E1,2.601582336E1,-4.179068375E1
1.767733832E2,-2.482659912E1,2.703292084E1,-4.094836044E1
1.768338352E2,-2.358889771E1,2.551200104E1,-4.240722275E1
1.768942862E2,-2.350186157E1,2.228973389E1,-4.348833084E1
1.769547382E2,-2.233801270E1,1.804853058E1,-4.266251755E1
1.770151902E2,-2.096078491E1,1.283486176E1,-4.506039429E1
1.770756412E2,-2.133703613E1,6.997352600E0,-4.611472702E1
1.771360932E2,-2.099569702E1,1.873672485E0,-4.612440491E1
1.771965452E2,-2.052334595E1,4.206695557E-1,-4.693521118E1
1.772569964E2,-2.021566772E1,5.097831726E0,-4.666270828E1
1.773174484E2,-1.959020996E1,1.057447815E1,-4.608305359E1
1.773779004E2,-2.023519897E1,1.802133179E1,-4.452688217E1
1.774383514E2,-2.224252319E1,2.435236359E1,-4.302718735E1
1.774988034E2,-2.282632446E1,2.876162720E1,-4.182491684E1
1.775592554E2,-2.291934204E1,3.089944458E1,-4.253000259E1
1.776197064E2,-2.272738647E1,2.927235413E1,-4.380817795E1
1.776801584E2,-2.079397583E1,2.562292480E1,-4.527055359E1
1.777406104E2,-1.994421387E1,2.081042480E1,-4.881003952E1
1.778010614E2,-1.926116943E1,1.447502899E1,-5.058230209E1
1.778615134E2,-1.915090942E1,7.390258789E0,-5.161160278E1
1.779219654E2,-1.833975220E1,1.705429077E0,-5.176848602E1
1.779824164E2,-1.667736816E1,6.982040405E-1,-5.062701416E1
1.780428684E2,-1.583059692E1,3.006614685E0,-5.033385849E1
1.781033204E2,-1.708364868E1,6.908363342E0,-4.971859741E1
1.781637714E2,-1.879302979E1,1.657286835E1,-4.644647217E1
1.782242229E2,-2.059594727E1,2.245760345E1,-4.400941849E1
1.782846749E2,-2.358532715E1,2.763901138E1,-4.232947922E1
1.783451259E2,-1.987908936E1,3.008389664E1,-4.172824478E1
1.784055779E2,-2.024090576E1,2.673838425E1,-4.337237167E1
1.784660299E2,-1.858343506E1,2.413343048E1,-4.449444580E1
1.785264809E2,-1.748803711E1,1.950375748E1,-4.548170090E1
1.785869329E2,-1.742117310E1,1.341314697E1,-4.724989700E1
1.786473849E2,-1.689996338E1,6.814720154E0,-4.809093857E1
1.787078359E2,-1.774884033E1,3.871536255E-1,-4.736304855E1
1.787682879E2,-1.663592529E1,-2.077934265E0,-4.761983490E1
1.788287399E2,-1.575845337E1,-4.641723633E-2,-4.888061523E1
1.788891909E2,-1.591156006E1,5.576232910E0,-4.872309875E1
1.789496429E2,-1.655661011E1,1.245671844E1,-4.798457336E1
1.790100949E2,-1.836709595E1,1.994184494E1,-4.645767975E1
1.790705459E2,-2.145288086E1,2.399200058E1,-4.376792526E1
1.791309979E2,-2.329006958E1,2.600196457E1,-4.386504364E1
1.791914499E2,-2.349145508E1,2.465789413E1,-4.477629471E1
1.792519009E2,-2.206729126E1,2.008554840E1,-4.470059967E1
1.793123529E2,-2.292544556E1,1.500452423E1,-4.564842987E1
1.793728049E2,-2.192211914E1,1.215840149E1,-4.585750198E1
1.794332559E2,-2.222283936E1,6.872695923E0,-4.493642044E1
1.794937079E2,-2.279220581E1,1.465316772E0,-4.520466995E1
1.795541599E2,-2.106945801E1,-3.823699951E-1,-4.625384903E1
1.796146109E2,-2.001913452E1,8.110351562E-1,-4.668898010E1
1.796750629E2,-1.912139893E1,6.575210571E0,-4.703161240E1
1.797355139E2,-1.955795288E1,1.331096649E1,-4.632338715E1
1.797959659E2,-2.158975220E1,1.872591400E1,-4.380011749E1
1.798564179E2,-2.201644897E1,2.451550674E1,-4.323834610E1
1.799168689E2,-2.263064575E1,2.849679184E1,-4.243045044E1
1.799773209E2,-2.180123901E1,2.891716385E1,-4.229413986E1
1.800377729E2,-2.087393188E1,2.694044495E1,-4.317950439E1
1.800982239E2,-2.065573120E1,2.267932892E1,-4.372381592E1
1.801586759E2,-2.055661011E1,1.516025543E1,-4.488231277E1
1.802191282E2,-2.084512329E1,8.294631958E0,-4.645013046E1
1.802795793E2,-2.061917114E1,2.431457520E0,-4.685595322E1
1.803400313E2,-1.957223511E1,-1.598892212E0,-4.709207535E1
1.804004833E2,-1.849441528E1,-2.666397095E-1,-4.712529373E1
1.804609343E2,-1.690716553E1,4.891197205E0,-4.660773849E1
1.805213863E2,-1.650646973E1,1.123095703E1,-4.528757477E1
1.805818383E2,-1.844500732E1,1.850647736E1,-4.359126663E1
1.806422892E2,-2.069833374E1,2.313226700E1,-4.163218307E1
1.807027413E2,-2.214324951E1,2.646887207E1,-4.039067078E1
1.807631933E2,-2.293804932E1,2.749504089E1,-3.970081329E1
1.808236443E2,-2.176162720E1,2.450291061E1,-3.949477386E1
1.808840963E2,-2.214843750E1,2.068952942E1,-4.203707123E1
1.809445473E2,-2.095541382E1,1.688470459E1,-4.441600800E1
1.810049992E2,-1.998394775E1,1.398974609E1,-4.504784775E1
1.810654513E2,-1.907009888E1,8.819046021E0,-4.738718414E1
1.811259023E2,-1.836532593E1,5.059379578E0,-4.824866104E1
1.811863543E2,-1.747317505E1,6.208915710E0,-4.851061630E1
1.812468058E2,-1.657012939E1,1.122767639E1,-4.887691879E1
1.813072568E2,-1.665972900E1,1.694918823E1,-4.854074860E1
1.813677088E2,-1.841516113E1,2.289013672E1,-4.647238541E1
1.814281608E2,-2.046743774E1,2.819925690E1,-4.477723694E1
1.814886117E2,-2.220645142E1,3.059939957E1,-4.251716614E1
1.815490638E2,-2.135897827E1,2.906496429E1,-4.296199417E1
1.816095158E2,-2.058236694E1,2.568314362E1,-4.461806107E1
1.816699668E2,-2.000842285E1,2.164529037E1,-4.537609482E1
1.817304187E2,-1.853479004E1,1.690648651E1,-4.604273224E1
1.817908698E2,-1.742398071E1,1.215574646E1,-4.614917755E1
1.818513218E2,-1.689135742E1,5.743469238E0,-4.561184692E1
1.819117738E2,-1.551190186E1,1.729255676E0,-4.624782944E1
1.819722248E2,-1.405001831E1,2.576156616E0,-4.747811508E1
1.820326768E2,-1.398858643E1,7.969451904E0,-4.801290512E1
1.820931287E2,-1.422833252E1,1.533875275E1,-4.764653778E1
1.821535798E2,-1.611193848E1,2.325266647E1,-4.590214157E1
1.822140320E2,-1.854916382E1,2.729144669E1,-4.377924728E1
1.822744840E2,-1.975350952E1,3.015571594E1,-4.339479828E1
1.823349350E2,-1.962359619E1,3.077245331E1,-4.390621185E1
1.823953870E2,-1.798135376E1,2.802068710E1,-4.507195282E1
1.824558380E2,-1.604162598E1,2.427580261E1,-4.774692535E1
1.825162900E2,-1.552767944E1,1.896188354E1,-4.903503799E1
1.825767420E2,-1.544311523E1,1.287438202E1,-5.056374741E1
1.826371930E2,-1.641519165E1,6.331809998E0,-5.117389679E1
1.826976450E2,-1.673794556E1,3.269775391E0,-5.170326614E1
1.827580970E2,-1.708535767E1,7.288917542E0,-5.154121399E1
1.828185480E2,-1.485662842E1,1.153611755E1,-5.258140945E1
1.828790000E2,-1.531411743E1,2.015268326E1,-4.978489685E1
1.829394520E2,-1.649465942E1,2.605931473E1,-4.773313904E1
1.829999030E2,-1.988796997E1,3.127495956E1,-4.608448029E1
1.830603550E2,-2.131890869E1,3.484639740E1,-4.515174484E1
1.831208060E2,-2.161322021E1,3.241735458E1,-4.648400879E1
1.831812580E2,-1.838757324E1,2.839918900E1,-4.776330948E1
1.832417104E2,-1.962646484E1,2.193042755E1,-4.880579376E1
1.833021614E2,-1.943109131E1,1.455210876E1,-5.034959412E1
1.833626134E2,-2.132257080E1,7.489425659E0,-5.093846893E1
1.834230654E2,-2.191839600E1,2.471740723E0,-5.120518875E1
1.834835164E2,-1.915393066E1,1.155090332E-2,-5.242817688E1
1.835439684E2,-1.693804932E1,4.099449158E0,-5.251512909E1
1.836044194E2,-1.529605103E1,9.968620300E0,-5.218065262E1
1.836648714E2,-1.505856323E1,1.765248108E1,-5.135912704E1
1.837253234E2,-1.741131592E1,2.495558167E1,-4.917554474E1
1.837857744E2,-1.988583374E1,2.906052780E1,-4.693526840E1
1.838462264E2,-2.038555908E1,3.122390366E1,-4.617650223E1
1.839066784E2,-2.114276123E1,3.088206482E1,-4.521985245E1
1.839671294E2,-1.935348511E1,2.639039612E1,-4.680720139E1
1.840275814E2,-1.694985962E1,2.180890656E1,-4.916440201E1
1.840880324E2,-1.749786377E1,1.693109894E1,-5.001141739E1
1.841484844E2,-1.688955688E1,1.121314240E1,-5.071355438E1
1.842089364E2,-1.718038940E1,5.041503906E0,-5.117511749E1
1.842693872E2,-1.642147827E1,2.842102051E0,-5.063030624E1
1.843298392E2,-1.418429565E1,5.467529297E0,-5.088207626E1
1.843902902E2,-1.299905396E1,1.143457794E1,-5.040363693E1
1.844507422E2,-1.380590820E1,1.909511566E1,-4.829543686E1
1.845111942E2,-1.502462769E1,2.367776871E1,-4.645824814E1
1.845716452E2,-1.766140747E1,2.857774353E1,-4.430781937E1
1.846320972E2,-1.932443237E1,3.026755142E1,-4.290585709E1
1.846925492E2,-1.902343750E1,2.812306213E1,-4.380131531E1
1.847530002E2,-1.730166626E1,2.376121902E1,-4.590627670E1
1.848134522E2,-1.811901855E1,1.891094208E1,-4.646565628E1
1.848739032E2,-1.793380737E1,1.345149231E1,-4.812114716E1
1.849343552E2,-1.807846069E1,7.852363586E0,-4.858948898E1
1.849948072E2,-1.805432129E1,2.048011780E0,-4.887547684E1
1.850552582E2,-1.644110107E1,4.696502686E-1,-4.982507324E1
1.851157102E2,-1.545938110E1,1.712272644E0,-5.070655060E1
1.851761622E2,-1.463015747E1,7.629318237E0,-5.096411133E1
1.852366130E2,-1.549658203E1,1.525109100E1,-5.026881409E1
1.852970650E2,-1.848043823E1,2.332515335E1,-4.702510834E1
1.853575160E2,-2.100875854E1,2.917685699E1,-4.557358170E1
1.854179680E2,-2.199966431E1,3.210162354E1,-4.479856491E1
1.854784200E2,-2.149081421E1,3.130739594E1,-4.479864120E1
1.855388710E2,-2.055596924E1,2.642039108E1,-4.682128143E1
1.855993230E2,-2.041323853E1,2.145270920E1,-4.894052505E1
1.856597740E2,-2.110800171E1,1.539256287E1,-4.935128021E1
1.857202260E2,-2.451324463E1,6.543548584E0,-4.901313400E1
1.857806780E2,-2.763800049E1,3.000640869E-1,-4.774525452E1
1.858411290E2,-2.924874878E1,-1.525657654E0,-4.670795059E1
1.859015810E2,-2.634799194E1,6.864013672E-1,-4.885858536E1
1.859620320E2,-2.518362427E1,6.664825439E0,-4.971309662E1
1.860224840E2,-2.630526733E1,1.542835999E1,-4.916667938E1
1.860829350E2,-2.934982300E1,2.553310776E1,-4.665196991E1
1.861433870E2,-3.206964111E1,3.351432037E1,-4.204798126E1
1.862038390E2,-3.417314148E1,3.391430664E1,-3.990100861E1
1.862642896E2,-3.280480957E1,3.166787338E1,-4.054407883E1
1.863247416E2,-2.935964966E1,2.624270248E1,-4.299928665E1
1.863851926E2,-2.746810913E1,1.934216309E1,-4.699313736E1
1.864456446E2,-2.629421997E1,1.044768524E1,-4.839310837E1
1.865060966E2,-2.756344604E1,1.656410217E0,-4.743041229E1
1.865665476E2,-2.777722168E1,-2.970916748E0,-4.677534103E1
1.866269996E2,-2.423541260E1,-1.101493835E0,-4.891495132E1
1.866874506E2,-2.132760620E1,3.113555908E0,-5.013889313E1
1.867479026E2,-2.280694580E1,8.442726135E0,-5.078733063E1
1.868083536E2,-2.733013916E1,1.557432556E1,-4.959937668E1
1.868688056E2,-3.173806763E1,2.540691757E1,-4.603998566E1
1.869292576E2,-3.481738281E1,3.178849030E1,-4.318635178E1
1.869897086E2,-3.611216736E1,3.193992615E1,-4.257425308E1
1.870501606E2,-3.571899414E1,2.547920990E1,-4.535906219E1
1.871106116E2,-3.137747192E1,1.706533051E1,-4.819470596E1
1.871710636E2,-3.112573242E1,1.152460480E1,-4.794739914E1
1.872315157E2,-3.360964966E1,4.751403809E0,-4.607414246E1
1.872919667E2,-3.420442200E1,-2.014587402E0,-4.524997330E1
1.873524187E2,-3.323950195E1,-4.653640747E0,-4.532322693E1
1.874128697E2,-2.959960938E1,-1.929306030E0,-4.841171646E1
1.874733217E2,-2.678396606E1,4.455604553E0,-5.042096710E1
1.875337727E2,-2.698867798E1,1.294078827E1,-4.968784332E1
1.875942247E2,-2.915368652E1,2.293567657E1,-4.775468445E1
1.876546757E2,-3.140747070E1,3.185924530E1,-4.427728653E1
1.877151277E2,-3.261978149E1,3.790122986E1,-4.091939163E1
1.877755797E2,-3.255102539E1,3.646030426E1,-4.258980560E1
1.878360307E2,-2.757650757E1,2.875848770E1,-4.783255386E1
1.878964827E2,-2.504617310E1,2.192726517E1,-5.004362106E1
1.879569337E2,-2.472033691E1,1.506694794E1,-5.130807114E1
1.880173857E2,-2.534259033E1,7.919754028E0,-5.025696945E1
