"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.313456786E1,5.235895388E1,4.921706647E0,5.946771931E-1,1.335306031E0,7.337276123E1,6.118351547E0,1.222124502E0
7.413453424E1,5.235898590E1,4.921761984E0,-6.495743273E-1,2.462993176E0,7.054630323E1,5.975810849E0,1.424873212E0
7.513450360E1,5.235906897E1,4.921767095E0,1.379189640E-1,1.508366080E0,4.920653302E1,5.547039230E0,1.828760091E0
7.613447428E1,5.235909522E1,4.921809406E0,-6.469821082E-1,1.420501785E0,4.506205595E1,5.493503481E0,1.909438801E0
7.713444722E1,5.235909502E1,4.921856229E0,-3.355477005E-1,1.906071250E0,6.250751098E1,5.488022252E0,1.925136045E0
7.813442254E1,5.235908724E1,4.921908291E0,-8.892481653E-1,1.234485414E0,7.064075905E1,5.530473195E0,1.872741815E0
7.913439858E1,5.235908831E1,4.921966354E0,-1.509646473E0,2.278088034E0,7.970806509E1,5.648482370E0,1.755933328E0
8.013437665E1,5.235909454E1,4.921985925E0,-6.010883581E-2,1.341166989E0,7.666432598E1,5.763622634E0,1.669244366E0
8.113435638E1,5.235912015E1,4.922026448E0,-1.641564034E0,2.241874103E0,6.133537734E1,5.924725253E0,1.477555606E0
8.213433862E1,5.235910113E1,4.922062569E0,-1.038927802E0,1.345752568E0,7.945323300E1,5.967117988E0,1.368867838E0
8.313431907E1,5.235910270E1,4.922129026E0,-3.222766500E-1,2.749375621E0,8.085704183E1,6.153288648E0,1.162356466E0
8.413430214E1,5.235911045E1,4.922145613E0,-7.588842399E-1,1.429912510E0,7.699891169E1,6.079175720E0,1.209969017E0
8.513428664E1,5.235913130E1,4.922210790E0,-1.431418693E0,3.166284810E0,7.356399913E1,6.056094314E0,1.241358618E0
8.613427269E1,5.235914234E1,4.922216246E0,-5.627721408E-1,1.433307220E0,6.969567764E1,6.182438306E0,1.130739503E0
8.713425887E1,5.235913975E1,4.922304528E0,-1.491760574E0,3.210301471E0,8.273421908E1,6.345290462E0,1.143173366E0
8.813424611E1,5.235914479E1,4.922312516E0,-2.213458406E0,1.343128937E0,8.171073813E1,6.433427942E0,1.143701895E0
8.913423395E1,5.235920358E1,4.922371087E0,-1.089314949E0,3.339528415E0,5.823943549E1,6.226114036E0,1.145066581E0
9.013422370E1,5.235918867E1,4.922394126E0,-1.138909587E0,1.646691454E0,7.886120793E1,6.150583645E0,1.141460388E0
9.113421381E1,5.235919650E1,4.922431096E0,-1.310456580E0,1.430683265E0,8.018356039E1,6.253903032E0,1.136712475E0
9.213420475E1,5.235920149E1,4.922472192E0,-6.467271149E-1,1.661849393E0,8.156133473E1,6.330027873E0,1.133647707E0
9.313419604E1,5.235921334E1,4.922537492E0,-6.991008613E-1,2.860238517E0,7.992310599E1,6.465377664E0,1.131662675E0
9.413418758E1,5.235920785E1,4.922572404E0,-1.202891631E0,1.467189552E0,7.941588474E1,6.232885889E0,1.122076886E0
