Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Datetime
247.1427604,3.175275564,-2.877070189,-11.19541931,2024-06-05 15:58:34.142760
247.1827604,-6.81386137,-11.71765232,-3.710669756,2024-06-05 15:58:34.182760
247.2227604,-3.201596737,-9.59282589,3.943072557,2024-06-05 15:58:34.222760
247.2627604,3.224328518,-8.820243835,0.142672047,2024-06-05 15:58:34.262760
247.3027604,3.224328518,-8.820243835,0.142672047,2024-06-05 15:58:34.302760
247.3427604,3.224328518,-8.820243835,0.142672047,2024-06-05 15:58:34.342760
247.3827604,-2.408675194,-10.74497032,-0.6227321029,2024-06-05 15:58:34.382760
247.4227604,-2.408675194,-10.74497032,-0.6227321029,2024-06-05 15:58:34.422760
247.4627604,-4.296313286,-11.82174015,-1.68275249,2024-06-05 15:58:34.462760
247.5027604,2.195414782,-11.71167088,7.633403301,2024-06-05 15:58:34.502760
247.5427604,-1.549950838,-13.90110302,5.065306664,2024-06-05 15:58:34.542760
247.5827604,-1.887637973,-12.2614212,-0.08853443712,2024-06-05 15:58:34.582760
247.6227604,3.138186932,-16.55055618,-0.446859628,2024-06-05 15:58:34.622760
247.6627604,10.37617588,-17.24746513,-3.104687452,2024-06-05 15:58:34.662760
247.7027604,6.211468697,-10.30169964,1.215852976,2024-06-05 15:58:34.702760
247.7427604,6.211468697,-10.30169964,1.215852976,2024-06-05 15:58:34.742760
247.7827604,-3.729812384,-7.588837147,-2.165504456,2024-06-05 15:58:34.782760
247.8227604,1.111466169,-4.613661289,-2.926122904,2024-06-05 15:58:34.822760
247.8627604,1.111466169,-4.613661289,-2.926122904,2024-06-05 15:58:34.862760
247.9027604,1.111466169,-4.613661289,-2.926122904,2024-06-05 15:58:34.902760
247.9427604,1.111466169,-4.613661289,-2.926122904,2024-06-05 15:58:34.942760
247.9827604,1.111466169,-4.613661289,-2.926122904,2024-06-05 15:58:34.982760
248.0227604,1.111466169,-4.613661289,-2.926122904,2024-06-05 15:58:35.022760
248.0627604,6.818647385,-7.458428383,-6.696613312,2024-06-05 15:58:35.062760
248.1027604,6.818647385,-7.458428383,-6.696613312,2024-06-05 15:58:35.102760
248.1427604,6.818647385,-7.458428383,-6.696613312,2024-06-05 15:58:35.142760
248.1827604,6.818647385,-7.458428383,-6.696613312,2024-06-05 15:58:35.182760
248.2227604,2.365604401,-16.9851532,-3.572783232,2024-06-05 15:58:35.222760
248.2627604,-6.349354744,-11.58814049,1.316351533,2024-06-05 15:58:35.262760
248.3027604,-2.89980197,-9.261120796,2.883052111,2024-06-05 15:58:35.302760
248.3427604,2.692523718,-8.93390274,2.676970243,2024-06-05 15:58:35.342760
248.3827604,2.464906454,-6.827321053,0.6299105883,2024-06-05 15:58:35.382760
248.4227604,2.464906454,-6.827321053,0.6299105883,2024-06-05 15:58:35.422760
248.4627604,-0.8874381185,-11.15952682,0.02632104978,2024-06-05 15:58:35.462760
248.5027604,-3.329612732,-11.72483063,6.483353138,2024-06-05 15:58:35.502760
248.5427604,-3.769293785,-12.03021526,-3.101098061,2024-06-05 15:58:35.542760
248.5827604,2.145165443,-14.51187134,9.911370277,2024-06-05 15:58:35.582760
248.6227604,-2.032702923,-12.46989632,5.773283005,2024-06-05 15:58:35.622760
248.6627604,-1.218245864,-12.46511078,-4.232903481,2024-06-05 15:58:35.662760
248.7027604,-1.218245864,-12.46511078,-4.232903481,2024-06-05 15:58:35.702760
248.7427604,-1.218245864,-12.46511078,-4.232903481,2024-06-05 15:58:35.742760
248.7827604,0.1004985496,-6.65114975,-4.80897522,2024-06-05 15:58:35.782760
248.8227604,-4.916652203,-6.476174355,-0.751047194,2024-06-05 15:58:35.822760
248.8627604,-0.4037888348,-4.584947109,-1.382154226,2024-06-05 15:58:35.862760
248.9027604,4.139284134,-2.061416626,-4.175475597,2024-06-05 15:58:35.902760
248.9427604,4.136891365,-3.664009571,-0.5341976285,2024-06-05 15:58:35.942760
248.9827604,4.136891365,-3.664009571,-0.5341976285,2024-06-05 15:58:35.982760
249.0227604,4.136891365,-3.664009571,-0.5341976285,2024-06-05 15:58:36.022760
249.0627604,4.369294167,-5.265406132,3.642474174,2024-06-05 15:58:36.062760
249.1027604,5.985047817,-6.526423931,-5.804389477,2024-06-05 15:58:36.102760
249.1427604,4.217350006,-24.86292267,15.54676723,2024-06-05 15:58:36.142760
249.1827604,4.217350006,-24.86292267,15.54676723,2024-06-05 15:58:36.182760
249.2227604,4.159922123,-4.649553299,-1.404886007,2024-06-05 15:58:36.222760
249.2627604,4.159922123,-4.649553299,-1.404886007,2024-06-05 15:58:36.262760
249.3027604,4.159922123,-4.649553299,-1.404886007,2024-06-05 15:58:36.302760
249.3427604,-4.547858715,-8.741280556,10.23828983,2024-06-05 15:58:36.342760
249.3827604,0.1052841991,-8.961420059,-1.62652123,2024-06-05 15:58:36.382760
249.4227604,3.380161047,-8.390133858,2.806182861,2024-06-05 15:58:36.422760
249.4627604,1.473380566,-7.360322475,-0.9475577474,2024-06-05 15:58:36.462760
249.5027604,-1.571486235,-10.45872879,1.268495083,2024-06-05 15:58:36.502760
249.5427604,-1.571486235,-10.45872879,1.268495083,2024-06-05 15:58:36.542760
249.5827604,-1.571486235,-10.45872879,1.268495083,2024-06-05 15:58:36.582760
249.6227604,-1.571486235,-10.45872879,1.268495083,2024-06-05 15:58:36.622760
249.6627604,-1.695913076,-15.40080452,5.474778175,2024-06-05 15:58:36.662760
249.7027604,-1.660020709,-11.60010529,-1.048056364,2024-06-05 15:58:36.702760
249.7427604,-1.660020709,-11.60010529,-1.048056364,2024-06-05 15:58:36.742760
249.7827604,10.5918293,-18.68256187,6.419943333,2024-06-05 15:58:36.782760
249.8227604,4.232903481,-7.089335442,-0.6948158741,2024-06-05 15:58:36.822760
249.8627604,-4.975575447,-7.738687515,-2.080559254,2024-06-05 15:58:36.862760
249.9027604,-2.326122761,-6.460621357,0.3927220106,2024-06-05 15:58:36.902760
249.9427604,2.232503414,-3.217149973,-3.974179268,2024-06-05 15:58:36.942760
249.9827604,4.802993298,-1.392921925,-2.654238462,2024-06-05 15:58:36.982760
250.0227604,1.924726725,-4.617250443,2.559721947,2024-06-05 15:58:37.022760
250.0627604,0.3209373355,-17.91715622,17.07039642,2024-06-05 15:58:37.062760
250.1027604,-0.2647060156,-15.26291847,8.938688278,2024-06-05 15:58:37.102760
250.1427604,6.320641041,-5.764907837,4.635196686,2024-06-05 15:58:37.142760
250.1827604,6.320641041,-5.764907837,4.635196686,2024-06-05 15:58:37.182760
250.2227604,6.343372822,-0.04307080805,-12.47109222,2024-06-05 15:58:37.222760
250.2627604,6.386443615,-6.18634367,-2.048256159,2024-06-05 15:58:37.262760
250.3027604,5.676074505,-14.8268261,-3.01226449,2024-06-05 15:58:37.302760
250.3427604,-8.918349266,-15.81506252,-8.25254631,2024-06-05 15:58:37.342760
250.3827604,-6.521637917,-8.919545174,3.742972851,2024-06-05 15:58:37.382760
250.4227604,1.608574986,-10.20120144,-0.752243638,2024-06-05 15:58:37.422760
250.4627604,1.608574986,-10.20120144,-0.752243638,2024-06-05 15:58:37.462760
250.5027604,1.608574986,-10.20120144,-0.752243638,2024-06-05 15:58:37.502760
250.5427604,1.608574986,-10.20120144,-0.752243638,2024-06-05 15:58:37.542760
250.5827604,1.608574986,-10.20120144,-0.752243638,2024-06-05 15:58:37.582760
250.6227604,-7.854739666,-11.89591789,-6.69063139,2024-06-05 15:58:37.622760
250.6627604,1.946262121,-12.49023533,9.241978645,2024-06-05 15:58:37.662760
250.7027604,-1.480558991,-14.28186131,4.299902439,2024-06-05 15:58:37.702760
250.7427604,-0.1797607988,-12.2482605,4.395615101,2024-06-05 15:58:37.742760
250.7827604,3.723830223,-14.83520126,-2.668595552,2024-06-05 15:58:37.782760
250.8227604,13.7416811,-17.53041649,1.542772412,2024-06-05 15:58:37.822760
250.8627604,13.7416811,-17.53041649,1.542772412,2024-06-05 15:58:37.862760
250.9027604,-4.199403763,-8.087141991,-5.004289627,2024-06-05 15:58:37.902760
250.9427604,-4.199403763,-8.087141991,-5.004289627,2024-06-05 15:58:37.942760
250.9827604,-0.1582254022,-4.947759151,-1.73060894,2024-06-05 15:58:37.982760
251.0227604,3.20518589,-2.518744946,-5.14785862,2024-06-05 15:58:38.022760
251.0627604,3.917948008,-2.023131609,-2.210968018,2024-06-05 15:58:38.062760
251.1027604,3.917948008,-2.023131609,-2.210968018,2024-06-05 15:58:38.102760
251.1427604,3.917948008,-2.023131609,-2.210968018,2024-06-05 15:58:38.142760
251.1827604,3.917948008,-2.023131609,-2.210968018,2024-06-05 15:58:38.182760
251.2227604,6.739684105,-4.180261135,-3.357429266,2024-06-05 15:58:38.222760
251.2627604,4.092624187,-23.13680077,19.56521416,2024-06-05 15:58:38.262760
251.3027604,4.995914459,-2.575275421,-13.51167107,2024-06-05 15:58:38.302760
251.3427604,5.654539108,-5.217250824,-1.736590981,2024-06-05 15:58:38.342760
251.3827604,3.584747314,-11.57976627,-1.930708766,2024-06-05 15:58:38.382760
251.4227604,3.584747314,-11.57976627,-1.930708766,2024-06-05 15:58:38.422760
251.4627604,3.584747314,-11.57976627,-1.930708766,2024-06-05 15:58:38.462760
251.5027604,3.584747314,-11.57976627,-1.930708766,2024-06-05 15:58:38.502760
251.5427604,3.601497173,-7.100401878,1.997707844,2024-06-05 15:58:38.542760
251.5827604,1.849352837,-7.694420338,-3.031407118,2024-06-05 15:58:38.582760
251.6227604,0.6358926296,-11.56660557,1.104287624,2024-06-05 15:58:38.622760
251.6627604,-3.959822416,-13.07468224,2.884248495,2024-06-05 15:58:38.662760
251.7027604,-1.695913076,-12.52852058,-1.009771109,2024-06-05 15:58:38.702760
251.7427604,0.7546364665,-15.20788383,7.236793041,2024-06-05 15:58:38.742760
251.7827604,-2.151147604,-12.63380432,4.460520744,2024-06-05 15:58:38.782760
251.8227604,0.4265206456,-12.26859951,-3.242274761,2024-06-05 15:58:38.822760
251.8627604,9.936494827,-16.9109745,-1.141376376,2024-06-05 15:58:38.862760
251.9027604,7.29302454,-10.21436119,1.205085278,2024-06-05 15:58:38.902760
251.9427604,-0.06819544733,-6.08584547,-4.522733688,2024-06-05 15:58:38.942760
251.9827604,-7.515855789,-8.819046974,-0.3975076675,2024-06-05 15:58:38.982760
252.0227604,-1.189232826,-4.812564373,-3.01226449,2024-06-05 15:58:39.022760
252.0627604,4.540679932,-1.882852316,-3.909573078,2024-06-05 15:58:39.062760
252.1027604,4.540679932,-1.882852316,-3.909573078,2024-06-05 15:58:39.102760
252.1427604,4.540679932,-1.882852316,-3.909573078,2024-06-05 15:58:39.142760
252.1827604,-3.163311481,-23.18375969,20.72932243,2024-06-05 15:58:39.182760
252.2227604,-3.163311481,-23.18375969,20.72932243,2024-06-05 15:58:39.222760
252.2227604,2.518744946,-4.884349346,3.608675718,2024-06-05 15:58:39.222760
252.3027604,4.637589455,-4.917848587,-12.36431313,2024-06-05 15:58:39.302760
252.3427604,5.417350292,-2.523530483,-7.325327396,2024-06-05 15:58:39.342760
252.3827604,5.952744484,-10.71625614,-1.33788693,2024-06-05 15:58:39.382760
252.4227604,5.952744484,-10.71625614,-1.33788693,2024-06-05 15:58:39.422760
252.4627604,-7.203293324,-9.929316521,14.4006052,2024-06-05 15:58:39.462760
252.5027604,-1.339083314,-8.069195747,-3.091526747,2024-06-05 15:58:39.502760
252.5427604,3.727419376,-8.542376518,1.593021631,2024-06-05 15:58:39.542760
252.5827604,2.789433002,-6.223432541,0.6852445602,2024-06-05 15:58:39.582760
252.6227604,2.468495607,-8.050053596,-1.115055323,2024-06-05 15:58:39.622760
252.6627604,-0.8934201598,-11.36411285,4.286741734,2024-06-05 15:58:39.662760
252.7027604,-5.703591824,-12.60269737,0.8371888399,2024-06-05 15:58:39.702760
252.7427604,-3.617349625,-12.14626694,0.7534400225,2024-06-05 15:58:39.742760
252.7827604,0.8958129883,-16.61157227,6.560222149,2024-06-05 15:58:39.782760
252.8227604,-0.7235297561,-12.55125237,5.330012321,2024-06-05 15:58:39.822760
252.8627604,0.6598208547,-14.01476192,-3.037389278,2024-06-05 15:58:39.862760
252.9027604,9.980762482,-17.66082573,0.8120641708,2024-06-05 15:58:39.902760
252.9427604,9.980762482,-17.66082573,0.8120641708,2024-06-05 15:58:39.942760
252.9827604,9.980762482,-17.66082573,0.8120641708,2024-06-05 15:58:39.982760
253.0227604,9.980762482,-17.66082573,0.8120641708,2024-06-05 15:58:40.022760
253.0627604,9.980762482,-17.66082573,0.8120641708,2024-06-05 15:58:40.062760
253.1027604,3.764508247,-2.061416626,-4.336990833,2024-06-05 15:58:40.102760
253.1427604,4.371686935,-3.229114056,0.1797607988,2024-06-05 15:58:40.142760
253.1827604,4.371686935,-3.229114056,0.1797607988,2024-06-05 15:58:40.182760
253.2227604,-3.43758893,-20.41316986,13.69502163,2024-06-05 15:58:40.222760
253.2627604,2.666202545,-3.699902058,3.069692373,2024-06-05 15:58:40.262760
253.3027604,10.44437218,-14.15743446,-9.822835922,2024-06-05 15:58:40.302760
253.3427604,0.8575277925,-18.4046936,8.777172089,2024-06-05 15:58:40.342760
253.3827604,4.026821613,-2.171486616,-6.704988003,2024-06-05 15:58:40.382760
253.4227604,4.89631319,-5.291727066,0.5437689424,2024-06-05 15:58:40.422760
253.4627604,-2.991925716,-20.75115585,-9.373583794,2024-06-05 15:58:40.462760
253.5027604,-4.871188641,-8.148159027,8.943473816,2024-06-05 15:58:40.502760
253.5427604,2.841177702,-7.741080284,-2.248056889,2024-06-05 15:58:40.542760
253.5827604,5.401797295,-7.959126472,4.120141506,2024-06-05 15:58:40.582760
253.6227604,1.000199914,-7.208079338,-2.862713099,2024-06-05 15:58:40.622760
253.6627604,-0.9571290612,-11.12363434,0.6732804775,2024-06-05 15:58:40.662760
253.7027604,-0.9571290612,-11.12363434,0.6732804775,2024-06-05 15:58:40.702760
253.7427604,-0.9571290612,-11.12363434,0.6732804775,2024-06-05 15:58:40.742760
253.7827604,-0.9571290612,-11.12363434,0.6732804775,2024-06-05 15:58:40.782760
253.8227604,-0.9571290612,-11.12363434,0.6732804775,2024-06-05 15:58:40.822760
253.8627604,-0.9571290612,-11.12363434,0.6732804775,2024-06-05 15:58:40.862760
253.9027604,4.065106392,-14.51426411,-2.596810818,2024-06-05 15:58:40.902760
253.9427604,7.772187233,-17.18285942,6.207879066,2024-06-05 15:58:40.942760
253.9827604,2.941676378,-7.992625713,-1.947458506,2024-06-05 15:58:40.982760
254.0227604,-5.214858055,-7.799704552,-2.72961235,2024-06-05 15:58:41.022760
254.0627604,-2.366800785,-6.491727829,-1.818246126,2024-06-05 15:58:41.062760
254.1027604,1.778764486,-2.847159863,-4.089034557,2024-06-05 15:58:41.102760
254.1427604,5.141876698,-2.536691189,-2.13559413,2024-06-05 15:58:41.142760
254.1827604,5.141876698,-2.536691189,-2.13559413,2024-06-05 15:58:41.182760
254.2227604,-2.539083958,-22.1680069,21.89492607,2024-06-05 15:58:41.222760
254.2627604,3.080759048,-9.411869049,5.566004753,2024-06-05 15:58:41.262760
254.3027604,2.615953445,-4.624428749,2.755933523,2024-06-05 15:58:41.302760
254.3427604,8.871688843,-10.61216831,-7.003193855,2024-06-05 15:58:41.342760
254.3827604,3.927519321,-22.35374832,18.32782555,2024-06-05 15:58:41.382760
254.4227604,5.08325243,-2.203789711,-10.10309505,2024-06-05 15:58:41.422760
254.4627604,3.570390463,-4.519144535,-1.376172066,2024-06-05 15:58:41.462760
254.5027604,-2.551347256,-21.40379906,-4.497609138,2024-06-05 15:58:41.502760
254.5427604,-6.27966404,-9.249156952,7.005586624,2024-06-05 15:58:41.542760
254.5827604,-6.27966404,-9.249156952,7.005586624,2024-06-05 15:58:41.582760
254.6227604,-6.27966404,-9.249156952,7.005586624,2024-06-05 15:58:41.622760
254.6627604,2.537887573,-6.628417969,-0.3592225015,2024-06-05 15:58:41.662760
254.7027604,2.537887573,-6.628417969,-0.3592225015,2024-06-05 15:58:41.702760
254.7427604,2.537887573,-6.628417969,-0.3592225015,2024-06-05 15:58:41.742760
254.7827604,2.537887573,-6.628417969,-0.3592225015,2024-06-05 15:58:41.782760
254.7827604,-4.269991875,-12.16780186,-1.391725421,2024-06-05 15:58:41.782760
254.8627604,0.3699901998,-15.28206062,5.829514027,2024-06-05 15:58:41.862760
254.9027604,-3.404089212,-12.63978672,3.51894474,2024-06-05 15:58:41.902760
254.9427604,0.08733802289,-13.74287796,-2.354836702,2024-06-05 15:58:41.942760
254.9827604,10.54008484,-17.95304871,0.3664009571,2024-06-05 15:58:41.982760
255.0227604,6.361319065,-8.784351349,0.8144569993,2024-06-05 15:58:42.022760
255.0627604,-1.226620674,-6.942176819,-5.485546112,2024-06-05 15:58:42.062760
255.1027604,-6.896713257,-8.574680328,-1.008574724,2024-06-05 15:58:42.102760
255.1427604,0.9750752449,-4.169493675,-2.975175858,2024-06-05 15:58:42.142760
255.1827604,0.9750752449,-4.169493675,-2.975175858,2024-06-05 15:58:42.182760
255.2227604,2.991925716,-3.664009571,0.8910273314,2024-06-05 15:58:42.222760
255.2627604,3.238685369,-11.5271244,8.80708313,2024-06-05 15:58:42.262760
255.3027604,-2.063809633,-19.77967072,13.11894894,2024-06-05 15:58:42.302760
255.3427604,3.485445261,-4.763511658,3.758526087,2024-06-05 15:58:42.342760
255.3827604,8.174779892,-16.14676666,-2.213361025,2024-06-05 15:58:42.382760
255.4227604,2.266003132,-11.18704414,-3.196810961,2024-06-05 15:58:42.422760
255.4627604,2.266003132,-11.18704414,-3.196810961,2024-06-05 15:58:42.462760
255.5027604,2.266003132,-11.18704414,-3.196810961,2024-06-05 15:58:42.502760
255.5427604,2.266003132,-11.18704414,-3.196810961,2024-06-05 15:58:42.542760
255.5827604,2.266003132,-11.18704414,-3.196810961,2024-06-05 15:58:42.582760
