"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.822467819E0,-1.686985493E-1,-1.392364502E-2,1.052472353E0
4.862989902E0,6.227779388E-2,-9.000873566E-2,-4.347578585E-1
4.903689589E0,1.264893532E0,3.911781311E-1,-2.132712126E0
4.944160891E0,2.703227520E0,8.542404175E-1,-3.176189184E0
4.984631048E0,2.604681730E0,4.768676758E-1,-3.947278023E0
5.025119277E0,1.955764532E0,-9.753036499E-2,-3.679060936E0
5.065615839E0,1.715115070E0,-1.731556892E0,-4.141375542E0
5.106128496E0,1.142993212E0,-1.645025253E0,-4.606236458E0
5.146577141E0,-1.313189983E0,-3.098545074E-1,-3.499185562E0
5.187044850E0,-8.686516285E-1,-1.398077011E-1,-5.286975861E0
5.227524121E0,-4.412612915E-1,-4.967438698E0,6.196284890E-1
5.268025839E0,-1.873167038E0,-1.223160744E0,2.259609413E1
5.308536256E0,-1.555525064E0,6.584072113E-1,-2.800243378E0
5.348989277E0,9.657406807E-2,1.348043442E0,-4.332526207E0
5.389465475E0,9.922091961E-1,1.587476730E0,-1.096453547E0
5.429951777E0,2.328962803E0,1.276979446E-1,3.166748762E0
5.470451412E0,-1.674778461E-1,-1.148881912E0,6.944308758E0
5.510955944E0,-1.989648104E0,-5.048437119E-1,5.877853632E-1
5.551413704E0,-1.563680530E0,-3.237905502E-1,-2.697276115E0
5.591812766E0,-2.929472923E-1,4.371442795E-1,-5.710885048E0
5.632211829E0,1.828458548E0,-4.195117950E-1,-2.344693422E0
5.672763808E0,-8.169918060E-1,-5.245418549E-1,2.691950798E-1
5.713334069E0,-3.477345228E0,-4.219455719E-1,-3.519478559E0
5.753810787E0,-1.240734339E0,-9.289150238E-1,-2.646615028E0
5.794274121E0,9.234075546E-1,-9.007339478E-1,-2.310758591E0
5.834758808E0,-3.446085453E-1,-7.414770126E-1,-3.715604305E0
5.875237871E0,-4.387822151E-1,-1.836239815E0,-4.428590298E0
5.915753183E0,1.333460808E-1,8.465495110E-1,-9.491944313E-2
5.956226100E0,3.311674118E0,2.748096466E0,5.650203705E0
5.996693444E0,3.006854534E0,-3.502345085E0,4.492092133E0
6.037183912E0,-1.620721817E-1,1.612045288E0,-4.480152130E-1
6.077697871E0,-2.397225142E0,3.247833252E0,-7.772487402E-1
6.118166725E0,-2.345511913E-1,1.492401123E0,-1.032061815E0
6.158617454E0,-1.549048424E-1,-1.484303474E0,1.384304762E0
6.199100735E0,-6.577606201E-1,-5.880374908E-1,3.080965042E0
6.239594069E0,5.251533985E-1,6.896371841E-1,3.675071001E-1
6.280096308E0,2.511281729E0,1.014108658E0,8.272092342E-1
6.320603756E0,2.330509424E0,1.309891701E0,5.403140783E-1
6.361061152E0,1.616819620E0,9.662647247E-1,5.097251534E-1
6.401491464E0,8.039278984E-1,8.181667328E-2,1.536748290E0
6.441920944E0,-3.422963619E-1,2.484340668E-1,2.150543034E-1
6.482419746E0,-1.017827988E0,4.569387436E-1,-4.982600808E-1
6.522883808E0,-2.313675880E-1,8.973703384E-1,-8.808935881E-1
6.563450319E0,-3.033862114E-1,1.983834743E0,-1.814130902E0
6.603879798E0,3.117809296E-1,1.064153671E0,-8.506184816E-2
6.644330735E0,2.447276831E0,-1.527521133E0,-7.662780285E-1
6.684760266E0,3.110757351E0,-2.110603333E0,-1.584742904E0
6.725373860E0,1.563527584E-1,-5.457372665E-1,1.610806227E0
6.765860214E0,-1.316035509E0,-1.072494507E0,4.382597446E0
6.806324173E0,-2.559127808E0,-3.383399963E0,5.728713036E0
