Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Datetime
67.97185867,52.3350895,4.86919464,1.606987241,3.920000076,1.200000048,9.935046196,3.258205652,2024-06-04 14:57:00.971859
68.96967044,52.3351301,4.86919305,2.2230713,4.510000229,0.0,9.935046196,3.290542364,2024-06-04 14:57:01.969670
69.97082315,52.33516117,4.86915976,4.504284936,4.320000172,359.8999939,10.1469593,3.123690844,2024-06-04 14:57:02.970823
70.97159773,52.33520617,4.86915966,3.995681215,4.559999943,357.5,10.09592724,3.076557159,2024-06-04 14:57:03.971598
71.97052612,52.33525525,4.86915002,3.312700334,4.920000076,353.7999878,9.935046196,3.136474371,2024-06-04 14:57:04.970526
72.97209435,52.33529857,4.86913754,3.906809331,4.940000057,347.7000122,9.935046196,3.361718893,2024-06-04 14:57:05.972094
73.97003987,52.33534078,4.86911203,3.451531866,5.159999847,339.2000122,9.935046196,3.342803717,2024-06-04 14:57:06.970040
74.97274331,52.33538485,4.86910183,2.687061679,4.329999924,350.8999939,9.935046196,3.246448755,2024-06-04 14:57:07.972743
75.98357648,52.33543673,4.86910686,2.678714718,5.690000057,0.400000006,9.935046196,3.274066687,2024-06-04 14:57:08.983576
76.97186132,52.33548466,4.86912085,2.483660783,5.610000134,7.900000095,9.935046196,3.383866549,2024-06-04 14:57:09.971861
77.97256086,52.33552954,4.8691342,2.662930804,5.840000153,2.5,9.935046196,3.585708618,2024-06-04 14:57:10.972561
78.97110815,52.33557392,4.86913654,3.117645479,5.369999886,355.1000061,10.09438419,3.620576382,2024-06-04 14:57:11.971108
79.97036528,52.33561469,4.8691384,2.578458314,4.829999924,358.8999939,10.95245838,3.722291231,2024-06-04 14:57:12.970365
80.97161872,52.33567117,4.86915065,3.41222401,5.75,2.299999952,11.23186588,3.793110609,2024-06-04 14:57:13.971619
81.97080888,52.33571224,4.86915966,2.453241556,5.329999924,3.200000048,11.55634975,3.92680645,2024-06-04 14:57:14.970809
82.97212117,52.3357668,4.86918226,2.709801004,5.630000114,6.699999809,11.73713303,4.079524517,2024-06-04 14:57:15.972121
83.97132778,52.33581689,4.86919657,3.098185353,5.550000191,6.199999809,12.02759171,4.156802654,2024-06-04 14:57:16.971328
84.97171721,52.33587821,4.86923858,3.872587693,5.53000021,8.899999619,12.25113869,4.385302544,2024-06-04 14:57:17.971717
85.97096507,52.33591447,4.86923065,5.005629788,3.230000019,349.2999878,11.65849304,4.470247746,2024-06-04 14:57:18.970965
86.97140533,52.33596215,4.86924361,4.51955929,5.639999866,3.099999905,10.84651852,4.496375084,2024-06-04 14:57:19.971405
87.97219018,52.33601027,4.86924666,4.997595065,5.03000021,359.5,10.79956913,4.529367447,2024-06-04 14:57:20.972190
88.9701508,52.33604318,4.86922954,5.391857653,4.559999943,2.400000095,10.78454494,4.944676399,2024-06-04 14:57:21.970151
89.97096559,52.33610439,4.86921334,6.343350535,5.099999905,352.5,10.62203693,4.991478443,2024-06-04 14:57:22.970966
90.97260825,52.33613506,4.86917932,7.632070507,4.809999943,346.2999878,10.88703442,5.224181175,2024-06-04 14:57:23.972608
91.97228575,52.33617717,4.86916324,8.681436969,4.929999828,345.2000122,11.51690769,5.628974438,2024-06-04 14:57:24.972286
92.97022637,52.33623333,4.86918335,7.903695487,5.480000019,358.0,11.43421459,5.774243355,2024-06-04 14:57:25.970226
93.97083241,52.33627935,4.86917638,7.490914463,5.28000021,357.3999939,11.90359688,6.010604382,2024-06-04 14:57:26.970832
94.9705995,52.33632076,4.86917248,7.57233037,4.769999981,355.5,12.6453619,6.41535759,2024-06-04 14:57:27.970600
95.9720346,52.3363584,4.86916578,8.055472767,4.190000057,353.2999878,13.77859592,6.972485542,2024-06-04 14:57:28.972035
96.96778392,52.33640446,4.86916938,8.600705664,4.539999962,356.2999878,13.22555923,7.10444355,2024-06-04 14:57:29.967784
97.97270986,52.33645812,4.8691691,7.792675552,5.570000172,353.0,12.71089363,7.134720325,2024-06-04 14:57:30.972710
98.97200798,52.33650143,4.86915948,8.258551306,4.840000153,350.5,12.52039719,7.276382923,2024-06-04 14:57:31.972008
99.9735609,52.33654574,4.86916483,8.463572782,4.760000229,0.200000003,12.74623489,7.919543266,2024-06-04 14:57:32.973561
100.9712125,52.33658536,4.8692046,7.758023873,4.46999979,16.79999924,12.78810692,8.102079391,2024-06-04 14:57:33.971212
101.9710772,52.33659267,4.86929594,7.656157757,3.200000048,28.79999924,12.73565483,8.642277718,2024-06-04 14:57:34.971077
102.9704522,52.33659847,4.86938328,5.386501581,4.300000191,92.09999847,12.19270706,8.733090401,2024-06-04 14:57:35.970452
103.9751662,52.33660379,4.86945082,4.400280656,3.539999962,78.59999847,12.10648346,9.05366993,2024-06-04 14:57:36.975166
104.9699087,52.33660136,4.86951057,4.838299734,3.49000001,93.19999695,12.05582809,9.264633179,2024-06-04 14:57:37.969909
105.9707024,52.33660138,4.86957763,4.059102325,4.480000019,91.0,11.93329716,9.320892334,2024-06-04 14:57:38.970702
106.9702387,52.33659277,4.86964197,6.494368752,4.289999962,102.1999969,11.99773884,9.4367733,2024-06-04 14:57:39.970239
107.9707716,52.33658984,4.86969749,7.361767028,3.839999914,98.0,12.16833878,9.630468369,2024-06-04 14:57:40.970772
108.9733954,52.33659131,4.86976326,8.594594847,4.139999866,93.5,12.17922783,9.579904556,2024-06-04 14:57:41.973395
109.9752397,52.33659732,4.86982151,7.647554144,4.179999828,91.19999695,12.15908241,9.374696732,2024-06-04 14:57:42.975240
110.9750822,52.33660852,4.86988795,9.03200737,4.340000153,79.30000305,12.05712223,9.208825111,2024-06-04 14:57:43.975082
111.9728126,52.33661501,4.86995251,10.22059107,4.010000229,86.69999695,12.13845825,9.264955521,2024-06-04 14:57:44.972813
112.9702495,52.33661827,4.87001059,11.96196193,3.730000019,88.19999695,12.37729263,9.31398201,2024-06-04 14:57:45.970249
113.9697005,52.33662703,4.87007423,12.18393453,4.409999847,79.59999847,12.31175518,9.328949928,2024-06-04 14:57:46.969701
114.9710887,52.33663582,4.87014574,12.30532575,4.300000191,78.90000153,12.95930576,9.645429611,2024-06-04 14:57:47.971089
115.9693515,52.3366409,4.87022601,11.8488359,4.96999979,84.40000153,13.0728302,10.00087547,2024-06-04 14:57:48.969352
116.9701565,52.33664559,4.87031188,11.58015388,5.130000114,83.09999847,13.56685829,9.956476212,2024-06-04 14:57:49.970157
117.9709247,52.33665347,4.87039852,11.38502416,5.369999886,81.19999695,14.39215279,9.927512169,2024-06-04 14:57:50.970925
118.9714292,52.33665895,4.87048217,11.53937665,5.130000114,82.80000305,15.57727814,10.0115242,2024-06-04 14:57:51.971429
119.9704132,52.33666426,4.87055202,10.84557647,4.590000153,82.5,14.90722466,9.771037102,2024-06-04 14:57:52.970413
120.9741214,52.33665275,4.87061636,11.52314839,4.320000172,93.59999847,14.30641174,9.842313766,2024-06-04 14:57:53.974121
121.9704503,52.33664336,4.87068552,11.8409238,4.53000021,96.69999695,13.92844486,9.730145454,2024-06-04 14:57:54.970450
122.9710149,52.33664212,4.87075143,12.15614534,4.579999924,89.80000305,13.31215191,9.287579536,2024-06-04 14:57:55.971015
123.9697002,52.33664129,4.87082874,12.30236765,5.119999886,90.19999695,12.89089203,8.788169861,2024-06-04 14:57:56.969700
124.9716863,52.33664124,4.8708985,13.0738919,4.449999809,90.90000153,12.93050575,8.742767334,2024-06-04 14:57:57.971686
125.970615,52.33663675,4.87097653,12.69862509,5.059999943,92.80000305,13.21324158,8.877081871,2024-06-04 14:57:58.970615
126.9730255,52.33663092,4.87105227,13.60814512,4.71999979,93.90000153,13.43757915,9.271009445,2024-06-04 14:57:59.973026
127.971035,52.33662273,4.87112283,14.40388933,4.230000019,96.19999695,13.78463459,9.641989708,2024-06-04 14:58:00.971035
128.9711196,52.33660869,4.87119405,15.83042403,4.400000095,99.5,13.80581474,10.0727644,2024-06-04 14:58:01.971120
129.9697074,52.33659875,4.87126555,16.0567083,4.260000229,94.59999847,13.63724422,10.09284782,2024-06-04 14:58:02.969707
130.9735668,52.33659264,4.87133969,15.4486489,4.53000021,89.69999695,13.60263157,10.08098793,2024-06-04 14:58:03.973567
131.9746983,52.33658512,4.87141437,14.68116399,4.329999924,89.19999695,12.73657894,9.564026833,2024-06-04 14:58:04.974698
132.9724831,52.33658615,4.87148395,15.0043254,4.210000038,91.30000305,12.29611969,8.946936607,2024-06-04 14:58:05.972483
133.9713282,52.33658486,4.87155035,14.62081669,4.210000038,94.80000305,12.3354702,8.604475021,2024-06-04 14:58:06.971328
134.9696835,52.33658765,4.87161339,14.81189676,3.950000048,86.80000305,12.77243519,8.917808533,2024-06-04 14:58:07.969684
135.9694463,52.33659434,4.87167694,14.93047284,3.970000029,81.5,13.27926826,9.271196365,2024-06-04 14:58:08.969446
136.9753166,52.33659716,4.87174246,13.18179607,4.400000095,84.80000305,12.6555872,8.961979866,2024-06-04 14:58:09.975317
137.9708306,52.33659581,4.87180008,12.2522007,3.99000001,88.09999847,12.87229061,8.947965622,2024-06-04 14:58:10.970831
138.97254,52.33658642,4.87185693,12.15749348,4.050000191,100.9000015,13.09481812,8.987255096,2024-06-04 14:58:11.972540
139.9736516,52.33657597,4.87191572,12.12839866,4.170000076,101.4000015,13.2298069,8.955354691,2024-06-04 14:58:12.973652
140.9697346,52.33656851,4.87197373,12.78259618,3.900000095,98.80000305,13.78106594,9.138792992,2024-06-04 14:58:13.969735
141.9744965,52.33656264,4.87202489,11.29775394,3.49000001,98.19999695,14.51013374,9.482311249,2024-06-04 14:58:14.974496
142.970557,52.33655846,4.87207854,11.62297409,3.440000057,96.0,14.63079739,9.789162636,2024-06-04 14:58:15.970557
143.973046,52.33655515,4.87213293,10.61494393,3.289999962,96.80000305,14.9529705,10.31965065,2024-06-04 14:58:16.973046
144.9727384,52.33654846,4.87218852,10.82370658,3.140000105,99.5,15.04429245,10.67636681,2024-06-04 14:58:17.972738
145.9755495,52.33654338,4.87223042,10.77269803,2.880000114,111.1999969,14.77114201,11.00146675,2024-06-04 14:58:18.975549
146.9724409,52.33653866,4.87227699,12.62482987,3.329999924,111.6999969,14.29029369,10.92542839,2024-06-04 14:58:19.972441
147.9693257,52.33653008,4.87231261,13.50771172,2.859999895,117.6999969,14.34589863,11.21980762,2024-06-04 14:58:20.969326
148.972213,52.33650461,4.87232198,14.66155086,2.74000001,146.6000061,14.20739651,11.20577049,2024-06-04 14:58:21.972213
149.9742142,52.33648103,4.87232871,16.61952933,2.069999933,164.1000061,14.21674538,11.15936089,2024-06-04 14:58:22.974214
150.9766621,52.33645537,4.87233618,17.16338175,2.059999943,164.8999939,14.88489628,11.44508457,2024-06-04 14:58:23.976662
151.9715584,52.33642671,4.87234434,18.84639051,2.160000086,163.1999969,14.57043171,11.56863976,2024-06-04 14:58:24.971558
152.9700595,52.33639867,4.87234912,19.67612671,2.190000057,164.0,14.82944202,11.71587181,2024-06-04 14:58:25.970059
153.9733586,52.33637449,4.87235173,20.49353801,2.099999905,169.3000031,14.85248756,11.86301708,2024-06-04 14:58:26.973359
154.9730769,52.33634319,4.87236412,22.50637946,2.380000114,168.5,14.76535892,11.84441185,2024-06-04 14:58:27.973077
155.9707007,52.33639707,4.8723068,18.48988197,0.0,,13.64109039,11.0435791,2024-06-04 14:58:28.970701
156.9732246,52.3364116,4.87229204,18.50344378,0.0,,13.39399529,10.5573082,2024-06-04 14:58:29.973225
157.9708339,52.3364149,4.87228885,18.53414728,0.0,,13.16937351,10.09335518,2024-06-04 14:58:30.970834
158.9735053,52.33641371,4.87228864,19.07510007,0.0,,13.2422266,9.769491196,2024-06-04 14:58:31.973505
159.9704827,52.33640733,4.87228356,19.40742461,0.2300000042,203.1000061,13.93329239,9.612110138,2024-06-04 14:58:32.970483
160.969891,52.33638119,4.87228197,19.169716,1.330000043,180.6999969,13.09220123,9.770835876,2024-06-04 14:58:33.969891
161.9777791,52.33636224,4.87231414,20.38290354,2.839999914,113.0999985,13.1625843,10.38863564,2024-06-04 14:58:34.977779
162.973833,52.3363346,4.87235611,22.09437547,1.940000057,113.5999985,13.39976501,10.885252,2024-06-04 14:58:35.973833
163.9813408,52.33631602,4.87234255,17.38560131,1.419999957,199.8000031,13.29946041,10.87262058,2024-06-04 14:58:36.981341
164.9704978,52.33631099,4.87232868,17.64175084,0.1899999976,164.0,13.23852634,10.85252094,2024-06-04 14:58:37.970498
165.9732275,52.33630663,4.87232565,16.88563945,0.150000006,92.59999847,13.248806,10.85714436,2024-06-04 14:58:38.973228
166.9730211,52.33630231,4.8723207,16.90613834,0.0,,13.10867119,10.61228752,2024-06-04 14:58:39.973021
167.9765332,52.33629697,4.87231754,16.19903673,0.3000000119,233.6999969,12.90013218,10.15174866,2024-06-04 14:58:40.976533
