Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Datetime
222.1555889,-2.404016495,-1.088797569,-5.75750351,2024-06-11 14:46:06.155589
222.1960384,-3.829731464,-0.7264661789,-7.15454483,2024-06-11 14:46:06.196038
222.2364932,-4.90386343,-0.3151941299,-1.384004593,2024-06-11 14:46:06.236493
222.2769938,-0.672123909,2.313670635,-4.817384243,2024-06-11 14:46:06.276994
222.3174611,1.782715321,4.765017509,-4.617582798,2024-06-11 14:46:06.317461
222.3580163,2.392559052,3.421049118,-2.201336861,2024-06-11 14:46:06.358016
222.398475,4.82419014,-0.7581672668,2.470955372,2024-06-11 14:46:06.398475
222.4389559,1.334686041,-5.610911369,12.67882919,2024-06-11 14:46:06.438956
222.4794398,-0.9246613979,-0.11054039,-0.9800288677,2024-06-11 14:46:06.479440
222.5198509,1.603660583,-0.02690601349,-3.432557344,2024-06-11 14:46:06.519851
222.560343,2.601536989,-5.69288063,-1.492463112,2024-06-11 14:46:06.560343
222.6008351,-0.7967600822,2.678249359,-4.565490723,2024-06-11 14:46:06.600835
222.6412886,-1.477160215,5.229446888,-5.375074387,2024-06-11 14:46:06.641289
222.6817713,-0.07510638237,-2.931180954,-0.6536147594,2024-06-11 14:46:06.681771
222.7222703,-3.186139584,-2.707775116,-0.6627438664,2024-06-11 14:46:06.722270
222.7627557,-1.94622457,1.807570934,-0.05479311943,2024-06-11 14:46:06.762756
222.8032308,3.345056057,1.76956749,5.618563652,2024-06-11 14:46:06.803231
222.8437154,0.4634677172,0.06130504608,3.191357613,2024-06-11 14:46:06.843715
222.8841917,0.5771391392,1.787791729,0.5976336002,2024-06-11 14:46:06.884192
222.9246659,-0.4045221806,-0.4685630798,0.5658181906,2024-06-11 14:46:06.924666
222.9651414,-1.415760636,-2.714731216,1.061035752,2024-06-11 14:46:06.965141
223.0056258,-3.270386696,-2.896425247,5.864021301,2024-06-11 14:46:07.005626
223.0461144,-2.795176983,-3.618507385,5.95938015,2024-06-11 14:46:07.046114
223.0865889,-3.488102198,-5.068333626,6.06662941,2024-06-11 14:46:07.086589
