"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.347212365E2,5.235517634E1,4.919016070E0,4.468541057E0,3.980000019E0,6.450000000E1,1.076636410E1,4.731446743E0
1.357141925E2,5.235519015E1,4.919083710E0,3.117098159E0,3.970000029E0,6.559999847E1,1.089559078E1,4.634264946E0
1.367157481E2,5.235521110E1,4.919150150E0,4.981851214E0,4.289999962E0,6.500000000E1,1.028665447E1,4.444127560E0
1.377172167E2,5.235523198E1,4.919211790E0,4.746137537E0,3.869999886E0,6.519999695E1,1.017309761E1,4.447214127E0
1.387145694E2,5.235525175E1,4.919272020E0,4.983566005E0,3.339999914E0,6.969999695E1,1.006750107E1,4.320015430E0
1.397141280E2,5.235526606E1,4.919309510E0,5.303920401E0,2.019999981E0,6.909999847E1,9.935046196E0,3.960864782E0
1.407215713E2,5.235527373E1,4.919332190E0,5.521778821E0,1.659999967E0,7.240000153E1,9.935046196E0,3.838465452E0
1.417126466E2,5.235528016E1,4.919345430E0,7.161444006E0,5.400000215E-1,5.320000076E1,9.935046196E0,3.816319704E0
1.427153471E2,5.235528941E1,4.919360690E0,6.851956638E0,1.789999962E0,5.770000076E1,9.935046196E0,3.577431202E0
1.437231608E2,5.235530172E1,4.919391080E0,6.184877350E0,2.769999981E0,5.590000153E1,9.935046196E0,3.433561802E0
1.447161724E2,5.235531640E1,4.919431480E0,6.722519105E0,3.059999943E0,6.070000076E1,9.935046196E0,3.311647892E0
1.457166094E2,5.235533062E1,4.919477930E0,7.656831178E0,3.349999905E0,6.459999847E1,9.935046196E0,3.334687948E0
1.467152785E2,5.235534363E1,4.919527450E0,8.211504633E0,3.420000076E0,6.669999695E1,9.935046196E0,3.261314392E0
1.477179904E2,5.235535870E1,4.919574080E0,7.851384421E0,3.359999895E0,6.320000076E1,9.935046196E0,3.525379181E0
1.487180713E2,5.235537591E1,4.919620120E0,7.020136531E0,3.400000095E0,6.040000153E1,9.935046196E0,3.563411236E0
1.497135274E2,5.235541002E1,4.919705230E0,7.243561589E0,3.420000076E0,4.259999847E1,1.017823601E1,3.524583340E0
1.507140709E2,5.235543242E1,4.919743950E0,6.836389103E0,3.549999952E0,4.220000076E1,1.040789127E1,3.716905117E0
1.517160060E2,5.235545492E1,4.919804200E0,6.397063645E0,3.890000105E0,5.290000153E1,1.063493729E1,4.098862171E0
1.527173634E2,5.235547894E1,4.919856450E0,6.210604382E0,4.079999924E0,5.359999847E1,1.130518150E1,4.461633205E0
1.537137088E2,5.235548841E1,4.919917780E0,5.435567716E0,4.360000134E0,6.379999924E1,1.164301872E1,4.684834003E0
1.547138297E2,5.235550039E1,4.919981120E0,5.389295533E0,4.460000038E0,6.350000000E1,1.197316551E1,4.968554020E0
1.557155896E2,5.235552147E1,4.920050620E0,5.609641365E0,4.579999924E0,6.059999847E1,1.162384510E1,5.177703381E0
